DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-15,Female,3155,3051,2947,1071,1035
Auckland,Asian,12-15,Male,3303,3181,3085,1071,1031
Auckland,Asian,16-19,Female,3283,3243,2904,1131,1117
Auckland,Asian,16-19,Male,3390,3359,2826,1200,1189
Auckland,Asian,16-19,Unknown/Other,42,42,9,4667,4667
Auckland,Asian,20-24,Female,6013,5961,5122,1174,1164
Auckland,Asian,20-24,Male,6257,6177,4850,1290,1274
Auckland,Asian,20-24,Unknown/Other,78,75,12,6500,6250
Auckland,Asian,25-29,Female,7985,7927,8392,952,945
Auckland,Asian,25-29,Male,9143,9060,7740,1181,1171
Auckland,Asian,25-29,Unknown/Other,132,128,25,5280,5120
Auckland,Asian,30-34,Female,9009,8924,9316,967,958
Auckland,Asian,30-34,Male,9090,8983,8382,1084,1072
Auckland,Asian,30-34,Unknown/Other,110,108,19,5789,5684
Auckland,Asian,35-39,Female,7695,7595,8154,944,931
Auckland,Asian,35-39,Male,7756,7687,7336,1057,1048
Auckland,Asian,35-39,Unknown/Other,65,64,14,4643,4571
Auckland,Asian,40-44,Female,5724,5662,5623,1018,1007
Auckland,Asian,40-44,Male,5716,5655,5231,1093,1081
Auckland,Asian,40-44,Unknown/Other,43,41,15,2867,2733
Auckland,Asian,45-49,Female,4718,4671,4861,971,961
Auckland,Asian,45-49,Male,4272,4228,3985,1072,1061
Auckland,Asian,50-54,Female,4328,4280,4411,981,970
Auckland,Asian,50-54,Male,3431,3404,3467,990,982
Auckland,Asian,55-59,Female,3952,3911,4228,935,925
Auckland,Asian,55-59,Male,3384,3353,3468,976,967
Auckland,Asian,60-64,Female,3217,3189,3608,892,884
Auckland,Asian,60-64,Male,2703,2682,2922,925,918
Auckland,Asian,65-69,Female,2744,2721,2935,935,927
Auckland,Asian,65-69,Male,2299,2283,2584,890,884
Auckland,Asian,70-74,Female,1783,1768,1918,930,922
Auckland,Asian,70-74,Male,1655,1645,1743,950,944
Auckland,Asian,75-79,Female,1113,1105,1240,898,891
Auckland,Asian,75-79,Male,956,940,1080,885,870
Auckland,Asian,80-84,Female,820,803,943,870,852
Auckland,Asian,80-84,Male,702,695,819,857,849
Auckland,Asian,85-89,Female,408,393,441,925,891
Auckland,Asian,85-89,Male,397,385,420,945,917
Auckland,Asian,90+,Female,176,170,179,983,950
Auckland,Asian,90+,Male,109,107,126,865,849
Auckland,European or Other,12-15,Female,4960,4824,4934,1005,978
Auckland,European or Other,12-15,Male,5071,4928,5110,992,964
Auckland,European or Other,12-15,Unknown/Other,7,7,5,1400,1400
Auckland,European or Other,16-19,Female,4758,4727,4912,969,962
Auckland,European or Other,16-19,Male,4683,4640,4777,980,971
Auckland,European or Other,16-19,Unknown/Other,10,9,12,833,750
Auckland,European or Other,20-24,Female,8380,8309,9005,931,923
Auckland,European or Other,20-24,Male,7741,7633,7930,976,963
Auckland,European or Other,20-24,Unknown/Other,36,35,29,1241,1207
Auckland,European or Other,25-29,Female,10294,10197,11855,868,860
Auckland,European or Other,25-29,Male,10449,10303,10769,970,957
Auckland,European or Other,25-29,Unknown/Other,46,46,23,2000,2000
Auckland,European or Other,30-34,Female,9444,9346,10714,881,872
Auckland,European or Other,30-34,Male,10323,10183,10361,996,983
Auckland,European or Other,30-34,Unknown/Other,44,44,22,2000,2000
Auckland,European or Other,35-39,Female,7633,7548,8521,896,886
Auckland,European or Other,35-39,Male,8231,8125,8574,960,948
Auckland,European or Other,35-39,Unknown/Other,17,16,15,1133,1067
Auckland,European or Other,40-44,Female,7152,7084,8032,890,882
Auckland,European or Other,40-44,Male,7475,7392,8027,931,921
Auckland,European or Other,45-49,Female,7993,7934,8961,892,885
Auckland,European or Other,45-49,Male,8126,8037,8951,908,898
Auckland,European or Other,50-54,Female,8064,8014,8362,964,958
Auckland,European or Other,50-54,Male,8544,8469,8858,965,956
Auckland,European or Other,50-54,Unknown/Other,9,9,5,1800,1800
Auckland,European or Other,55-59,Female,7459,7391,8093,922,913
Auckland,European or Other,55-59,Male,8036,7963,8644,930,921
Auckland,European or Other,60-64,Female,6715,6667,6988,961,954
Auckland,European or Other,60-64,Male,7179,7127,7440,965,958
Auckland,European or Other,65-69,Female,5662,5633,5985,946,941
Auckland,European or Other,65-69,Male,5845,5803,6084,961,954
Auckland,European or Other,70-74,Female,5131,5095,5399,950,944
Auckland,European or Other,70-74,Male,4960,4929,5182,957,951
Auckland,European or Other,75-79,Female,3772,3746,3829,985,978
Auckland,European or Other,75-79,Male,3386,3356,3442,984,975
Auckland,European or Other,80-84,Female,2887,2862,2825,1022,1013
Auckland,European or Other,80-84,Male,2323,2305,2219,1047,1039
Auckland,European or Other,85-89,Female,1819,1798,1874,971,959
Auckland,European or Other,85-89,Male,1186,1172,1257,944,932
Auckland,European or Other,90+,Female,1614,1574,1629,991,966
Auckland,European or Other,90+,Male,803,788,782,1027,1008
Auckland,Maori,12-15,Female,1101,1018,1131,973,900
Auckland,Maori,12-15,Male,1141,1076,1225,931,878
Auckland,Maori,16-19,Female,1100,1034,1162,947,890
Auckland,Maori,16-19,Male,1026,959,1120,916,856
Auckland,Maori,20-24,Female,1617,1540,1762,918,874
Auckland,Maori,20-24,Male,1543,1448,1662,928,871
Auckland,Maori,25-29,Female,1491,1416,1774,840,798
Auckland,Maori,25-29,Male,1550,1440,1611,962,894
Auckland,Maori,30-34,Female,1250,1175,1398,894,840
Auckland,Maori,30-34,Male,1222,1147,1265,966,907
Auckland,Maori,35-39,Female,990,948,1101,899,861
Auckland,Maori,35-39,Male,931,876,1003,928,873
Auckland,Maori,40-44,Female,888,840,1032,860,814
Auckland,Maori,40-44,Male,900,850,997,903,853
Auckland,Maori,45-49,Female,1019,994,1169,872,850
Auckland,Maori,45-49,Male,983,943,1053,934,896
Auckland,Maori,50-54,Female,985,961,1055,934,911
Auckland,Maori,50-54,Male,905,870,911,993,955
Auckland,Maori,55-59,Female,904,886,988,915,897
Auckland,Maori,55-59,Male,878,856,915,960,936
Auckland,Maori,60-64,Female,735,725,744,988,974
Auckland,Maori,60-64,Male,642,632,607,1058,1041
Auckland,Maori,65-69,Female,499,492,520,960,946
Auckland,Maori,65-69,Male,382,376,421,907,893
