Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,269","25,797","18,511","10,936","3,882",>95%,94%,72%,35%
Ashburton District,5-11,"3,235","1,742",857,NA,NA,NA,NA,54%,26%,NA,NA
Auckland,12+,"1,468,419","1,364,060","1,347,271","1,271,626","906,952","408,122","156,657",93%,92%,71%,38%
Auckland,5-11,"161,323","92,062","53,679",NA,Masked,NA,NA,57%,33%,>95%,NA
Buller District,12+,"8,707","7,771","7,644","7,295","5,264","3,807","1,357",89%,88%,72%,36%
Buller District,5-11,740,325,179,NA,NA,NA,NA,44%,24%,NA,NA
Carterton District,12+,"8,651","8,139","8,006","7,587","5,680","3,910","1,626",94%,93%,75%,42%
Carterton District,5-11,832,430,218,NA,NA,NA,NA,52%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,714","11,083","7,925","5,072","1,766",>95%,94%,72%,35%
Central Hawke's Bay District,5-11,"1,456",653,283,NA,NA,NA,NA,45%,19%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,904","14,276","9,105","3,805",>95%,>95%,76%,42%
Central Otago District,5-11,"1,816","1,012",523,NA,NA,NA,NA,56%,29%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,299,225,140,23,>95%,>95%,75%,16%
Chatham Islands Territory,5-11,14,10,Masked,NA,NA,NA,NA,71%,36%,NA,NA
Christchurch City,12+,"343,918","326,409","323,048","307,300","230,543","112,508","46,944",95%,94%,75%,42%
Christchurch City,5-11,"31,208","18,234","10,746",NA,Masked,NA,NA,58%,34%,>95%,NA
Clutha District,12+,"15,517","14,183","13,980","13,254","9,074","5,728","1,869",91%,90%,68%,33%
Clutha District,5-11,"1,567",712,322,NA,NA,NA,NA,45%,21%,NA,NA
Dunedin City,12+,"114,950",Masked,Masked,"106,189","83,869","39,705","17,641",>95%,>95%,79%,44%
Dunedin City,5-11,"9,480","5,942","3,625",NA,NA,NA,NA,63%,38%,NA,NA
Far North District,12+,"59,649","50,817","49,278","46,606","30,453","21,126","6,975",85%,83%,65%,33%
Far North District,5-11,"7,197","1,944",786,NA,NA,NA,NA,27%,11%,NA,NA
Gisborne District,12+,"42,561","38,576","37,582","35,131","23,173","13,402","4,883",91%,88%,66%,36%
Gisborne District,5-11,"5,401","2,547","1,419",NA,NA,NA,NA,47%,26%,NA,NA
Gore District,12+,"11,003","9,989","9,846","9,325","6,489","4,167","1,280",91%,89%,70%,31%
Gore District,5-11,"1,073",347,194,NA,NA,NA,NA,32%,18%,NA,NA
Grey District,12+,"11,872","10,861","10,645","10,081","7,065","4,527","1,506",91%,90%,70%,33%
Grey District,5-11,"1,138",512,274,NA,NA,NA,NA,45%,24%,NA,NA
Hamilton City,12+,"147,441","137,487","135,232","127,548","85,503","37,531","14,577",93%,92%,67%,39%
Hamilton City,5-11,"17,497","8,593","4,346",NA,NA,NA,NA,49%,25%,NA,NA
Hastings District,12+,"74,221","70,467","69,150","65,060","44,717","25,064","8,575",95%,93%,69%,34%
Hastings District,5-11,"8,650","3,793","1,759",NA,NA,NA,NA,44%,20%,NA,NA
Hauraki District,12+,"18,063","15,897","15,543","14,795","10,017","7,050","2,498",88%,86%,68%,35%
Hauraki District,5-11,"1,779",594,275,NA,NA,NA,NA,33%,15%,NA,NA
Horowhenua District,12+,"30,027","27,743","27,213","25,796","18,324","12,630","5,463",92%,91%,71%,43%
Horowhenua District,5-11,"3,095","1,252",563,NA,NA,NA,NA,40%,18%,NA,NA
Hurunui District,12+,"11,490","10,542","10,368","9,840","7,061","4,530","1,587",92%,90%,72%,35%
Hurunui District,5-11,"1,158",539,286,NA,NA,NA,NA,47%,25%,NA,NA
Invercargill City,12+,"47,368","44,199","43,505","41,118","29,026","16,720","6,154",93%,92%,71%,37%
Invercargill City,5-11,"5,029","2,352","1,223",NA,NA,NA,NA,47%,24%,NA,NA
Kaikoura District,12+,"3,527","3,211","3,177","3,045","2,254","1,582",576,91%,90%,74%,36%
Kaikoura District,5-11,296,134,78,NA,NA,NA,NA,45%,26%,NA,NA
Kaipara District,12+,"21,487","18,178","17,701","16,971","11,160","7,774","2,376",85%,82%,66%,31%
Kaipara District,5-11,"2,339",664,285,NA,NA,NA,NA,28%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,840","45,324","43,013","33,862","22,375","11,039",94%,93%,79%,49%
Kapiti Coast District,5-11,"4,477","2,378","1,467",NA,NA,NA,NA,53%,33%,NA,NA
Kawerau District,12+,"6,360","5,490","5,278","4,972","2,972","2,087",776,86%,83%,60%,37%
Kawerau District,5-11,806,187,46,NA,NA,NA,NA,23%,6%,NA,NA
Lower Hutt City,12+,"94,100","88,348","87,187","82,343","61,621","29,724","12,689",94%,93%,75%,43%
Lower Hutt City,5-11,"10,256","6,115","3,722",NA,NA,NA,NA,60%,36%,NA,NA
Mackenzie District,12+,"4,339","3,891","3,837","3,660","2,596","1,519",509,90%,88%,71%,34%
Mackenzie District,5-11,379,169,74,NA,NA,NA,NA,45%,20%,NA,NA
Manawatu District,12+,"27,110","25,262","24,914","23,356","16,500","9,906","3,761",93%,92%,71%,38%
Manawatu District,5-11,"3,203","1,534",814,NA,NA,NA,NA,48%,25%,NA,NA
Marlborough District,12+,"44,461","41,318","40,762","38,854","28,781","18,057","7,621",93%,92%,74%,42%
Marlborough District,5-11,"4,100","2,034","1,077",NA,NA,NA,NA,50%,26%,NA,NA
Masterton District,12+,"23,589","22,055","21,638","20,520","14,393","9,310","3,633",93%,92%,70%,39%
Masterton District,5-11,"2,356","1,055",436,NA,NA,NA,NA,45%,19%,NA,NA
Matamata-Piako District,12+,"30,444","28,165","27,658","26,225","16,925","11,012","3,831",93%,91%,65%,35%
Matamata-Piako District,5-11,"3,427","1,255",502,NA,NA,NA,NA,37%,15%,NA,NA
Napier City,12+,"56,989","52,501","51,624","48,809","34,614","21,299","8,033",92%,91%,71%,38%
Napier City,5-11,"5,980","2,698","1,232",NA,NA,NA,NA,45%,21%,NA,NA
Nelson City,12+,"47,440","43,901","43,260","41,070","30,523","18,328","7,992",93%,91%,74%,44%
Nelson City,5-11,"4,405","2,445","1,224",NA,NA,NA,NA,56%,28%,NA,NA
