SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"10,364","8,613","8,123","7,355","3,453","1,503",426,83%,78%,47%,28%
Unknown,Unknown,Unknown,Maori,5-11,"1,846",551,229,NA,NA,NA,NA,30%,12%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,577",Masked,Masked,"3,418","1,926",441,99,>95%,>95%,56%,22%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,361,161,60,NA,NA,NA,NA,45%,17%,NA,NA
100100,North Cape,Northland,Maori,12+,913,782,766,700,432,273,85,86%,84%,62%,31%
100100,North Cape,Northland,Maori,5-11,145,44,16,NA,NA,NA,NA,30%,11%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,051",888,854,792,403,248,37,84%,81%,51%,15%
100200,Rangaunu Harbour,Northland,Maori,5-11,189,34,14,NA,NA,NA,NA,18%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,548,457,443,417,225,153,32,83%,81%,54%,21%
100400,Karikari Peninsula,Northland,Maori,5-11,88,20,Masked,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,595,503,490,445,255,146,25,85%,82%,57%,17%
100500,Tangonge,Northland,Maori,5-11,99,20,Masked,NA,NA,NA,NA,20%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,599,489,474,444,265,168,21,82%,79%,60%,12%
100600,Ahipara,Northland,Maori,5-11,104,36,9,NA,NA,NA,NA,35%,9%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,323","1,130","1,065",965,451,221,51,85%,80%,47%,23%
100700,Kaitaia East,Northland,Maori,5-11,294,81,23,NA,NA,NA,NA,28%,8%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,58,52,51,48,25,7,NA,90%,88%,52%,0%
100800,Kaitaia West,Northland,Maori,12+,"1,921","1,584","1,494","1,342",631,351,59,82%,78%,47%,17%
100800,Kaitaia West,Northland,Maori,5-11,373,82,28,NA,NA,NA,NA,22%,8%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,105,96,93,86,46,22,Masked,91%,89%,53%,18%
100900,Rangitihi,Northland,Maori,12+,410,339,327,296,148,79,10,83%,80%,50%,13%
100900,Rangitihi,Northland,Maori,5-11,56,8,Masked,NA,NA,NA,NA,14%,5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,320,246,233,215,107,68,12,77%,73%,50%,18%
101000,Oruru-Parapara,Northland,Maori,5-11,65,14,6,NA,NA,NA,NA,22%,9%,NA,NA
101100,Taumarumaru,Northland,Maori,12+,585,491,467,432,246,152,38,84%,80%,57%,25%
101100,Taumarumaru,Northland,Maori,5-11,135,33,13,NA,NA,NA,NA,24%,10%,NA,NA
101100,Taumarumaru,Northland,Pacific Peoples,12+,40,34,33,30,14,12,Masked,85%,82%,47%,42%
101200,Herekino-Takahue,Northland,Maori,12+,451,355,334,306,156,107,19,79%,74%,51%,18%
101200,Herekino-Takahue,Northland,Maori,5-11,81,25,Masked,NA,NA,NA,NA,31%,<5%,NA,NA
101300,Peria,Northland,Maori,12+,356,260,250,232,109,64,9,73%,70%,47%,14%
101300,Peria,Northland,Maori,5-11,89,16,6,NA,NA,NA,NA,18%,7%,NA,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,325,243,230,206,109,74,18,75%,71%,53%,24%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,69,19,Masked,NA,NA,NA,NA,28%,6%,NA,NA
101500,Whakapaku,Northland,Maori,12+,270,207,196,182,103,67,25,77%,73%,57%,37%
101500,Whakapaku,Northland,Maori,5-11,60,18,Masked,NA,NA,NA,NA,30%,7%,NA,NA
101600,Hokianga North,Northland,Maori,12+,691,566,549,500,335,228,38,82%,79%,67%,17%
101600,Hokianga North,Northland,Maori,5-11,124,35,10,NA,NA,NA,NA,28%,8%,NA,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,380,289,284,265,163,119,32,76%,75%,62%,27%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,50,13,Masked,NA,NA,NA,NA,26%,6%,NA,NA
101800,Whakarara,Northland,Maori,12+,578,488,471,438,281,162,57,84%,81%,64%,35%
101800,Whakarara,Northland,Maori,5-11,69,33,19,NA,NA,NA,NA,48%,28%,NA,NA
101900,Kaeo,Northland,Maori,12+,482,377,355,337,192,115,43,78%,74%,57%,37%
101900,Kaeo,Northland,Maori,5-11,111,37,17,NA,NA,NA,NA,33%,15%,NA,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,659,457,428,404,216,159,39,69%,65%,53%,25%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,122,14,9,NA,NA,NA,NA,11%,7%,NA,NA
102100,Hokianga South,Northland,Maori,12+,734,544,515,479,295,189,64,74%,70%,62%,34%
102100,Hokianga South,Northland,Maori,5-11,105,28,13,NA,NA,NA,NA,27%,12%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,269,215,206,183,93,57,11,80%,77%,51%,19%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,65,19,Masked,NA,NA,NA,NA,29%,<5%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,12+,58,54,51,50,32,6,Masked,93%,88%,64%,50%
102300,Okaihau,Northland,Maori,12+,328,268,255,231,111,69,18,82%,78%,48%,26%
102300,Okaihau,Northland,Maori,5-11,62,13,Masked,NA,NA,NA,NA,21%,6%,NA,NA
102400,Rangitane-Purerua,Northland,Maori,12+,372,314,296,268,149,102,29,84%,80%,56%,28%
102400,Rangitane-Purerua,Northland,Maori,5-11,62,13,Masked,NA,NA,NA,NA,21%,8%,NA,NA
102500,Waipapa,Northland,Maori,12+,138,113,106,98,49,27,15,82%,77%,50%,56%
102600,Puketotara,Northland,Maori,12+,246,203,197,174,96,54,15,83%,80%,55%,28%
102600,Puketotara,Northland,Maori,5-11,52,23,Masked,NA,NA,NA,NA,44%,6%,NA,NA
102600,Puketotara,Northland,Pacific Peoples,12+,40,Masked,Masked,38,18,9,NA,>95%,>95%,47%,0%
102700,Waima Forest,Northland,Maori,12+,803,597,569,532,271,169,31,74%,71%,51%,18%
102700,Waima Forest,Northland,Maori,5-11,129,21,7,NA,NA,NA,NA,16%,5%,NA,NA
102800,Riverview,Northland,Maori,12+,247,220,214,192,112,59,16,89%,87%,58%,27%
102800,Riverview,Northland,Maori,5-11,52,21,Masked,NA,NA,NA,NA,40%,8%,NA,NA
102900,Waipoua Forest,Northland,Maori,12+,651,508,489,468,299,201,65,78%,75%,64%,32%
102900,Waipoua Forest,Northland,Maori,5-11,98,14,Masked,NA,NA,NA,NA,14%,5%,NA,NA
103000,Kerikeri Central,Northland,Maori,12+,471,404,389,356,168,72,21,86%,83%,47%,29%
103000,Kerikeri Central,Northland,Maori,5-11,101,29,11,NA,NA,NA,NA,29%,11%,NA,NA
103000,Kerikeri Central,Northland,Pacific Peoples,12+,98,Masked,Masked,104,29,9,Masked,>95%,>95%,28%,33%
103100,Kerikeri South,Northland,Maori,12+,255,203,193,181,107,61,22,80%,76%,59%,36%
103100,Kerikeri South,Northland,Maori,5-11,51,19,Masked,NA,NA,NA,NA,37%,10%,NA,NA
103200,Ohaeawai-Waimate North,Northland,Maori,12+,419,349,332,308,177,115,14,83%,79%,57%,12%
103200,Ohaeawai-Waimate North,Northland,Maori,5-11,73,13,7,NA,NA,NA,NA,18%,10%,NA,NA
103300,Puketona-Waitangi,Northland,Maori,12+,284,242,238,226,138,85,21,85%,84%,61%,25%
103300,Puketona-Waitangi,Northland,Maori,5-11,43,22,Masked,NA,NA,NA,NA,51%,7%,NA,NA
103400,Ngapuhi,Northland,Maori,12+,"1,004",787,749,697,343,224,44,78%,75%,49%,20%
103400,Ngapuhi,Northland,Maori,5-11,171,35,8,NA,NA,NA,NA,20%,<5%,NA,NA
103500,Kaikohe,Northland,Maori,12+,"2,804","2,190","2,067","1,906",933,539,128,78%,74%,49%,24%
103500,Kaikohe,Northland,Maori,5-11,622,150,50,NA,NA,NA,NA,24%,8%,NA,NA
103500,Kaikohe,Northland,Pacific Peoples,12+,109,98,96,92,38,20,6,90%,88%,41%,30%
103600,Pakaraka,Northland,Maori,12+,155,135,130,121,65,33,7,87%,84%,54%,21%
103700,Haruru,Northland,Maori,12+,226,195,192,176,93,47,14,86%,85%,53%,30%
103700,Haruru,Northland,Maori,5-11,59,28,6,NA,NA,NA,NA,47%,10%,NA,NA
103800,Russell,Northland,Maori,12+,139,125,124,116,82,57,22,90%,89%,71%,39%
103900,Paihia,Northland,Maori,12+,510,415,398,374,181,114,32,81%,78%,48%,28%
103900,Paihia,Northland,Maori,5-11,74,16,Masked,NA,NA,NA,NA,22%,7%,NA,NA
104000,Mataraua Forest,Northland,Maori,12+,347,256,239,215,120,79,25,74%,69%,56%,32%
104000,Mataraua Forest,Northland,Maori,5-11,54,10,Masked,NA,NA,NA,NA,19%,9%,NA,NA
104100,Matawaia-Taumarere,Northland,Maori,12+,852,649,623,563,287,176,37,76%,73%,51%,21%
104100,Matawaia-Taumarere,Northland,Maori,5-11,163,42,7,NA,NA,NA,NA,26%,<5%,NA,NA
104200,Russell Peninsula,Northland,Maori,12+,84,64,64,60,43,25,9,76%,76%,72%,36%
104300,Opua (Far North District),Northland,Maori,12+,185,138,132,123,69,47,12,75%,71%,56%,26%
104400,Russell Forest-Rawhiti,Northland,Maori,12+,413,351,337,317,194,144,44,85%,82%,61%,31%
104400,Russell Forest-Rawhiti,Northland,Maori,5-11,67,11,Masked,NA,NA,NA,NA,16%,<5%,NA,NA
104500,Moerewa,Northland,Maori,12+,"1,202",978,936,856,437,249,73,81%,78%,51%,29%
104500,Moerewa,Northland,Maori,5-11,228,32,8,NA,NA,NA,NA,14%,<5%,NA,NA
104600,Kawakawa,Northland,Maori,12+,823,702,666,609,305,167,39,85%,81%,50%,23%
104600,Kawakawa,Northland,Maori,5-11,151,36,10,NA,NA,NA,NA,24%,7%,NA,NA
104700,Maromaku,Northland,Maori,12+,270,202,192,175,91,45,9,75%,71%,52%,20%
104700,Maromaku,Northland,Maori,5-11,75,22,Masked,NA,NA,NA,NA,29%,5%,NA,NA
104800,Mangakahia-Hukerenui,Northland,Maori,12+,629,532,511,460,238,136,42,85%,81%,52%,31%
104800,Mangakahia-Hukerenui,Northland,Maori,5-11,129,28,Masked,NA,NA,NA,NA,22%,<5%,NA,NA
104900,Whangaruru,Northland,Maori,12+,700,570,555,512,282,172,29,81%,79%,55%,17%
104900,Whangaruru,Northland,Maori,5-11,139,42,7,NA,NA,NA,NA,30%,5%,NA,NA
105100,Matarau,Northland,Maori,12+,398,328,320,283,152,73,20,82%,80%,54%,27%
105100,Matarau,Northland,Maori,5-11,88,27,11,NA,NA,NA,NA,31%,12%,NA,NA
105200,Hikurangi,Northland,Maori,12+,495,414,395,354,173,76,14,84%,80%,49%,18%
105200,Hikurangi,Northland,Maori,5-11,133,44,18,NA,NA,NA,NA,33%,14%,NA,NA
105300,Kauri,Northland,Maori,12+,247,209,205,191,116,65,13,85%,83%,61%,20%
105300,Kauri,Northland,Maori,5-11,58,16,Masked,NA,NA,NA,NA,28%,9%,NA,NA
105400,Maungatapere,Northland,Maori,12+,458,395,381,350,213,98,30,86%,83%,61%,31%
105400,Maungatapere,Northland,Maori,5-11,101,35,15,NA,NA,NA,NA,35%,15%,NA,NA
105500,Kamo West,Northland,Maori,12+,423,366,360,312,183,104,29,87%,85%,59%,28%
105500,Kamo West,Northland,Maori,5-11,89,41,16,NA,NA,NA,NA,46%,18%,NA,NA
