SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"8,486",Masked,"7,932","7,152","3,360",>95%,93%,47%
Unknown,Unknown,Unknown,Maori,5-11,"1,537",447,161,NA,NA,29%,10%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,294",Masked,Masked,"3,282","1,652",>95%,>95%,50%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,350,133,44,NA,NA,38%,13%,NA
100100,North Cape,Northland,Maori,12+,864,765,748,675,416,89%,87%,62%
100100,North Cape,Northland,Maori,5-11,159,42,13,NA,NA,26%,8%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,033",888,853,768,394,86%,83%,51%
100200,Rangaunu Harbour,Northland,Maori,5-11,190,34,12,NA,NA,18%,6%,NA
100400,Karikari Peninsula,Northland,Maori,12+,531,449,434,403,209,85%,82%,52%
100400,Karikari Peninsula,Northland,Maori,5-11,86,20,Masked,NA,NA,23%,6%,NA
100500,Tangonge,Northland,Maori,12+,558,486,476,425,232,87%,85%,55%
100500,Tangonge,Northland,Maori,5-11,93,19,Masked,NA,NA,20%,<5%,NA
100600,Ahipara,Northland,Maori,12+,579,487,470,435,256,84%,81%,59%
100600,Ahipara,Northland,Maori,5-11,107,35,9,NA,NA,33%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,321","1,168","1,100",975,450,88%,83%,46%
100700,Kaitaia East,Northland,Maori,5-11,292,87,22,NA,NA,30%,8%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,55,Masked,Masked,54,27,>95%,>95%,50%
100800,Kaitaia West,Northland,Maori,12+,"1,845","1,608","1,520","1,329",614,87%,82%,46%
100800,Kaitaia West,Northland,Maori,5-11,400,80,28,NA,NA,20%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,98,90,88,79,39,92%,90%,49%
100900,Rangitihi,Northland,Maori,12+,388,331,318,281,139,85%,82%,49%
100900,Rangitihi,Northland,Maori,5-11,58,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,311,255,242,220,107,82%,78%,49%
101000,Oruru-Parapara,Northland,Maori,5-11,64,14,Masked,NA,NA,22%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,576,510,485,437,242,89%,84%,55%
101100,Taumarumaru,Northland,Maori,5-11,142,31,9,NA,NA,22%,6%,NA
101200,Herekino-Takahue,Northland,Maori,12+,433,354,335,301,154,82%,77%,51%
101200,Herekino-Takahue,Northland,Maori,5-11,83,25,Masked,NA,NA,30%,<5%,NA
101300,Peria,Northland,Maori,12+,330,256,244,221,103,78%,74%,47%
101300,Peria,Northland,Maori,5-11,83,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,304,242,227,201,103,80%,75%,51%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,73,21,Masked,NA,NA,29%,5%,NA
101500,Whakapaku,Northland,Maori,12+,264,212,199,181,99,80%,75%,55%
101500,Whakapaku,Northland,Maori,5-11,59,19,Masked,NA,NA,32%,5%,NA
101600,Hokianga North,Northland,Maori,12+,674,569,553,502,331,84%,82%,66%
101600,Hokianga North,Northland,Maori,5-11,133,35,6,NA,NA,26%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,367,294,288,259,163,80%,78%,63%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,48,11,Masked,NA,NA,23%,<5%,NA
101800,Whakarara,Northland,Maori,12+,549,481,464,425,270,88%,85%,64%
101800,Whakarara,Northland,Maori,5-11,75,32,16,NA,NA,43%,21%,NA
101900,Kaeo,Northland,Maori,12+,458,370,349,322,185,81%,76%,57%
101900,Kaeo,Northland,Maori,5-11,107,35,15,NA,NA,33%,14%,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,647,468,437,402,218,72%,68%,54%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,124,13,Masked,NA,NA,10%,<5%,NA
102100,Hokianga South,Northland,Maori,12+,711,542,513,470,274,76%,72%,58%
102100,Hokianga South,Northland,Maori,5-11,114,26,6,NA,NA,23%,5%,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,250,210,201,175,88,84%,80%,50%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,53,17,Masked,NA,NA,32%,<5%,NA
102300,Okaihau,Northland,Maori,12+,313,270,258,233,110,86%,82%,47%
102300,Okaihau,Northland,Maori,5-11,56,12,Masked,NA,NA,21%,<5%,NA
102400,Rangitane-Purerua,Northland,Maori,12+,350,312,296,260,145,89%,85%,56%
102400,Rangitane-Purerua,Northland,Maori,5-11,65,12,Masked,NA,NA,18%,8%,NA
102500,Waipapa,Northland,Maori,12+,129,112,107,96,48,87%,83%,50%
102600,Puketotara,Northland,Maori,12+,232,202,197,170,95,87%,85%,56%
102600,Puketotara,Northland,Maori,5-11,53,24,Masked,NA,NA,45%,6%,NA
102700,Waima Forest,Northland,Maori,12+,784,603,575,523,263,77%,73%,50%
102700,Waima Forest,Northland,Maori,5-11,129,20,6,NA,NA,16%,<5%,NA
102800,Riverview,Northland,Maori,12+,216,Masked,204,177,99,>95%,94%,56%
102800,Riverview,Northland,Maori,5-11,58,22,Masked,NA,NA,38%,7%,NA
102900,Waipoua Forest,Northland,Maori,12+,635,518,498,464,294,82%,78%,63%
102900,Waipoua Forest,Northland,Maori,5-11,85,16,Masked,NA,NA,19%,6%,NA
103000,Kerikeri Central,Northland,Maori,12+,457,407,391,348,165,89%,86%,47%
103000,Kerikeri Central,Northland,Maori,5-11,106,27,9,NA,NA,25%,8%,NA
103000,Kerikeri Central,Northland,Pacific Peoples,12+,55,Masked,Masked,97,28,>95%,>95%,29%
103100,Kerikeri South,Northland,Maori,12+,230,203,194,180,99,88%,84%,55%
103100,Kerikeri South,Northland,Maori,5-11,49,20,Masked,NA,NA,41%,10%,NA
103200,Ohaeawai-Waimate North,Northland,Maori,12+,407,348,331,302,173,86%,81%,57%
103200,Ohaeawai-Waimate North,Northland,Maori,5-11,70,13,Masked,NA,NA,19%,7%,NA
103300,Puketona-Waitangi,Northland,Maori,12+,279,246,243,229,136,88%,87%,59%
103300,Puketona-Waitangi,Northland,Maori,5-11,43,22,Masked,NA,NA,51%,7%,NA
103400,Ngapuhi,Northland,Maori,12+,946,776,738,657,329,82%,78%,50%
103400,Ngapuhi,Northland,Maori,5-11,175,30,7,NA,NA,17%,<5%,NA
103500,Kaikohe,Northland,Maori,12+,"2,724","2,200","2,084","1,876",916,81%,77%,49%
103500,Kaikohe,Northland,Maori,5-11,609,146,43,NA,NA,24%,7%,NA
103500,Kaikohe,Northland,Pacific Peoples,12+,103,94,92,85,37,91%,89%,44%
103600,Pakaraka,Northland,Maori,12+,149,135,130,117,64,91%,87%,55%
103700,Haruru,Northland,Maori,12+,213,194,191,171,87,91%,90%,51%
103700,Haruru,Northland,Maori,5-11,66,28,6,NA,NA,42%,9%,NA
103800,Russell,Northland,Maori,12+,136,129,128,118,83,95%,94%,70%
103900,Paihia,Northland,Maori,12+,501,417,400,363,179,83%,80%,49%
103900,Paihia,Northland,Maori,5-11,81,20,6,NA,NA,25%,7%,NA
104000,Mataraua Forest,Northland,Maori,12+,326,260,240,212,116,80%,74%,55%
104000,Mataraua Forest,Northland,Maori,5-11,63,11,Masked,NA,NA,17%,8%,NA
104100,Matawaia-Taumarere,Northland,Maori,12+,814,654,628,559,275,80%,77%,49%
104100,Matawaia-Taumarere,Northland,Maori,5-11,162,42,7,NA,NA,26%,<5%,NA
104200,Russell Peninsula,Northland,Maori,12+,75,59,59,55,40,79%,79%,73%
104300,Opua (Far North District),Northland,Maori,12+,171,131,125,116,64,77%,73%,55%
104400,Russell Forest-Rawhiti,Northland,Maori,12+,393,339,325,300,185,86%,83%,62%
104400,Russell Forest-Rawhiti,Northland,Maori,5-11,63,11,Masked,NA,NA,17%,<5%,NA
104500,Moerewa,Northland,Maori,12+,"1,173",998,954,846,426,85%,81%,50%
104500,Moerewa,Northland,Maori,5-11,255,33,9,NA,NA,13%,<5%,NA
104600,Kawakawa,Northland,Maori,12+,802,717,677,599,304,89%,84%,51%
104600,Kawakawa,Northland,Maori,5-11,166,33,8,NA,NA,20%,<5%,NA
104700,Maromaku,Northland,Maori,12+,244,190,179,161,83,78%,73%,52%
