Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,240309,Maori
Pfizer BioNTech COVID-19,1,276201,Pacific Peoples
Pfizer BioNTech COVID-19,2,909,European or other
Pfizer BioNTech COVID-19,Third primary,359,Unknown
AstraZeneca,Booster,97,Unknown
AstraZeneca,1,47,Unknown
Paediatric Pfizer,1,59934,Asian
Pfizer BioNTech COVID-19,1,521071,Maori
Pfizer BioNTech COVID-19,2,32513,Unknown
AstraZeneca,2,240,Pacific Peoples
Paediatric Pfizer,2,653,Unknown
AstraZeneca,2,2701,European or other
Novavax,Booster,33,Asian
Pfizer BioNTech COVID-19,Booster,433498,Asian
Paediatric Pfizer,2,71457,European or other
Pfizer BioNTech COVID-19,2,504174,Maori
Paediatric Pfizer,1,24054,Pacific Peoples
Novavax,1,1515,European or other
AstraZeneca,Booster,1283,European or other
AstraZeneca,2,350,Maori
Paediatric Pfizer,Booster,17,European or other
AstraZeneca,Booster,98,Maori
Novavax,Third primary,23,European or other
Novavax,1,23,Unknown
Pfizer BioNTech COVID-19,2,39,Maori
Pfizer BioNTech COVID-19,1,2559997,European or other
Pfizer BioNTech COVID-19,Booster,143901,Pacific Peoples
Paediatric Pfizer,1,136828,European or other
Novavax,2,1294,European or other
AstraZeneca,1,2574,European or other
AstraZeneca,1,365,Maori
Novavax,Booster,5,Unknown
Novavax,2,18,Unknown
Pfizer BioNTech COVID-19,2,5,Unknown
Pfizer BioNTech COVID-19,2,272260,Pacific Peoples
Pfizer BioNTech COVID-19,2,76,Asian
AstraZeneca,1,107,Pacific Peoples
Novavax,1,157,Maori
AstraZeneca,2,231,Asian
Novavax,2,32,Pacific Peoples
Paediatric Pfizer,Third primary,6,Maori
Pfizer BioNTech COVID-19,2,2536428,European or other
Paediatric Pfizer,2,33081,Asian
Paediatric Pfizer,2,15076,Maori
Pfizer BioNTech COVID-19,Booster,26796,Unknown
Pfizer BioNTech COVID-19,Third primary,2446,Maori
Pfizer BioNTech COVID-19,Third primary,1999,Asian
AstraZeneca,1,217,Asian
Novavax,Third primary,6,Asian
Paediatric Pfizer,Third primary,8,Asian
AstraZeneca,Booster,258,Asian
AstraZeneca,Third primary,5,Asian
Pfizer BioNTech COVID-19,1,632042,Asian
Pfizer BioNTech COVID-19,2,628420,Asian
Paediatric Pfizer,2,8141,Pacific Peoples
Novavax,1,352,Asian
Novavax,2,296,Asian
Pfizer BioNTech COVID-19,Third primary,26532,European or other
AstraZeneca,Booster,95,Pacific Peoples
AstraZeneca,2,91,Unknown
Novavax,1,40,Pacific Peoples
Paediatric Pfizer,Third primary,33,European or other
Pfizer BioNTech COVID-19,Booster,1823417,European or other
Paediatric Pfizer,1,41592,Maori
Pfizer BioNTech COVID-19,1,33348,Unknown
Pfizer BioNTech COVID-19,Third primary,1165,Pacific Peoples
Paediatric Pfizer,1,1160,Unknown
Novavax,Booster,227,European or other
AstraZeneca,Third primary,22,European or other
Novavax,2,118,Maori
Novavax,Booster,14,Maori
Pfizer BioNTech COVID-19,2,15,Pacific Peoples
