Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,577","18,292",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,921",818,NA,NA,60%,26%,NA
Auckland,12+,"1,383,359",Masked,Masked,"1,263,840","887,562",>95%,>95%,70%
Auckland,5-11,"163,730","98,753","50,022",NA,NA,60%,31%,NA
Buller District,12+,"8,270","7,748","7,644","7,243","5,217",94%,92%,72%
Buller District,5-11,719,352,171,NA,NA,49%,24%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,500","5,546",>95%,>95%,74%
Carterton District,5-11,834,470,208,NA,NA,56%,25%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,933","7,761",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",710,281,NA,NA,48%,19%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,759","14,067",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,117",523,NA,Masked,61%,29%,>95%
Chatham Islands Territory,12+,180,Masked,Masked,280,215,>95%,>95%,77%
Chatham Islands Territory,5-11,10,9,Masked,NA,NA,90%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"305,225","226,558",>95%,>95%,74%
Christchurch City,5-11,"31,517","19,642","9,927",NA,NA,62%,31%,NA
Clutha District,12+,"14,979","14,213","14,056","13,235","9,031",95%,94%,68%
Clutha District,5-11,"1,658",774,298,NA,NA,47%,18%,NA
Dunedin City,12+,"110,451",Masked,Masked,"105,946","83,031",>95%,>95%,78%
Dunedin City,5-11,"9,730","6,460","3,598",NA,NA,66%,37%,NA
Far North District,12+,"56,393","50,708","49,301","46,116","29,836",90%,87%,65%
Far North District,5-11,"7,086","2,142",722,NA,NA,30%,10%,NA
Gisborne District,12+,"40,629","38,494","37,612","34,874","22,648",95%,93%,65%
Gisborne District,5-11,"5,498","2,741","1,197",NA,NA,50%,22%,NA
Gore District,12+,"10,754","9,973","9,855","9,275","6,473",93%,92%,70%
Gore District,5-11,"1,139",385,187,NA,NA,34%,16%,NA
Grey District,12+,"11,405","10,812","10,630","9,993","7,006",95%,93%,70%
Grey District,5-11,"1,238",571,291,NA,NA,46%,24%,NA
Hamilton City,12+,"137,508",Masked,Masked,"126,738","83,540",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,275","3,832",NA,NA,54%,22%,NA
Hastings District,12+,"69,329",Masked,Masked,"64,158","43,370",>95%,>95%,68%
Hastings District,5-11,"8,928","4,125","1,600",NA,NA,46%,18%,NA
Hauraki District,12+,"17,315","15,834","15,534","14,649","9,840",91%,90%,67%
Hauraki District,5-11,"1,785",668,265,NA,NA,37%,15%,NA
Horowhenua District,12+,"28,779",Masked,"27,286","25,656","18,083",>95%,95%,70%
Horowhenua District,5-11,"3,100","1,414",523,NA,NA,46%,17%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,792","7,005",>95%,>95%,72%
Hurunui District,5-11,"1,176",609,304,NA,NA,52%,26%,NA
Invercargill City,12+,"45,867",Masked,"43,370","40,683","28,568",>95%,95%,70%
Invercargill City,5-11,"5,141","2,580","1,180",NA,NA,50%,23%,NA
Kaikoura District,12+,"3,473","3,207","3,172","3,018","2,229",92%,91%,74%
Kaikoura District,5-11,315,151,84,NA,NA,48%,27%,NA
Kaipara District,12+,"20,170","18,115","17,691","16,786","10,998",90%,88%,66%
Kaipara District,5-11,"2,228",739,282,NA,NA,33%,13%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,684","33,364",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,569","1,446",NA,NA,55%,31%,NA
Kawerau District,12+,"6,115","5,526","5,335","4,923","2,914",90%,87%,59%
Kawerau District,5-11,854,213,43,NA,NA,25%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"81,860","60,580",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,609","3,329",NA,NA,63%,32%,NA
Mackenzie District,12+,"4,131","3,860","3,817","3,645","2,561",93%,92%,70%
Mackenzie District,5-11,387,188,77,NA,NA,49%,20%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,158","16,269",>95%,>95%,70%
Manawatu District,5-11,"3,183","1,690",782,NA,NA,53%,25%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,309","28,382",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,278","1,099",NA,NA,55%,26%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,393","14,250",>95%,>95%,70%
Masterton District,5-11,"2,400","1,155",418,NA,NA,48%,17%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,629","26,013","16,746",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,383",464,NA,NA,42%,14%,NA
Napier City,12+,"54,392",Masked,"51,559","48,439","34,141",>95%,95%,70%
Napier City,5-11,"6,159","2,945","1,156",NA,NA,48%,19%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,684","29,996",>95%,>95%,74%
Nelson City,5-11,"4,453","2,669","1,121",NA,NA,60%,25%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"61,106","41,864",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,011","1,915",NA,NA,48%,23%,NA
Opotiki District,12+,"7,121","6,733","6,457","6,042","3,805",95%,91%,63%
Opotiki District,5-11,967,257,70,NA,NA,27%,7%,NA
Otorohanga District,12+,"7,960","7,382","7,240","6,744","3,921",93%,91%,58%
Otorohanga District,5-11,"1,086",345,125,NA,NA,32%,12%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,188","47,277",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,882","2,450",NA,NA,58%,29%,NA
Porirua City,12+,"47,708",Masked,Masked,"42,883","30,635",>95%,>95%,71%
Porirua City,5-11,"6,751","3,897","1,663",NA,NA,58%,25%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"36,587","23,066",>95%,>95%,63%
Queenstown-Lakes District,5-11,"3,430","2,141",981,NA,NA,62%,29%,NA
Rangitikei District,12+,"12,699","11,827","11,633","10,962","7,673",93%,92%,70%
Rangitikei District,5-11,"1,491",685,265,NA,NA,46%,18%,NA
Rotorua District,12+,"58,081",Masked,"54,447","50,608","33,089",>95%,94%,65%
Rotorua District,5-11,"7,718","3,329","1,280",NA,NA,43%,17%,NA
Ruapehu District,12+,"9,936","8,839","8,576","8,039","5,102",89%,86%,63%
Ruapehu District,5-11,"1,366",414,156,NA,NA,30%,11%,NA
Selwyn District,12+,"52,972",Masked,Masked,"53,681","39,978",>95%,>95%,74%
Selwyn District,5-11,"6,904","5,053","2,722",NA,NA,73%,39%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"18,922","12,206",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,192",533,NA,NA,44%,20%,NA
South Waikato District,12+,"19,628","18,126","17,718","16,523","9,895",92%,90%,60%
South Waikato District,5-11,"2,626",951,317,NA,NA,36%,12%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,903","6,700",>95%,>95%,75%
South Wairarapa District,5-11,997,561,245,NA,NA,56%,25%,NA
Southland District,12+,"25,064","23,365","23,041","21,548","14,433",93%,92%,67%
Southland District,5-11,"3,087","1,359",608,NA,NA,44%,20%,NA
Stratford District,12+,"7,475",Masked,"7,022","6,561","4,359",>95%,94%,66%
Stratford District,5-11,993,485,219,NA,NA,49%,22%,NA
Tararua District,12+,"15,002","13,986","13,727","12,850","8,587",93%,92%,67%
Tararua District,5-11,"1,897",775,313,NA,NA,41%,16%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,284","29,366",>95%,>95%,71%
Tasman District,5-11,"4,679","2,215","1,089",NA,NA,47%,23%,NA
Taupo District,12+,"32,180",Masked,"30,045","28,231","18,339",>95%,93%,65%
