DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland,Asian,12-15,Female,2921,2446,2947,991,830
Auckland,Asian,12-15,Male,3061,2560,3085,992,830
Auckland,Asian,16-19,Female,3169,2780,2904,1091,957
Auckland,Asian,16-19,Male,3261,2845,2826,1154,1007
Auckland,Asian,16-19,Unknown/Other,44,38,9,4889,4222
Auckland,Asian,20-24,Female,5773,5089,5122,1127,994
Auckland,Asian,20-24,Male,5948,5048,4850,1226,1041
Auckland,Asian,20-24,Unknown/Other,80,68,12,6667,5667
Auckland,Asian,25-29,Female,7792,7150,8392,929,852
Auckland,Asian,25-29,Male,8895,7939,7740,1149,1026
Auckland,Asian,25-29,Unknown/Other,135,125,25,5400,5000
Auckland,Asian,30-34,Female,8765,7968,9316,941,855
Auckland,Asian,30-34,Male,8890,8151,8382,1061,972
Auckland,Asian,30-34,Unknown/Other,112,97,19,5895,5105
Auckland,Asian,35-39,Female,7490,6840,8154,919,839
Auckland,Asian,35-39,Male,7572,7035,7336,1032,959
Auckland,Asian,35-39,Unknown/Other,60,57,14,4286,4071
Auckland,Asian,40-44,Female,5629,5286,5623,1001,940
Auckland,Asian,40-44,Male,5609,5280,5231,1072,1009
Auckland,Asian,40-44,Unknown/Other,48,40,15,3200,2667
Auckland,Asian,45-49,Female,4622,4342,4861,951,893
Auckland,Asian,45-49,Male,4198,3955,3985,1053,992
Auckland,Asian,50-54,Female,4203,3945,4411,953,894
Auckland,Asian,50-54,Male,3364,3217,3467,970,928
Auckland,Asian,55-59,Female,3871,3713,4228,916,878
Auckland,Asian,55-59,Male,3297,3140,3468,951,905
Auckland,Asian,60-64,Female,3132,2979,3608,868,826
Auckland,Asian,60-64,Male,2652,2543,2922,908,870
Auckland,Asian,65-69,Female,2690,2590,2935,917,882
Auckland,Asian,65-69,Male,2246,2167,2584,869,839
Auckland,Asian,70-74,Female,1736,1660,1918,905,865
Auckland,Asian,70-74,Male,1627,1582,1743,933,908
Auckland,Asian,75-79,Female,1093,1046,1240,881,844
Auckland,Asian,75-79,Male,932,889,1080,863,823
