Date,Trained Vaccinator,Active Vaccinator
2021-02-28,584,136
2021-03-07,905,251
2021-03-14,1048,324
2021-03-21,1252,420
2021-03-28,1479,587
2021-04-04,1792,750
2021-04-11,2072,925
2021-04-18,2505,1157
2021-04-25,2895,1380
2021-05-02,3389,1564
2021-05-09,4448,1789
2021-05-16,5166,1998
2021-05-23,6110,2222
2021-05-30,6511,2461
2021-06-06,7141,2721
2021-06-13,7678,2941
2021-06-20,8107,3221
2021-06-27,8453,3435
2021-07-04,8622,3651
2021-07-11,8984,3840
2021-07-18,9389,3992
2021-07-25,9785,4273
2021-08-01,10214,4714
2021-08-08,10663,5201
2021-08-15,11005,5660
2021-08-22,11523,6024
2021-08-29,12461,6650
2021-09-05,13105,7261
2021-09-12,13557,7705
2021-09-19,13776,8111
2021-09-26,14094,8469
2021-10-03,14224,8687
2021-10-10,14387,8992
2021-10-17,14568,9343
2021-10-24,14630,9473
2021-10-31,14748,9616
