DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland Metro,Asian,12-15,Female,8023,678,9507,844,71
Auckland Metro,Asian,12-15,Male,8450,711,10290,821,69
Auckland Metro,Asian,12-15,Unknown/Other,13,0,8,1625,250
Auckland Metro,Asian,16-19,Female,8283,2653,8658,957,306
Auckland Metro,Asian,16-19,Male,8631,2622,8838,977,297
Auckland Metro,Asian,16-19,Unknown/Other,76,35,20,3800,1750
Auckland Metro,Asian,20-24,Female,12101,5445,13119,922,415
Auckland Metro,Asian,20-24,Male,13069,4941,13140,995,376
Auckland Metro,Asian,20-24,Unknown/Other,144,49,26,5538,1885
Auckland Metro,Asian,25-29,Female,18058,8913,22261,811,400
Auckland Metro,Asian,25-29,Male,20231,9002,21122,958,426
Auckland Metro,Asian,25-29,Unknown/Other,220,103,52,4231,1981
Auckland Metro,Asian,30-34,Female,23279,11899,27585,844,431
Auckland Metro,Asian,30-34,Male,23588,11666,24463,964,477
Auckland Metro,Asian,30-34,Unknown/Other,235,108,58,4052,1862
Auckland Metro,Asian,35-39,Female,22481,12067,26042,863,463
Auckland Metro,Asian,35-39,Male,22385,11720,23286,961,503
Auckland Metro,Asian,35-39,Unknown/Other,122,74,39,3128,1897
Auckland Metro,Asian,40-44,Female,16820,9983,17625,954,566
Auckland Metro,Asian,40-44,Male,17156,10188,16424,1045,620
Auckland Metro,Asian,40-44,Unknown/Other,142,87,30,4733,2900
Auckland Metro,Asian,45-49,Female,13331,8294,14609,913,568
Auckland Metro,Asian,45-49,Male,12533,7922,12775,981,620
Auckland Metro,Asian,45-49,Unknown/Other,101,61,18,5611,3389
Auckland Metro,Asian,50-54,Female,12075,8046,13152,918,612
Auckland Metro,Asian,50-54,Male,10276,6975,10867,946,642
Auckland Metro,Asian,50-54,Unknown/Other,67,39,7,9571,5571
Auckland Metro,Asian,55-59,Female,11005,8141,12473,882,653
Auckland Metro,Asian,55-59,Male,9642,7120,10448,923,681
Auckland Metro,Asian,55-59,Unknown/Other,27,18,16,1688,1125
Auckland Metro,Asian,60-64,Female,9813,7765,11771,834,660
Auckland Metro,Asian,60-64,Male,8076,6439,9386,860,686
Auckland Metro,Asian,60-64,Unknown/Other,20,12,17,1176,706
Auckland Metro,Asian,65-69,Female,8428,7264,9591,879,757
Auckland Metro,Asian,65-69,Male,7124,6288,8323,856,755
Auckland Metro,Asian,65-69,Unknown/Other,12,10,13,923,769
Auckland Metro,Asian,70-74,Female,5086,4478,5803,876,772
Auckland Metro,Asian,70-74,Male,4921,4418,5520,891,800
Auckland Metro,Asian,75-79,Female,2937,2520,3533,831,713
Auckland Metro,Asian,75-79,Male,2630,2333,3128,841,746
Auckland Metro,Asian,80-84,Female,1896,1614,2375,798,680
Auckland Metro,Asian,80-84,Male,1680,1459,2182,770,669
Auckland Metro,Asian,85-89,Female,886,751,1068,830,703
Auckland Metro,Asian,85-89,Male,789,677,961,821,704
Auckland Metro,Asian,90+,Female,324,279,427,759,653
Auckland Metro,Asian,90+,Male,225,195,277,812,704
Auckland Metro,European or Other,12-15,Female,13163,699,17932,734,39
Auckland Metro,European or Other,12-15,Male,13547,724,18766,722,39
Auckland Metro,European or Other,12-15,Unknown/Other,10,0,12,833,83
Auckland Metro,European or Other,16-19,Female,13119,2774,17162,764,162
Auckland Metro,European or Other,16-19,Male,13124,2275,17686,742,129
Auckland Metro,European or Other,16-19,Unknown/Other,20,5,27,741,185
Auckland Metro,European or Other,20-24,Female,17854,6078,24678,723,246
Auckland Metro,European or Other,20-24,Male,16673,4126,23807,700,173
Auckland Metro,European or Other,20-24,Unknown/Other,58,12,44,1318,273
Auckland Metro,European or Other,25-29,Female,20050,7305,29464,680,248
Auckland Metro,European or Other,25-29,Male,19107,5513,27285,700,202
Auckland Metro,European or Other,25-29,Unknown/Other,72,23,48,1500,479
Auckland Metro,European or Other,30-34,Female,20737,6976,28812,720,242
Auckland Metro,European or Other,30-34,Male,20682,6036,27078,764,223
Auckland Metro,European or Other,30-34,Unknown/Other,59,21,38,1553,553
Auckland Metro,European or Other,35-39,Female,19952,6785,26776,745,253
Auckland Metro,European or Other,35-39,Male,19661,5998,25747,764,233
Auckland Metro,European or Other,35-39,Unknown/Other,28,11,25,1120,440
Auckland Metro,European or Other,40-44,Female,20801,8080,26491,785,305
Auckland Metro,European or Other,40-44,Male,20399,7202,25512,800,282
Auckland Metro,European or Other,40-44,Unknown/Other,23,10,11,2091,909
Auckland Metro,European or Other,45-49,Female,23987,10453,30170,795,346
Auckland Metro,European or Other,45-49,Male,23300,9098,29821,781,305
Auckland Metro,European or Other,45-49,Unknown/Other,13,6,11,1182,545
Auckland Metro,European or Other,50-54,Female,25163,12875,29297,859,439
Auckland Metro,European or Other,50-54,Male,25502,11995,30226,844,397
Auckland Metro,European or Other,50-54,Unknown/Other,20,10,12,1667,833
Auckland Metro,European or Other,55-59,Female,24136,15367,28531,846,539
Auckland Metro,European or Other,55-59,Male,25123,15190,29601,849,513
Auckland Metro,European or Other,55-59,Unknown/Other,6,0,5,1200,200
Auckland Metro,European or Other,60-64,Female,22212,16004,24673,900,649
