Date,Trained Vaccinator,Active Vaccinator
2021-02-28,584,135
2021-03-07,905,249
2021-03-14,1048,322
2021-03-21,1252,418
2021-03-28,1479,584
2021-04-04,1792,747
2021-04-11,2072,921
2021-04-18,2505,1152
2021-04-25,2895,1374
2021-05-02,3389,1557
2021-05-09,4448,1779
2021-05-16,5166,1988
2021-05-23,6110,2214
2021-05-30,6511,2450
2021-06-06,7141,2711
2021-06-13,7678,2930
2021-06-20,8107,3209
2021-06-27,8453,3420
2021-07-04,8622,3632
2021-07-11,8984,3823
2021-07-18,9389,3975
2021-07-25,9785,4256
2021-08-01,10214,4696
2021-08-08,10663,5177
2021-08-15,11005,5635
2021-08-22,11523,5993
2021-08-29,12461,6609
2021-09-05,13105,7203
2021-09-12,13557,7650
2021-09-19,13776,8060
