Date,First dose administered,Second dose administered
2021-08-06,30401,11699
2021-08-07,27918,8875
2021-08-08,15887,4622
2021-08-09,26915,11640
2021-08-10,31127,15940
2021-08-11,32047,16913
2021-08-12,32532,16524
2021-08-13,31385,15637
2021-08-14,30450,13289
2021-08-15,18296,7378
2021-08-16,30382,16039
2021-08-17,35858,20397
2021-08-18,414,100
2021-08-19,21599,8734
2021-08-20,38818,20160
2021-08-21,38387,15855
2021-08-22,28526,9049
2021-08-23,46851,19516
2021-08-24,59465,23551
2021-08-25,63498,26411
2021-08-26,67903,25447
2021-08-27,67475,24655
2021-08-28,56891,22351
2021-08-29,37108,11455
2021-08-30,54910,23725
2021-08-31,59385,27443
2021-09-01,63614,27628
2021-09-02,65231,25269
2021-09-03,61908,25882
2021-09-04,56076,22537
2021-09-05,27047,11991
2021-09-06,45331,21791
2021-09-07,50006,23419
2021-09-08,48863,18526
2021-09-09,46528,15599
2021-09-10,44192,21125
2021-09-11,39055,23276
2021-09-12,20683,13443
2021-09-13,34558,20947
2021-09-14,39747,22859
2021-09-15,40049,23181
2021-09-16,37304,24124
2021-09-17,33395,27629
2021-09-18,29334,24581
2021-09-19,14316,12569
2021-09-20,24842,25901
2021-09-21,27840,26521
2021-09-22,24580,25513
2021-09-23,21274,28504
2021-09-24,19180,31771
2021-09-25,19588,32265
2021-09-26,8292,16583
2021-09-27,12772,28238
2021-09-28,13671,31206
2021-09-29,14089,27075
2021-09-30,14226,32352
2021-10-01,12413,35462
2021-10-02,12927,37396
2021-10-03,7106,20018
2021-10-04,15009,41129
2021-10-05,17779,46312
2021-10-06,19059,51595
2021-10-07,19932,62849
2021-10-08,18770,67377
2021-10-09,18418,63654
2021-10-10,9104,33170
2021-10-11,15184,54052
2021-10-12,17396,55287
