Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,247","25,765","18,492","10,562","3,449",>95%,94%,72%,33%
Ashburton District,5-11,"3,235","1,753",861,NA,NA,NA,NA,54%,27%,NA,NA
Auckland,12+,"1,468,419","1,363,175","1,346,558","1,270,317","905,294","395,437","144,994",93%,92%,71%,37%
Auckland,5-11,"161,323","92,553","53,699",NA,Masked,NA,NA,57%,33%,>95%,NA
Buller District,12+,"8,707","7,769","7,642","7,294","5,252","3,651","1,223",89%,88%,72%,33%
Buller District,5-11,740,328,178,NA,NA,NA,NA,44%,24%,NA,NA
Carterton District,12+,"8,651","8,147","8,018","7,591","5,682","3,799","1,539",94%,93%,75%,41%
Carterton District,5-11,832,434,218,NA,NA,NA,NA,52%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,713","11,073","7,924","4,843","1,577",>95%,94%,72%,33%
Central Hawke's Bay District,5-11,"1,456",658,285,NA,NA,NA,NA,45%,20%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,863","14,242","8,887","3,599",>95%,>95%,76%,40%
Central Otago District,5-11,"1,816","1,015",526,NA,NA,NA,NA,56%,29%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,299,226,130,22,>95%,>95%,76%,17%
Chatham Islands Territory,5-11,14,10,Masked,NA,NA,NA,NA,71%,36%,NA,NA
Christchurch City,12+,"343,918","326,277","322,947","307,076","230,179","108,463","42,731",95%,94%,75%,39%
Christchurch City,5-11,"31,208","18,325","10,746",NA,Masked,NA,NA,59%,34%,>95%,NA
Clutha District,12+,"15,517","14,171","13,972","13,237","9,053","5,525","1,725",91%,90%,68%,31%
Clutha District,5-11,"1,567",715,323,NA,Masked,NA,NA,46%,21%,>95%,NA
Dunedin City,12+,"114,950",Masked,Masked,"106,103","83,780","38,940","16,370",>95%,>95%,79%,42%
Dunedin City,5-11,"9,480","5,967","3,620",NA,NA,NA,NA,63%,38%,NA,NA
Far North District,12+,"59,649","50,774","49,240","46,536","30,362","20,157","6,390",85%,83%,65%,32%
Far North District,5-11,"7,197","1,958",786,NA,NA,NA,NA,27%,11%,NA,NA
Gisborne District,12+,"42,561","38,569","37,582","35,113","23,137","12,896","4,537",91%,88%,66%,35%
Gisborne District,5-11,"5,401","2,561","1,410",NA,NA,NA,NA,47%,26%,NA,NA
Gore District,12+,"11,003","9,976","9,834","9,306","6,483","4,060","1,203",91%,89%,70%,30%
Gore District,5-11,"1,073",346,194,NA,NA,NA,NA,32%,18%,NA,NA
Grey District,12+,"11,872","10,848","10,634","10,062","7,050","4,352","1,387",91%,90%,70%,32%
Grey District,5-11,"1,138",514,274,NA,NA,NA,NA,45%,24%,NA,NA
