SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"9,193",Masked,"8,555","7,456","3,627",>95%,93%,49%
Unknown,Unknown,Unknown,Maori,5-11,"1,605",464,155,NA,NA,29%,10%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,415",Masked,Masked,"3,400","1,700",>95%,>95%,50%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,353,132,35,NA,NA,37%,10%,NA
100100,North Cape,Northland,Maori,12+,860,767,749,668,413,89%,87%,62%
100100,North Cape,Northland,Maori,5-11,159,42,9,NA,NA,26%,6%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,027",879,841,742,384,86%,82%,52%
100200,Rangaunu Harbour,Northland,Maori,5-11,191,36,11,NA,NA,19%,6%,NA
100400,Karikari Peninsula,Northland,Maori,12+,524,442,428,372,202,84%,82%,54%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,Masked,NA,NA,24%,6%,NA
100500,Tangonge,Northland,Maori,12+,552,478,469,412,226,87%,85%,55%
100500,Tangonge,Northland,Maori,5-11,93,20,Masked,NA,NA,22%,<5%,NA
100600,Ahipara,Northland,Maori,12+,577,484,467,419,249,84%,81%,59%
100600,Ahipara,Northland,Maori,5-11,107,36,9,NA,NA,34%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,323","1,166","1,094",934,444,88%,83%,48%
100700,Kaitaia East,Northland,Maori,5-11,289,83,19,NA,NA,29%,7%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,55,Masked,Masked,54,26,>95%,>95%,48%
100800,Kaitaia West,Northland,Maori,12+,"1,841","1,614","1,521","1,264",604,88%,83%,48%
100800,Kaitaia West,Northland,Maori,5-11,407,78,28,NA,NA,19%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,101,93,91,80,39,92%,90%,49%
100900,Rangitihi,Northland,Maori,12+,390,333,320,274,134,85%,82%,49%
100900,Rangitihi,Northland,Maori,5-11,59,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,310,255,241,213,104,82%,78%,49%
101000,Oruru-Parapara,Northland,Maori,5-11,64,15,Masked,NA,NA,23%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,582,515,490,433,239,88%,84%,55%
101100,Taumarumaru,Northland,Maori,5-11,144,31,8,NA,NA,22%,6%,NA
101200,Herekino-Takahue,Northland,Maori,12+,432,356,334,294,151,82%,77%,51%
101200,Herekino-Takahue,Northland,Maori,5-11,81,24,Masked,NA,NA,30%,<5%,NA
101300,Peria,Northland,Maori,12+,330,258,245,215,104,78%,74%,48%
101300,Peria,Northland,Maori,5-11,85,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,304,241,226,191,104,79%,74%,54%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,71,20,Masked,NA,NA,28%,6%,NA
101500,Whakapaku,Northland,Maori,12+,264,213,199,178,98,81%,75%,55%
101500,Whakapaku,Northland,Maori,5-11,58,18,Masked,NA,NA,31%,5%,NA
101600,Hokianga North,Northland,Maori,12+,666,558,542,482,322,84%,81%,67%
101600,Hokianga North,Northland,Maori,5-11,127,34,6,NA,NA,27%,<5%,NA
