Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,237048,Maori
Pfizer BioNTech COVID-19,1,276048,Pacific Peoples
Pfizer BioNTech COVID-19,2,883,European or other
Pfizer BioNTech COVID-19,Third primary,367,Unknown
AstraZeneca,Booster,102,Unknown
AstraZeneca,1,46,Unknown
Pfizer BioNTech COVID-19,1,520459,Maori
AstraZeneca,2,2698,European or other
Pfizer BioNTech COVID-19,2,33088,Unknown
Paediatric Pfizer,1,59579,Asian
Paediatric Pfizer,2,606,Unknown
AstraZeneca,2,248,Pacific Peoples
Novavax,Booster,23,Asian
Pfizer BioNTech COVID-19,2,503454,Maori
Pfizer BioNTech COVID-19,Booster,428184,Asian
Paediatric Pfizer,2,68294,European or other
AstraZeneca,Booster,1277,European or other
Paediatric Pfizer,1,23823,Pacific Peoples
AstraZeneca,2,348,Maori
AstraZeneca,Booster,96,Maori
Novavax,1,21,Unknown
Novavax,1,1392,European or other
Pfizer BioNTech COVID-19,2,39,Maori
Novavax,Third primary,20,European or other
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,1,2559790,European or other
Pfizer BioNTech COVID-19,Booster,141070,Pacific Peoples
Paediatric Pfizer,1,136413,European or other
Novavax,2,1118,European or other
AstraZeneca,1,364,Maori
AstraZeneca,1,2570,European or other
Novavax,2,18,Unknown
Pfizer BioNTech COVID-19,2,7,Unknown
Pfizer BioNTech COVID-19,2,272037,Pacific Peoples
AstraZeneca,2,226,Asian
Pfizer BioNTech COVID-19,2,75,Asian
Novavax,1,136,Maori
Novavax,2,25,Pacific Peoples
AstraZeneca,1,108,Pacific Peoples
Pfizer BioNTech COVID-19,2,2536121,European or other
Paediatric Pfizer,2,14046,Maori
Pfizer BioNTech COVID-19,Third primary,1996,Asian
Paediatric Pfizer,2,31128,Asian
Pfizer BioNTech COVID-19,Booster,26388,Unknown
Pfizer BioNTech COVID-19,Third primary,2411,Maori
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,7,Asian
AstraZeneca,Booster,244,Asian
AstraZeneca,Third primary,5,Asian
Pfizer BioNTech COVID-19,2,628079,Asian
Pfizer BioNTech COVID-19,1,631653,Asian
Pfizer BioNTech COVID-19,Third primary,26144,European or other
Paediatric Pfizer,2,7160,Pacific Peoples
Paediatric Pfizer,Third primary,30,European or other
Novavax,1,325,Asian
Novavax,2,254,Asian
Novavax,1,38,Pacific Peoples
AstraZeneca,Booster,93,Pacific Peoples
AstraZeneca,2,90,Unknown
Pfizer BioNTech COVID-19,Booster,1812446,European or other
Pfizer BioNTech COVID-19,1,33902,Unknown
Paediatric Pfizer,1,41358,Maori
Pfizer BioNTech COVID-19,Third primary,1158,Pacific Peoples
Paediatric Pfizer,1,1158,Unknown
Novavax,Booster,137,European or other
Pfizer BioNTech COVID-19,2,15,Pacific Peoples
Novavax,2,93,Maori
Novavax,Booster,9,Maori
AstraZeneca,Third primary,22,European or other
