Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,296","18,163",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,918",791,NA,NA,60%,25%,NA
Auckland,12+,"1,383,349",Masked,Masked,"1,254,356","878,119",>95%,>95%,70%
Auckland,5-11,"163,729","98,235","46,654",NA,NA,60%,28%,NA
Buller District,12+,"8,270","7,746","7,643","7,147","5,193",94%,92%,73%
Buller District,5-11,719,354,163,NA,NA,49%,23%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,402","5,517",>95%,>95%,75%
Carterton District,5-11,834,467,200,NA,NA,56%,24%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,746","7,675",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",710,270,NA,NA,48%,18%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,557","13,959",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,106",510,NA,Masked,61%,28%,>95%
Chatham Islands Territory,12+,180,Masked,Masked,256,196,>95%,>95%,77%
Chatham Islands Territory,5-11,10,Masked,Masked,NA,NA,>95%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"302,223","224,993",>95%,>95%,74%
Christchurch City,5-11,"31,517","19,605","9,511",NA,NA,62%,30%,NA
Clutha District,12+,"14,979",Masked,"14,107","13,126","9,019",>95%,94%,69%
Clutha District,5-11,"1,658",768,286,NA,NA,46%,17%,NA
Dunedin City,12+,"110,451",Masked,Masked,"105,056","82,434",>95%,>95%,78%
Dunedin City,5-11,"9,730","6,451","3,510",NA,NA,66%,36%,NA
Far North District,12+,"56,393","50,623","49,187","45,245","29,497",90%,87%,65%
Far North District,5-11,"7,086","2,122",664,NA,NA,30%,9%,NA
Gisborne District,12+,"40,629","38,497","37,610","34,315","22,435",95%,93%,65%
Gisborne District,5-11,"5,498","2,739","1,075",NA,NA,50%,20%,NA
Gore District,12+,"10,754","9,974","9,854","9,143","6,440",93%,92%,70%
Gore District,5-11,"1,139",384,179,NA,NA,34%,16%,NA
Grey District,12+,"11,405","10,810","10,626","9,862","6,968",95%,93%,71%
Grey District,5-11,"1,238",568,284,NA,NA,46%,23%,NA
Hamilton City,12+,"137,508",Masked,Masked,"125,308","82,608",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,258","3,580",NA,NA,54%,21%,NA
Hastings District,12+,"69,329",Masked,Masked,"63,112","42,855",>95%,>95%,68%
Hastings District,5-11,"8,928","4,088","1,538",NA,NA,46%,17%,NA
Hauraki District,12+,"17,315","15,819","15,520","14,460","9,784",91%,90%,68%
Hauraki District,5-11,"1,785",658,253,NA,NA,37%,14%,NA
Horowhenua District,12+,"28,779",Masked,"27,266","25,267","17,941",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,407",493,NA,NA,45%,16%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,665","6,955",>95%,>95%,72%
Hurunui District,5-11,"1,176",607,290,NA,NA,52%,25%,NA
Invercargill City,12+,"45,867",Masked,"43,397","40,159","28,459",>95%,95%,71%
Invercargill City,5-11,"5,141","2,571","1,136",NA,NA,50%,22%,NA
Kaikoura District,12+,"3,473","3,202","3,168","2,984","2,217",92%,91%,74%
Kaikoura District,5-11,315,148,76,NA,NA,47%,24%,NA
Kaipara District,12+,"20,170","18,107","17,679","16,574","10,920",90%,88%,66%
Kaipara District,5-11,"2,228",734,270,NA,NA,33%,12%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,300","33,171",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,570","1,414",NA,NA,55%,30%,NA
Kawerau District,12+,"6,115","5,529","5,340","4,796","2,908",90%,87%,61%
Kawerau District,5-11,854,211,41,NA,NA,25%,<5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"81,131","60,188",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,612","3,177",NA,NA,63%,30%,NA
Mackenzie District,12+,"4,131","3,870","3,828","3,617","2,563",94%,93%,71%
Mackenzie District,5-11,387,190,75,NA,NA,49%,19%,NA
Manawatu District,12+,"25,552",Masked,Masked,"22,880","16,190",>95%,>95%,71%
Manawatu District,5-11,"3,183","1,678",757,NA,NA,53%,24%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,072","28,332",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,273","1,067",NA,NA,55%,26%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,128","14,174",>95%,>95%,70%
Masterton District,5-11,"2,400","1,148",404,NA,NA,48%,17%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,581","25,689","16,613",>95%,94%,65%
Matamata-Piako District,5-11,"3,307","1,385",440,NA,NA,42%,13%,NA
Napier City,12+,"54,392",Masked,"51,534","47,815","33,910",>95%,95%,71%
Napier City,5-11,"6,159","2,949","1,111",NA,NA,48%,18%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,319","29,790",>95%,>95%,74%
Nelson City,5-11,"4,453","2,669","1,081",NA,NA,60%,24%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"60,256","41,448",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,000","1,812",NA,NA,48%,22%,NA
Opotiki District,12+,"7,121","6,681","6,405","5,865","3,739",94%,90%,64%
Opotiki District,5-11,967,259,68,NA,NA,27%,7%,NA
Otorohanga District,12+,"7,960","7,385","7,244","6,650","3,898",93%,91%,59%
Otorohanga District,5-11,"1,086",345,116,NA,NA,32%,11%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"64,397","46,946",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,868","2,343",NA,NA,58%,28%,NA
Porirua City,12+,"47,708",Masked,Masked,"42,407","30,407",>95%,>95%,72%
Porirua City,5-11,"6,751","3,905","1,582",NA,NA,58%,23%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"35,617","22,848",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,430","2,133",942,NA,NA,62%,27%,NA
Rangitikei District,12+,"12,699","11,831","11,633","10,835","7,625",93%,92%,70%
Rangitikei District,5-11,"1,491",685,260,NA,NA,46%,17%,NA
Rotorua District,12+,"58,081",Masked,"54,397","49,796","32,784",>95%,94%,66%
Rotorua District,5-11,"7,718","3,321","1,193",NA,NA,43%,15%,NA
Ruapehu District,12+,"9,936","8,838","8,578","7,892","5,056",89%,86%,64%
