DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-17,Female,4500,4418,4302,1046,1027
Auckland,Asian,12-17,Male,4783,4679,4464,1071,1048
Auckland,Asian,12-17,Unknown/Other,20,19,7,2857,2714
Auckland,Asian,18-24,Female,7595,7547,6671,1139,1131
Auckland,Asian,18-24,Male,7862,7798,6297,1249,1238
Auckland,Asian,18-24,Unknown/Other,94,91,16,5875,5688
Auckland,Asian,25-29,Female,7813,7786,8392,931,928
Auckland,Asian,25-29,Male,8952,8888,7740,1157,1148
Auckland,Asian,25-29,Unknown/Other,132,130,25,5280,5200
Auckland,Asian,30-34,Female,9086,9029,9316,975,969
Auckland,Asian,30-34,Male,9146,9083,8382,1091,1084
Auckland,Asian,30-34,Unknown/Other,102,101,19,5368,5316
Auckland,Asian,35-39,Female,7754,7698,8154,951,944
Auckland,Asian,35-39,Male,7851,7799,7336,1070,1063
Auckland,Asian,35-39,Unknown/Other,65,65,14,4643,4643
Auckland,Asian,40-44,Female,5906,5869,5623,1050,1044
Auckland,Asian,40-44,Male,5870,5810,5231,1122,1111
Auckland,Asian,40-44,Unknown/Other,40,38,15,2667,2533
Auckland,Asian,45-49,Female,4750,4720,4861,977,971
Auckland,Asian,45-49,Male,4344,4302,3985,1090,1080
Auckland,Asian,5-11,Female,4653,116,6528,713,18
Auckland,Asian,5-11,Male,4658,120,6688,696,18
Auckland,Asian,5-11,Unknown/Other,6,0,7,857,0
Auckland,Asian,50-54,Female,4418,4397,4411,1002,997
Auckland,Asian,50-54,Male,3549,3526,3467,1024,1017
Auckland,Asian,55-59,Female,4023,3994,4228,952,945
Auckland,Asian,55-59,Male,3413,3383,3468,984,975
Auckland,Asian,60-64,Female,3263,3243,3608,904,899
Auckland,Asian,60-64,Male,2726,2712,2922,933,928
Auckland,Asian,65-69,Female,2848,2837,2935,970,967
Auckland,Asian,65-69,Male,2364,2349,2584,915,909
Auckland,Asian,70-74,Female,1864,1855,1918,972,967
Auckland,Asian,70-74,Male,1753,1741,1743,1006,999
Auckland,Asian,75-79,Female,1132,1126,1240,913,908
Auckland,Asian,75-79,Male,995,979,1080,921,906
Auckland,Asian,80-84,Female,885,873,943,938,926
Auckland,Asian,80-84,Male,724,720,819,884,879
Auckland,Asian,85-89,Female,444,433,441,1007,982
Auckland,Asian,85-89,Male,452,446,420,1076,1062
Auckland,Asian,90+,Female,208,205,179,1162,1145
Auckland,Asian,90+,Male,129,128,126,1024,1016
Auckland,European or Other,12-17,Female,7006,6911,7315,958,945
Auckland,European or Other,12-17,Male,7209,7093,7448,968,952
Auckland,European or Other,12-17,Unknown/Other,7,7,8,875,875
Auckland,European or Other,18-24,Female,10571,10516,11536,916,912
Auckland,European or Other,18-24,Male,9934,9854,10369,958,950
Auckland,European or Other,18-24,Unknown/Other,45,44,38,1184,1158
Auckland,European or Other,25-29,Female,10413,10348,11855,878,873
Auckland,European or Other,25-29,Male,10436,10348,10769,969,961
Auckland,European or Other,25-29,Unknown/Other,48,48,23,2087,2087
Auckland,European or Other,30-34,Female,9631,9578,10714,899,894
Auckland,European or Other,30-34,Male,10435,10340,10361,1007,998
Auckland,European or Other,30-34,Unknown/Other,42,42,22,1909,1909
Auckland,European or Other,35-39,Female,7682,7625,8521,902,895
Auckland,European or Other,35-39,Male,8336,8267,8574,972,964
Auckland,European or Other,35-39,Unknown/Other,16,15,15,1067,1000
Auckland,European or Other,40-44,Female,7124,7075,8032,887,881
Auckland,European or Other,40-44,Male,7489,7438,8027,933,927
Auckland,European or Other,45-49,Female,7884,7846,8961,880,876
Auckland,European or Other,45-49,Male,8032,7973,8951,897,891
Auckland,European or Other,5-11,Female,5332,173,7739,689,22
Auckland,European or Other,5-11,Male,5659,170,8273,684,21
Auckland,European or Other,50-54,Female,8150,8117,8362,975,971
Auckland,European or Other,50-54,Male,8542,8495,8858,964,959
Auckland,European or Other,50-54,Unknown/Other,9,9,5,1800,1800
Auckland,European or Other,55-59,Female,7468,7427,8093,923,918
Auckland,European or Other,55-59,Male,8097,8041,8644,937,930
Auckland,European or Other,60-64,Female,6774,6743,6988,969,965
Auckland,European or Other,60-64,Male,7265,7221,7440,976,971
Auckland,European or Other,65-69,Female,5723,5702,5985,956,953
Auckland,European or Other,65-69,Male,5947,5920,6084,977,973
Auckland,European or Other,70-74,Female,5141,5112,5399,952,947
Auckland,European or Other,70-74,Male,5058,5034,5182,976,971
Auckland,European or Other,75-79,Female,3996,3976,3829,1044,1038
Auckland,European or Other,75-79,Male,3550,3525,3442,1031,1024
Auckland,European or Other,80-84,Female,3024,3002,2825,1070,1063
Auckland,European or Other,80-84,Male,2471,2456,2219,1114,1107
Auckland,European or Other,85-89,Female,1928,1906,1874,1029,1017
Auckland,European or Other,85-89,Male,1282,1269,1257,1020,1010
