SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"10,846",Masked,"10,089","6,721","3,774",>95%,93%,56%
Unknown,Unknown,Unknown,Maori,5-11,"1,725",442,11,NA,NA,26%,<5%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,725",Masked,Masked,"3,313","1,744",>95%,>95%,53%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,360,131,Masked,NA,NA,36%,<5%,NA
100100,North Cape,Northland,Maori,12+,855,778,756,557,357,91%,88%,64%
100100,North Cape,Northland,Maori,5-11,159,23,0,NA,NA,14%,<5%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,017",863,822,572,299,85%,81%,52%
100200,Rangaunu Harbour,Northland,Maori,5-11,195,29,0,NA,NA,15%,<5%,NA
100400,Karikari Peninsula,Northland,Maori,12+,527,439,414,270,179,83%,79%,66%
100400,Karikari Peninsula,Northland,Maori,5-11,85,14,0,NA,NA,16%,<5%,NA
100500,Tangonge,Northland,Maori,12+,550,478,462,336,182,87%,84%,54%
100500,Tangonge,Northland,Maori,5-11,89,16,0,NA,NA,18%,<5%,NA
100600,Ahipara,Northland,Maori,12+,582,491,473,341,208,84%,81%,61%
100600,Ahipara,Northland,Maori,5-11,109,23,0,NA,NA,21%,<5%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,302","1,138","1,057",639,301,87%,81%,47%
100700,Kaitaia East,Northland,Maori,5-11,285,54,Masked,NA,NA,19%,<5%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,52,Masked,Masked,32,19,>95%,>95%,59%
100800,Kaitaia West,Northland,Maori,12+,"1,864","1,644","1,520",909,430,88%,82%,47%
100800,Kaitaia West,Northland,Maori,5-11,414,44,Masked,NA,NA,11%,<5%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,104,96,94,70,26,92%,90%,37%
100900,Rangitihi,Northland,Maori,12+,392,329,311,203,97,84%,79%,48%
100900,Rangitihi,Northland,Maori,5-11,60,6,0,NA,NA,10%,<5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,313,249,236,157,76,80%,75%,48%
101000,Oruru-Parapara,Northland,Maori,5-11,67,11,0,NA,NA,16%,<5%,NA
101100,Taumarumaru,Northland,Maori,12+,573,510,480,328,202,89%,84%,62%
101100,Taumarumaru,Northland,Maori,5-11,136,22,Masked,NA,NA,16%,<5%,NA
101200,Herekino-Takahue,Northland,Maori,12+,419,347,329,217,124,83%,79%,57%
