DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-15,Female,3112,2985,2947,1056,1013
Auckland,Asian,12-15,Male,3254,3113,3085,1055,1009
Auckland,Asian,16-19,Female,3256,3199,2904,1121,1102
Auckland,Asian,16-19,Male,3379,3309,2826,1196,1171
Auckland,Asian,16-19,Unknown/Other,42,42,9,4667,4667
Auckland,Asian,20-24,Female,5976,5877,5122,1167,1147
Auckland,Asian,20-24,Male,6198,6047,4850,1278,1247
Auckland,Asian,20-24,Unknown/Other,76,73,12,6333,6083
Auckland,Asian,25-29,Female,7952,7854,8392,948,936
Auckland,Asian,25-29,Male,9101,8968,7740,1176,1159
Auckland,Asian,25-29,Unknown/Other,134,130,25,5360,5200
Auckland,Asian,30-34,Female,8952,8813,9316,961,946
Auckland,Asian,30-34,Male,9042,8887,8382,1079,1060
Auckland,Asian,30-34,Unknown/Other,109,106,19,5737,5579
Auckland,Asian,35-39,Female,7664,7523,8154,940,923
Auckland,Asian,35-39,Male,7722,7619,7336,1053,1039
Auckland,Asian,35-39,Unknown/Other,65,63,14,4643,4500
Auckland,Asian,40-44,Female,5697,5613,5623,1013,998
Auckland,Asian,40-44,Male,5697,5620,5231,1089,1074
Auckland,Asian,40-44,Unknown/Other,43,41,15,2867,2733
Auckland,Asian,45-49,Female,4678,4614,4861,962,949
Auckland,Asian,45-49,Male,4252,4189,3985,1067,1051
Auckland,Asian,50-54,Female,4307,4241,4411,976,961
Auckland,Asian,50-54,Male,3417,3372,3467,986,973
Auckland,Asian,55-59,Female,3931,3869,4228,930,915
Auckland,Asian,55-59,Male,3361,3311,3468,969,955
Auckland,Asian,60-64,Female,3198,3157,3608,886,875
Auckland,Asian,60-64,Male,2684,2658,2922,919,910
Auckland,Asian,65-69,Female,2726,2695,2935,929,918
Auckland,Asian,65-69,Male,2279,2262,2584,882,875
Auckland,Asian,70-74,Female,1772,1751,1918,924,913
Auckland,Asian,70-74,Male,1643,1631,1743,943,936
Auckland,Asian,75-79,Female,1105,1094,1240,891,882
Auckland,Asian,75-79,Male,952,933,1080,881,864
Auckland,Asian,80-84,Female,816,796,943,865,844
Auckland,Asian,80-84,Male,701,694,819,856,847
Auckland,Asian,85-89,Female,407,389,441,923,882
Auckland,Asian,85-89,Male,397,384,420,945,914
Auckland,Asian,90+,Female,175,164,179,978,916
Auckland,Asian,90+,Male,108,103,126,857,817
Auckland,European or Other,12-15,Female,4907,4741,4934,995,961
Auckland,European or Other,12-15,Male,5013,4845,5110,981,948
Auckland,European or Other,12-15,Unknown/Other,7,7,5,1400,1400
Auckland,European or Other,16-19,Female,4734,4673,4912,964,951
Auckland,European or Other,16-19,Male,4658,4574,4777,975,958
Auckland,European or Other,16-19,Unknown/Other,11,10,12,917,833
Auckland,European or Other,20-24,Female,8361,8251,9005,928,916
Auckland,European or Other,20-24,Male,7660,7486,7930,966,944
Auckland,European or Other,20-24,Unknown/Other,34,33,29,1172,1138
Auckland,European or Other,25-29,Female,10240,10107,11855,864,853
Auckland,European or Other,25-29,Male,10350,10134,10769,961,941
Auckland,European or Other,25-29,Unknown/Other,49,49,23,2130,2130
Auckland,European or Other,30-34,Female,9394,9253,10714,877,864
Auckland,European or Other,30-34,Male,10223,10017,10361,987,967
Auckland,European or Other,30-34,Unknown/Other,46,45,22,2091,2045
Auckland,European or Other,35-39,Female,7586,7458,8521,890,875
Auckland,European or Other,35-39,Male,8174,8022,8574,953,936
Auckland,European or Other,35-39,Unknown/Other,16,15,15,1067,1000
Auckland,European or Other,40-44,Female,7130,7028,8032,888,875
Auckland,European or Other,40-44,Male,7419,7308,8027,924,910
Auckland,European or Other,45-49,Female,7963,7884,8961,889,880
Auckland,European or Other,45-49,Male,8100,7971,8951,905,891
Auckland,European or Other,50-54,Female,8040,7954,8362,961,951
Auckland,European or Other,50-54,Male,8526,8413,8858,963,950
Auckland,European or Other,50-54,Unknown/Other,11,11,5,2200,2200
Auckland,European or Other,55-59,Female,7439,7356,8093,919,909
Auckland,European or Other,55-59,Male,8008,7906,8644,926,915
Auckland,European or Other,60-64,Female,6692,6624,6988,958,948
Auckland,European or Other,60-64,Male,7151,7081,7440,961,952
Auckland,European or Other,65-69,Female,5666,5621,5985,947,939
Auckland,European or Other,65-69,Male,5832,5774,6084,959,949
Auckland,European or Other,70-74,Female,5121,5085,5399,949,942
Auckland,European or Other,70-74,Male,4962,4920,5182,958,949
Auckland,European or Other,75-79,Female,3766,3735,3829,984,975
Auckland,European or Other,75-79,Male,3385,3349,3442,983,973
Auckland,European or Other,80-84,Female,2880,2855,2825,1019,1011
Auckland,European or Other,80-84,Male,2324,2303,2219,1047,1038
Auckland,European or Other,85-89,Female,1813,1792,1874,967,956
Auckland,European or Other,85-89,Male,1185,1172,1257,943,932
Auckland,European or Other,90+,Female,1616,1577,1629,992,968
Auckland,European or Other,90+,Male,806,789,782,1031,1009
Auckland,Maori,12-15,Female,1078,988,1131,953,874
Auckland,Maori,12-15,Male,1122,1039,1225,916,848
Auckland,Maori,16-19,Female,1085,985,1162,934,848
Auckland,Maori,16-19,Male,1008,917,1120,900,819
Auckland,Maori,20-24,Female,1597,1467,1762,906,833
Auckland,Maori,20-24,Male,1521,1382,1662,915,832
Auckland,Maori,25-29,Female,1485,1369,1774,837,772
Auckland,Maori,25-29,Male,1535,1384,1611,953,859
Auckland,Maori,30-34,Female,1242,1138,1398,888,814
Auckland,Maori,30-34,Male,1208,1110,1265,955,877
Auckland,Maori,35-39,Female,982,921,1101,892,837
Auckland,Maori,35-39,Male,925,845,1003,922,842
Auckland,Maori,40-44,Female,876,815,1032,849,790
Auckland,Maori,40-44,Male,885,824,997,888,826
Auckland,Maori,45-49,Female,1012,979,1169,866,837
Auckland,Maori,45-49,Male,979,923,1053,930,877
Auckland,Maori,50-54,Female,983,948,1055,932,899
Auckland,Maori,50-54,Male,902,851,911,990,934
Auckland,Maori,55-59,Female,903,881,988,914,892
Auckland,Maori,55-59,Male,876,847,915,957,926
Auckland,Maori,60-64,Female,736,719,744,989,966
Auckland,Maori,60-64,Male,639,626,607,1053,1031
Auckland,Maori,65-69,Female,500,494,520,962,950
Auckland,Maori,65-69,Male,378,374,421,898,888
Auckland,Maori,70-74,Female,304,299,304,1000,984
Auckland,Maori,70-74,Male,277,269,261,1061,1031
Auckland,Maori,75-79,Female,150,149,158,949,943
Auckland,Maori,75-79,Male,140,136,138,1014,986
Auckland,Maori,80-84,Female,112,112,122,918,918
Auckland,Maori,80-84,Male,70,69,74,946,932
Auckland,Maori,85-89,Female,52,49,53,981,925
Auckland,Maori,85-89,Male,25,24,27,926,889
Auckland,Maori,90+,Female,23,22,22,1045,1000
Auckland,Pacific Peoples,12-15,Female,1840,1711,1958,940,874
Auckland,Pacific Peoples,12-15,Male,1854,1721,2031,913,847
Auckland,Pacific Peoples,16-19,Female,1823,1726,2005,909,861
Auckland,Pacific Peoples,16-19,Male,1771,1619,2065,858,784
Auckland,Pacific Peoples,20-24,Female,2482,2344,2760,899,849
Auckland,Pacific Peoples,20-24,Male,2277,2068,2498,912,828
Auckland,Pacific Peoples,25-29,Female,2320,2155,2713,855,794
Auckland,Pacific Peoples,25-29,Male,2357,2148,2582,913,832
Auckland,Pacific Peoples,30-34,Female,1943,1821,2120,917,859
Auckland,Pacific Peoples,30-34,Male,1921,1764,1958,981,901
Auckland,Pacific Peoples,35-39,Female,1591,1525,1819,875,838
Auckland,Pacific Peoples,35-39,Male,1594,1488,1791,890,831
Auckland,Pacific Peoples,40-44,Female,1577,1520,1764,894,862
Auckland,Pacific Peoples,40-44,Male,1581,1508,1630,970,925
Auckland,Pacific Peoples,45-49,Female,1567,1518,1728,907,878
Auckland,Pacific Peoples,45-49,Male,1549,1483,1671,927,887
Auckland,Pacific Peoples,50-54,Female,1626,1594,1810,898,881
Auckland,Pacific Peoples,50-54,Male,1593,1547,1678,949,922
