Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,242007,Maori
Pfizer BioNTech COVID-19,1,276271,Pacific Peoples
Pfizer BioNTech COVID-19,2,1173,European or other
AstraZeneca,Booster,94,Unknown
Pfizer BioNTech COVID-19,Third primary,357,Unknown
AstraZeneca,1,46,Unknown
Pfizer BioNTech COVID-19,1,521366,Maori
Paediatric Pfizer,1,60098,Asian
Pfizer BioNTech COVID-19,2,32588,Unknown
AstraZeneca,2,2706,European or other
Paediatric Pfizer,2,658,Unknown
AstraZeneca,2,241,Pacific Peoples
Novavax,Booster,36,Asian
Pfizer BioNTech COVID-19,2,504484,Maori
Pfizer BioNTech COVID-19,Booster,435939,Asian
Paediatric Pfizer,2,73821,European or other
Paediatric Pfizer,1,24178,Pacific Peoples
AstraZeneca,2,351,Maori
Novavax,1,1557,European or other
AstraZeneca,Booster,1305,European or other
AstraZeneca,Booster,99,Maori
Novavax,1,24,Unknown
Novavax,Third primary,35,European or other
Paediatric Pfizer,Booster,17,European or other
Pfizer BioNTech COVID-19,2,48,Maori
Pfizer BioNTech COVID-19,Booster,145566,Pacific Peoples
Pfizer BioNTech COVID-19,1,2559732,European or other
Paediatric Pfizer,1,137020,European or other
AstraZeneca,1,365,Maori
AstraZeneca,1,2578,European or other
Novavax,2,1361,European or other
Pfizer BioNTech COVID-19,2,12,Unknown
Novavax,2,19,Unknown
Novavax,Booster,6,Unknown
Pfizer BioNTech COVID-19,2,272347,Pacific Peoples
AstraZeneca,2,231,Asian
Pfizer BioNTech COVID-19,2,90,Asian
Novavax,1,164,Maori
AstraZeneca,1,108,Pacific Peoples
Novavax,2,34,Pacific Peoples
Paediatric Pfizer,Third primary,7,Maori
Pfizer BioNTech COVID-19,2,2536279,European or other
Paediatric Pfizer,2,34279,Asian
Pfizer BioNTech COVID-19,Booster,33563,Unknown
Paediatric Pfizer,2,15679,Maori
Pfizer BioNTech COVID-19,Third primary,2469,Maori
Pfizer BioNTech COVID-19,Third primary,2026,Asian
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,9,Asian
Novavax,Third primary,7,Asian
AstraZeneca,Booster,264,Asian
AstraZeneca,Third primary,5,Asian
Pfizer BioNTech COVID-19,2,628553,Asian
Pfizer BioNTech COVID-19,1,632163,Asian
Novavax,2,310,Asian
Novavax,1,359,Asian
Pfizer BioNTech COVID-19,Third primary,26852,European or other
Paediatric Pfizer,2,8721,Pacific Peoples
AstraZeneca,Booster,95,Pacific Peoples
Novavax,1,52,Pacific Peoples
AstraZeneca,2,90,Unknown
Paediatric Pfizer,Third primary,37,European or other
Pfizer BioNTech COVID-19,Booster,1828110,European or other
Pfizer BioNTech COVID-19,1,33456,Unknown
Paediatric Pfizer,1,41706,Maori
Paediatric Pfizer,1,1138,Unknown
Pfizer BioNTech COVID-19,Third primary,1170,Pacific Peoples
Novavax,Booster,264,European or other
Novavax,2,130,Maori
Pfizer BioNTech COVID-19,2,21,Pacific Peoples
AstraZeneca,Third primary,23,European or other
Novavax,Booster,15,Maori
