Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,650","18,356",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,913",831,NA,NA,60%,26%,NA
Auckland,12+,"1,383,359",Masked,Masked,"1,266,182","891,728",>95%,>95%,70%
Auckland,5-11,"163,730","98,900","51,901",NA,Masked,60%,32%,>95%
Buller District,12+,"8,270","7,758","7,654","7,278","5,226",94%,93%,72%
Buller District,5-11,719,355,175,NA,NA,49%,24%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,544","5,575",>95%,>95%,74%
Carterton District,5-11,834,470,211,NA,NA,56%,25%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,979","7,794",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",715,287,NA,NA,48%,19%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,819","14,117",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,119",526,NA,NA,61%,29%,NA
Chatham Islands Territory,12+,180,Masked,Masked,285,216,>95%,>95%,76%
Chatham Islands Territory,5-11,10,9,Masked,NA,NA,90%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"305,889","227,282",>95%,>95%,74%
Christchurch City,5-11,"31,517","19,637","10,268",NA,NA,62%,33%,NA
Clutha District,12+,"14,979","14,195","14,039","13,251","9,036",95%,94%,68%
Clutha District,5-11,"1,658",775,310,NA,NA,47%,19%,NA
Dunedin City,12+,"110,451",Masked,Masked,"106,062","83,240",>95%,>95%,78%
Dunedin City,5-11,"9,730","6,466","3,669",NA,NA,66%,38%,NA
Far North District,12+,"56,393","50,706","49,303","46,259","29,942",90%,87%,65%
Far North District,5-11,"7,086","2,134",736,NA,NA,30%,10%,NA
Gisborne District,12+,"40,629","38,510","37,631","35,027","22,780",95%,93%,65%
Gisborne District,5-11,"5,498","2,757","1,291",NA,NA,50%,23%,NA
Gore District,12+,"10,754","9,978","9,861","9,309","6,480",93%,92%,70%
Gore District,5-11,"1,139",388,189,NA,NA,34%,17%,NA
Grey District,12+,"11,405","10,790","10,607","10,010","6,998",95%,93%,70%
Grey District,5-11,"1,238",572,294,NA,NA,46%,24%,NA
Hamilton City,12+,"137,508",Masked,Masked,"127,074","83,967",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,313","4,021",NA,NA,54%,23%,NA
Hastings District,12+,"69,329",Masked,Masked,"64,474","43,712",>95%,>95%,68%
Hastings District,5-11,"8,928","4,132","1,652",NA,NA,46%,19%,NA
Hauraki District,12+,"17,315","15,841","15,546","14,710","9,873",91%,90%,67%
Hauraki District,5-11,"1,785",672,267,NA,NA,38%,15%,NA
Horowhenua District,12+,"28,779",Masked,"27,308","25,758","18,166",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,414",550,NA,NA,46%,18%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,828","7,020",>95%,>95%,71%
Hurunui District,5-11,"1,176",613,307,NA,NA,52%,26%,NA
Invercargill City,12+,"45,867",Masked,"43,353","40,793","28,622",>95%,95%,70%
Invercargill City,5-11,"5,141","2,588","1,213",NA,NA,50%,24%,NA
Kaikoura District,12+,"3,473","3,215","3,181","3,036","2,240",93%,92%,74%
Kaikoura District,5-11,315,153,88,NA,NA,49%,28%,NA
Kaipara District,12+,"20,170","18,116","17,692","16,830","11,037",90%,88%,66%
Kaipara District,5-11,"2,228",740,297,NA,NA,33%,13%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,783","33,454",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,567","1,477",NA,NA,55%,32%,NA
Kawerau District,12+,"6,115","5,524","5,335","4,958","2,936",90%,87%,59%
Kawerau District,5-11,854,222,44,NA,NA,26%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"81,999","60,778",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,605","3,523",NA,NA,63%,34%,NA
Mackenzie District,12+,"4,131","3,869","3,825","3,653","2,572",94%,93%,70%
Mackenzie District,5-11,387,189,78,NA,NA,49%,20%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,228","16,341",>95%,>95%,70%
Manawatu District,5-11,"3,183","1,693",803,NA,NA,53%,25%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,412","28,448",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,279","1,127",NA,NA,55%,27%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,454","14,272",>95%,>95%,70%
Masterton District,5-11,"2,400","1,162",427,NA,NA,48%,18%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,667","26,110","16,802",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,383",475,NA,NA,42%,14%,NA
Napier City,12+,"54,392",Masked,"51,584","48,592","34,250",>95%,95%,70%
Napier City,5-11,"6,159","2,942","1,183",NA,NA,48%,19%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,772","30,110",>95%,>95%,74%
Nelson City,5-11,"4,453","2,666","1,161",NA,NA,60%,26%,NA
