SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"8,161",Masked,"7,671","6,933","3,255",>95%,94%,47%
Unknown,Unknown,Unknown,Maori,5-11,"1,508",437,160,NA,NA,29%,11%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,251",Masked,Masked,"3,258","1,665",>95%,>95%,51%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,344,130,45,NA,NA,38%,13%,NA
100100,North Cape,Northland,Maori,12+,867,769,752,681,421,89%,87%,62%
100100,North Cape,Northland,Maori,5-11,159,42,13,NA,NA,26%,8%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,024",879,846,768,391,86%,83%,51%
100200,Rangaunu Harbour,Northland,Maori,5-11,190,35,13,NA,NA,18%,7%,NA
100400,Karikari Peninsula,Northland,Maori,12+,536,453,438,408,212,85%,82%,52%
100400,Karikari Peninsula,Northland,Maori,5-11,87,20,Masked,NA,NA,23%,6%,NA
100500,Tangonge,Northland,Maori,12+,560,489,479,428,233,87%,86%,54%
100500,Tangonge,Northland,Maori,5-11,93,18,Masked,NA,NA,19%,<5%,NA
100600,Ahipara,Northland,Maori,12+,582,493,476,441,262,85%,82%,59%
100600,Ahipara,Northland,Maori,5-11,108,35,9,NA,NA,32%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,309","1,159","1,093",971,448,89%,83%,46%
100700,Kaitaia East,Northland,Maori,5-11,290,86,22,NA,NA,30%,8%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,55,Masked,Masked,53,26,>95%,>95%,49%
100800,Kaitaia West,Northland,Maori,12+,"1,841","1,606","1,515","1,336",617,87%,82%,46%
100800,Kaitaia West,Northland,Maori,5-11,397,79,27,NA,NA,20%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,101,92,89,81,40,91%,88%,49%
100900,Rangitihi,Northland,Maori,12+,393,336,323,289,143,85%,82%,49%
100900,Rangitihi,Northland,Maori,5-11,58,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,311,254,240,219,108,82%,77%,49%
101000,Oruru-Parapara,Northland,Maori,5-11,64,14,Masked,NA,NA,22%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,575,508,482,436,240,88%,84%,55%
101100,Taumarumaru,Northland,Maori,5-11,142,31,9,NA,NA,22%,6%,NA
101200,Herekino-Takahue,Northland,Maori,12+,435,356,337,304,153,82%,77%,50%
101200,Herekino-Takahue,Northland,Maori,5-11,84,25,Masked,NA,NA,30%,<5%,NA
101300,Peria,Northland,Maori,12+,334,257,245,222,104,77%,73%,47%
101300,Peria,Northland,Maori,5-11,85,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,304,241,227,201,103,79%,75%,51%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,72,21,Masked,NA,NA,29%,6%,NA
101500,Whakapaku,Northland,Maori,12+,259,210,197,181,99,81%,76%,55%
101500,Whakapaku,Northland,Maori,5-11,59,19,Masked,NA,NA,32%,5%,NA
101600,Hokianga North,Northland,Maori,12+,674,571,554,503,332,85%,82%,66%
101600,Hokianga North,Northland,Maori,5-11,131,34,6,NA,NA,26%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,366,294,288,262,163,80%,79%,62%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,46,11,Masked,NA,NA,24%,<5%,NA
101800,Whakarara,Northland,Maori,12+,551,480,463,426,273,87%,84%,64%
101800,Whakarara,Northland,Maori,5-11,76,32,17,NA,NA,42%,22%,NA
101900,Kaeo,Northland,Maori,12+,463,376,355,328,190,81%,77%,58%
101900,Kaeo,Northland,Maori,5-11,107,35,15,NA,NA,33%,14%,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,648,468,438,403,218,72%,68%,54%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,126,13,Masked,NA,NA,10%,<5%,NA
102100,Hokianga South,Northland,Maori,12+,712,544,515,474,280,76%,72%,59%
102100,Hokianga South,Northland,Maori,5-11,112,26,6,NA,NA,23%,5%,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,249,210,201,176,88,84%,81%,50%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,56,18,Masked,NA,NA,32%,<5%,NA
102300,Okaihau,Northland,Maori,12+,315,270,257,234,110,86%,82%,47%
102300,Okaihau,Northland,Maori,5-11,56,12,Masked,NA,NA,21%,<5%,NA
102400,Rangitane-Purerua,Northland,Maori,12+,351,313,296,263,146,89%,84%,56%
102400,Rangitane-Purerua,Northland,Maori,5-11,64,12,Masked,NA,NA,19%,8%,NA
102500,Waipapa,Northland,Maori,12+,132,114,109,98,49,86%,83%,50%
102600,Puketotara,Northland,Maori,12+,230,203,197,170,96,88%,86%,56%
102600,Puketotara,Northland,Maori,5-11,53,23,Masked,NA,NA,43%,<5%,NA
102700,Waima Forest,Northland,Maori,12+,785,603,576,528,266,77%,73%,50%
102700,Waima Forest,Northland,Maori,5-11,128,20,6,NA,NA,16%,<5%,NA
102800,Riverview,Northland,Maori,12+,217,Masked,205,179,99,>95%,94%,55%
102800,Riverview,Northland,Maori,5-11,56,22,Masked,NA,NA,39%,7%,NA
102900,Waipoua Forest,Northland,Maori,12+,636,518,498,473,293,81%,78%,62%
102900,Waipoua Forest,Northland,Maori,5-11,85,16,Masked,NA,NA,19%,6%,NA
103000,Kerikeri Central,Northland,Maori,12+,457,409,393,351,167,89%,86%,48%
103000,Kerikeri Central,Northland,Maori,5-11,106,27,9,NA,NA,25%,8%,NA
103000,Kerikeri Central,Northland,Pacific Peoples,12+,55,Masked,Masked,96,28,>95%,>95%,29%
103100,Kerikeri South,Northland,Maori,12+,231,204,195,182,100,88%,84%,55%
103100,Kerikeri South,Northland,Maori,5-11,48,19,Masked,NA,NA,40%,10%,NA
103200,Ohaeawai-Waimate North,Northland,Maori,12+,408,348,331,302,172,85%,81%,57%
103200,Ohaeawai-Waimate North,Northland,Maori,5-11,71,14,6,NA,NA,20%,8%,NA
103300,Puketona-Waitangi,Northland,Maori,12+,279,246,243,230,135,88%,87%,59%
103300,Puketona-Waitangi,Northland,Maori,5-11,44,22,Masked,NA,NA,50%,7%,NA
103400,Ngapuhi,Northland,Maori,12+,942,767,730,657,326,81%,77%,50%
103400,Ngapuhi,Northland,Maori,5-11,174,31,7,NA,NA,18%,<5%,NA
103500,Kaikohe,Northland,Maori,12+,"2,721","2,195","2,076","1,885",920,81%,76%,49%
103500,Kaikohe,Northland,Maori,5-11,608,146,43,NA,NA,24%,7%,NA
103500,Kaikohe,Northland,Pacific Peoples,12+,102,93,91,84,38,91%,89%,45%
103600,Pakaraka,Northland,Maori,12+,150,137,132,120,65,91%,88%,54%
103700,Haruru,Northland,Maori,12+,213,194,191,171,87,91%,90%,51%
103700,Haruru,Northland,Maori,5-11,66,28,6,NA,NA,42%,9%,NA
103800,Russell,Northland,Maori,12+,137,129,128,118,82,94%,93%,69%
103900,Paihia,Northland,Maori,12+,500,418,402,366,183,84%,80%,50%
103900,Paihia,Northland,Maori,5-11,81,20,6,NA,NA,25%,7%,NA
104000,Mataraua Forest,Northland,Maori,12+,330,261,242,213,118,79%,73%,55%
104000,Mataraua Forest,Northland,Maori,5-11,63,11,6,NA,NA,17%,10%,NA
104100,Matawaia-Taumarere,Northland,Maori,12+,814,653,626,564,273,80%,77%,48%
104100,Matawaia-Taumarere,Northland,Maori,5-11,164,41,7,NA,NA,25%,<5%,NA
104200,Russell Peninsula,Northland,Maori,12+,75,59,59,55,40,79%,79%,73%
104300,Opua (Far North District),Northland,Maori,12+,170,131,125,117,65,77%,74%,56%
104400,Russell Forest-Rawhiti,Northland,Maori,12+,390,339,324,302,188,87%,83%,62%
104400,Russell Forest-Rawhiti,Northland,Maori,5-11,63,11,Masked,NA,NA,17%,<5%,NA
104500,Moerewa,Northland,Maori,12+,"1,172",998,954,854,430,85%,81%,50%
104500,Moerewa,Northland,Maori,5-11,254,33,9,NA,NA,13%,<5%,NA
104600,Kawakawa,Northland,Maori,12+,801,714,675,606,307,89%,84%,51%
104600,Kawakawa,Northland,Maori,5-11,165,32,8,NA,NA,19%,<5%,NA
104700,Maromaku,Northland,Maori,12+,243,191,180,162,83,79%,74%,51%
104700,Maromaku,Northland,Maori,5-11,61,22,Masked,NA,NA,36%,7%,NA
104800,Mangakahia-Hukerenui,Northland,Maori,12+,598,540,515,454,234,90%,86%,52%
104800,Mangakahia-Hukerenui,Northland,Maori,5-11,123,26,Masked,NA,NA,21%,<5%,NA
104900,Whangaruru,Northland,Maori,12+,668,582,564,513,280,87%,84%,55%
104900,Whangaruru,Northland,Maori,5-11,122,46,8,NA,NA,38%,7%,NA
105100,Matarau,Northland,Maori,12+,361,320,311,272,147,89%,86%,54%
105100,Matarau,Northland,Maori,5-11,91,28,11,NA,NA,31%,12%,NA
105200,Hikurangi,Northland,Maori,12+,456,412,394,347,171,90%,86%,49%
105200,Hikurangi,Northland,Maori,5-11,137,43,14,NA,NA,31%,10%,NA
105300,Kauri,Northland,Maori,12+,235,207,204,188,110,88%,87%,59%
105300,Kauri,Northland,Maori,5-11,59,17,Masked,NA,NA,29%,8%,NA
105400,Maungatapere,Northland,Maori,12+,428,397,382,345,203,93%,89%,59%
105400,Maungatapere,Northland,Maori,5-11,101,36,14,NA,NA,36%,14%,NA
105500,Kamo West,Northland,Maori,12+,396,361,356,310,183,91%,90%,59%
105500,Kamo West,Northland,Maori,5-11,97,38,15,NA,NA,39%,15%,NA
105600,Matapouri-Tutukaka,Northland,Maori,12+,219,198,191,172,101,90%,87%,59%
105700,Kiripaka,Northland,Maori,12+,183,161,155,143,73,88%,85%,51%
105800,Kamo East,Northland,Maori,12+,919,835,801,712,318,91%,87%,45%
105800,Kamo East,Northland,Maori,5-11,252,69,18,NA,NA,27%,7%,NA
105800,Kamo East,Northland,Pacific Peoples,12+,99,86,85,77,42,87%,86%,55%
105900,Granfield Reserve,Northland,Maori,12+,465,438,419,378,206,94%,90%,54%
105900,Granfield Reserve,Northland,Maori,5-11,85,29,8,NA,NA,34%,9%,NA
106000,Kamo Central,Northland,Maori,12+,423,390,378,337,176,92%,89%,52%
106000,Kamo Central,Northland,Maori,5-11,88,35,13,NA,NA,40%,15%,NA
106100,Whau Valley,Northland,Maori,12+,602,540,525,479,257,90%,87%,54%
106100,Whau Valley,Northland,Maori,5-11,125,42,10,NA,NA,34%,8%,NA
106100,Whau Valley,Northland,Pacific Peoples,12+,41,Masked,Masked,39,26,>95%,>95%,67%
106200,Tikipunga North,Northland,Maori,12+,939,848,813,724,355,90%,87%,49%
106200,Tikipunga North,Northland,Maori,5-11,268,72,15,NA,NA,27%,6%,NA
106200,Tikipunga North,Northland,Pacific Peoples,12+,79,71,69,65,34,90%,87%,52%
106300,Pukenui,Northland,Maori,12+,174,159,156,136,87,91%,90%,64%
106300,Pukenui,Northland,Maori,5-11,51,28,6,NA,NA,55%,12%,NA
106400,Otangarei,Northland,Maori,12+,"1,276","1,064",977,879,384,83%,77%,44%
106400,Otangarei,Northland,Maori,5-11,274,44,8,NA,NA,16%,<5%,NA
106400,Otangarei,Northland,Pacific Peoples,12+,53,40,39,36,17,75%,74%,47%
106500,Tikipunga South,Northland,Maori,12+,"1,174","1,084","1,043",923,466,92%,89%,50%
106500,Tikipunga South,Northland,Maori,5-11,296,106,24,NA,NA,36%,8%,NA
106500,Tikipunga South,Northland,Pacific Peoples,12+,83,Masked,Masked,76,35,>95%,>95%,46%
106600,Kensington (Whangarei District),Northland,Maori,12+,723,634,611,565,306,88%,85%,54%
106600,Kensington (Whangarei District),Northland,Maori,5-11,126,22,10,NA,NA,17%,8%,NA
106600,Kensington (Whangarei District),Northland,Pacific Peoples,12+,63,Masked,Masked,60,35,>95%,>95%,58%
106700,Abbey Caves-Glenbervie,Northland,Maori,12+,138,121,116,105,55,88%,84%,52%
106800,Mairtown,Northland,Maori,12+,536,471,457,423,254,88%,85%,60%
106800,Mairtown,Northland,Maori,5-11,97,30,7,NA,NA,31%,7%,NA
106800,Mairtown,Northland,Pacific Peoples,12+,57,46,45,42,26,81%,79%,62%
106900,Maunu-Horahora,Northland,Maori,12+,517,468,456,407,239,91%,88%,59%
106900,Maunu-Horahora,Northland,Maori,5-11,106,41,14,NA,NA,39%,13%,NA
106900,Maunu-Horahora,Northland,Pacific Peoples,12+,42,34,34,33,25,81%,81%,76%
107000,Woodhill-Vinetown,Northland,Maori,12+,710,601,574,526,287,85%,81%,55%
107000,Woodhill-Vinetown,Northland,Maori,5-11,117,32,10,NA,NA,27%,9%,NA
107000,Woodhill-Vinetown,Northland,Pacific Peoples,12+,81,Masked,Masked,72,40,>95%,>95%,56%
107100,Whangarei Central,Northland,Maori,12+,268,234,226,207,107,87%,84%,52%
107200,Riverside,Northland,Maori,12+,433,370,364,342,172,85%,84%,50%
107200,Riverside,Northland,Maori,5-11,76,31,Masked,NA,NA,41%,7%,NA
107200,Riverside,Northland,Pacific Peoples,12+,43,Masked,Masked,36,21,>95%,>95%,58%
107300,Raumanga,Northland,Maori,12+,"1,423","1,241","1,165","1,022",420,87%,82%,41%
107300,Raumanga,Northland,Maori,5-11,353,88,17,NA,NA,25%,<5%,NA
107300,Raumanga,Northland,Pacific Peoples,12+,96,Masked,87,73,35,>95%,91%,48%
107400,Tarewa,Northland,Maori,12+,859,743,714,629,317,86%,83%,50%
107400,Tarewa,Northland,Maori,5-11,238,62,19,NA,NA,26%,8%,NA
107500,Morningside (Whangarei District),Northland,Maori,12+,760,683,650,595,300,90%,86%,50%
107500,Morningside (Whangarei District),Northland,Maori,5-11,134,46,17,NA,NA,34%,13%,NA
107500,Morningside (Whangarei District),Northland,Pacific Peoples,12+,49,46,45,43,24,94%,92%,56%
107600,Ngunguru,Northland,Maori,12+,158,137,136,126,74,87%,86%,59%
107700,Otaika-Portland,Northland,Maori,12+,296,247,233,216,124,83%,79%,57%
107700,Otaika-Portland,Northland,Maori,5-11,53,18,9,NA,NA,34%,17%,NA
107800,Oakleigh-Mangapai,Northland,Maori,12+,240,216,213,183,92,90%,89%,50%
107800,Oakleigh-Mangapai,Northland,Maori,5-11,59,11,Masked,NA,NA,19%,8%,NA
108000,Pataua,Northland,Maori,12+,197,157,151,136,68,80%,77%,50%
108000,Pataua,Northland,Maori,5-11,43,8,Masked,NA,NA,19%,9%,NA
108100,Onerahi Park,Northland,Maori,12+,239,224,219,202,127,94%,92%,63%
108100,Onerahi Park,Northland,Maori,5-11,51,17,8,NA,NA,33%,16%,NA
108100,Onerahi Park,Northland,Pacific Peoples,12+,40,33,32,30,21,82%,80%,70%
108200,Sherwood Rise,Northland,Maori,12+,632,573,550,492,244,91%,87%,50%
108200,Sherwood Rise,Northland,Maori,5-11,156,40,13,NA,NA,26%,8%,NA
108300,Onerahi,Northland,Maori,12+,573,499,478,416,192,87%,83%,46%
108300,Onerahi,Northland,Maori,5-11,155,38,17,NA,NA,25%,11%,NA
108300,Onerahi,Northland,Pacific Peoples,12+,47,41,41,37,17,87%,87%,46%
108500,Parua Bay,Northland,Maori,12+,271,256,254,227,150,94%,94%,66%
108500,Parua Bay,Northland,Maori,5-11,60,26,8,NA,NA,43%,13%,NA
108600,Bream Bay,Northland,Maori,12+,343,292,282,251,138,85%,82%,55%
108600,Bream Bay,Northland,Maori,5-11,68,20,8,NA,NA,29%,12%,NA
108700,Marsden Bay,Northland,Maori,12+,311,Masked,291,258,154,>95%,94%,60%
108700,Marsden Bay,Northland,Maori,5-11,79,22,12,NA,NA,28%,15%,NA
108800,Ruakaka,Northland,Maori,12+,588,557,538,483,250,95%,91%,52%
108800,Ruakaka,Northland,Maori,5-11,134,38,8,NA,NA,28%,6%,NA
108800,Ruakaka,Northland,Pacific Peoples,12+,51,48,48,44,29,94%,94%,66%
108900,Bream Head,Northland,Maori,12+,87,Masked,Masked,79,57,>95%,>95%,72%
109000,Waipu,Northland,Maori,12+,303,254,250,229,136,84%,83%,59%
109000,Waipu,Northland,Maori,5-11,49,13,Masked,NA,NA,27%,10%,NA
109000,Waipu,Northland,Pacific Peoples,12+,42,37,37,32,14,88%,88%,44%
109100,Kaipara Coastal,Northland,Maori,12+,861,669,632,574,284,78%,73%,49%
109100,Kaipara Coastal,Northland,Maori,5-11,161,41,14,NA,NA,25%,9%,NA
109100,Kaipara Coastal,Northland,Pacific Peoples,12+,53,Masked,50,45,14,>95%,94%,31%
109200,Maungaru,Northland,Maori,12+,257,226,218,198,97,88%,85%,49%
109200,Maungaru,Northland,Maori,5-11,56,18,Masked,NA,NA,32%,7%,NA
109300,Dargaville,Northland,Maori,12+,"1,352","1,114","1,043",954,425,82%,77%,45%
109300,Dargaville,Northland,Maori,5-11,273,46,20,NA,NA,17%,7%,NA
109300,Dargaville,Northland,Pacific Peoples,12+,201,Masked,189,174,72,>95%,94%,41%
109300,Dargaville,Northland,Pacific Peoples,5-11,41,11,Masked,NA,NA,27%,<5%,NA
109400,Ruawai-Matakohe,Northland,Maori,12+,475,395,381,346,192,83%,80%,55%
109400,Ruawai-Matakohe,Northland,Maori,5-11,104,23,7,NA,NA,22%,7%,NA
109500,Otamatea (Kaipara District),Northland,Maori,12+,177,134,129,123,68,76%,73%,55%
109600,Maungaturoto,Northland,Maori,12+,181,168,162,144,71,93%,90%,49%
109600,Maungaturoto,Northland,Maori,5-11,51,18,Masked,NA,NA,35%,8%,NA
109700,Kaiwaka,Northland,Maori,12+,411,320,306,273,134,78%,74%,49%
109700,Kaiwaka,Northland,Maori,5-11,91,23,Masked,NA,NA,25%,<5%,NA
109800,Mangawhai Rural,Northland,Maori,12+,185,145,142,127,68,78%,77%,54%
109800,Mangawhai Rural,Northland,Maori,5-11,52,11,6,NA,NA,21%,12%,NA
109900,Mangawhai Heads,Northland,Maori,12+,160,143,135,122,72,89%,84%,59%
109900,Mangawhai Heads,Northland,Maori,5-11,41,15,6,NA,NA,37%,15%,NA
110100,Mangawhai,Northland,Maori,12+,72,65,64,53,31,90%,89%,58%
110200,Okahukura Peninsula,Waitemata,Maori,12+,179,151,147,124,46,84%,82%,37%
110200,Okahukura Peninsula,Waitemata,Maori,5-11,48,8,Masked,NA,NA,17%,8%,NA
110400,Cape Rodney,Waitemata,Maori,12+,372,337,333,300,158,91%,90%,53%
110400,Cape Rodney,Waitemata,Maori,5-11,80,28,16,NA,NA,35%,20%,NA
110400,Cape Rodney,Waitemata,Pacific Peoples,12+,51,42,39,36,17,82%,76%,47%
110500,Wellsford,Waitemata,Maori,12+,285,231,222,205,84,81%,78%,41%
110500,Wellsford,Waitemata,Maori,5-11,67,12,6,NA,NA,18%,9%,NA
110500,Wellsford,Waitemata,Pacific Peoples,12+,72,66,65,63,21,92%,90%,33%
110700,South Head,Waitemata,Maori,12+,366,322,314,289,141,88%,86%,49%
110700,South Head,Waitemata,Maori,5-11,80,21,Masked,NA,NA,26%,5%,NA
110700,South Head,Waitemata,Pacific Peoples,12+,54,Masked,49,47,27,>95%,91%,57%
110800,Kaipara Hills,Waitemata,Maori,12+,249,224,216,190,92,90%,87%,48%
110800,Kaipara Hills,Waitemata,Maori,5-11,52,17,Masked,NA,NA,33%,10%,NA
110900,Dome Valley-Matakana,Waitemata,Maori,12+,79,67,64,57,27,85%,81%,47%
111100,Warkworth West,Waitemata,Maori,12+,145,128,125,112,57,88%,86%,51%
111100,Warkworth West,Waitemata,Pacific Peoples,12+,81,Masked,Masked,83,56,>95%,>95%,67%
111200,Puhoi Valley,Waitemata,Maori,12+,193,175,171,150,71,91%,89%,47%
111200,Puhoi Valley,Waitemata,Pacific Peoples,12+,64,Masked,Masked,65,41,>95%,>95%,63%
111300,Warkworth East,Waitemata,Maori,12+,194,172,168,153,71,89%,87%,46%
111300,Warkworth East,Waitemata,Pacific Peoples,12+,157,Masked,Masked,169,103,>95%,>95%,61%
111300,Warkworth East,Waitemata,Pacific Peoples,5-11,46,25,10,NA,NA,54%,22%,NA
111500,Tawharanui Peninsula,Waitemata,Maori,12+,74,Masked,Masked,64,49,>95%,>95%,77%
111600,Te Kuru,Waitemata,Maori,12+,146,Masked,138,126,61,>95%,95%,48%
111600,Te Kuru,Waitemata,Maori,5-11,42,18,Masked,NA,NA,43%,12%,NA
111700,Snells Beach,Waitemata,Maori,12+,235,223,222,192,116,95%,94%,60%
