SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"10,531",Masked,"9,700","6,825","3,864",>95%,92%,57%
Unknown,Unknown,Unknown,Maori,5-11,"1,688",451,12,NA,NA,27%,<5%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,645",Masked,Masked,"3,138","1,731",>95%,>95%,55%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,355,131,Masked,NA,NA,37%,<5%,NA
100100,North Cape,Northland,Maori,12+,857,782,760,590,366,91%,89%,62%
100100,North Cape,Northland,Maori,5-11,163,25,0,NA,NA,15%,<5%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,015",863,823,610,333,85%,81%,55%
100200,Rangaunu Harbour,Northland,Maori,5-11,194,31,Masked,NA,NA,16%,<5%,NA
100400,Karikari Peninsula,Northland,Maori,12+,524,438,419,289,188,84%,80%,65%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,0,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,Maori,12+,553,482,469,353,209,87%,85%,59%
100500,Tangonge,Northland,Maori,5-11,89,19,Masked,NA,NA,21%,<5%,NA
100600,Ahipara,Northland,Maori,12+,581,492,474,366,230,85%,82%,63%
100600,Ahipara,Northland,Maori,5-11,108,34,Masked,NA,NA,31%,<5%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,310","1,147","1,072",723,357,88%,82%,49%
100700,Kaitaia East,Northland,Maori,5-11,283,64,Masked,NA,NA,23%,<5%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,52,Masked,Masked,37,21,>95%,>95%,57%
100800,Kaitaia West,Northland,Maori,12+,"1,863","1,649","1,536","1,002",508,89%,82%,51%
100800,Kaitaia West,Northland,Maori,5-11,417,59,Masked,NA,NA,14%,<5%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,104,96,94,73,34,92%,90%,47%
100900,Rangitihi,Northland,Maori,12+,387,325,311,222,108,84%,80%,49%
100900,Rangitihi,Northland,Maori,5-11,59,7,0,NA,NA,12%,<5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,314,252,238,174,93,80%,76%,53%
101000,Oruru-Parapara,Northland,Maori,5-11,67,14,0,NA,NA,21%,<5%,NA
101100,Taumarumaru,Northland,Maori,12+,575,515,485,358,217,90%,84%,61%
101100,Taumarumaru,Northland,Maori,5-11,137,28,Masked,NA,NA,20%,<5%,NA
101200,Herekino-Takahue,Northland,Maori,12+,418,346,329,231,132,83%,79%,57%
101200,Herekino-Takahue,Northland,Maori,5-11,79,21,0,NA,NA,27%,<5%,NA
101300,Peria,Northland,Maori,12+,337,265,249,177,91,79%,74%,51%
101300,Peria,Northland,Maori,5-11,83,11,Masked,NA,NA,13%,<5%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,302,237,222,151,98,78%,74%,65%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,68,20,0,NA,NA,29%,<5%,NA
101500,Whakapaku,Northland,Maori,12+,270,220,205,147,85,81%,76%,58%
101500,Whakapaku,Northland,Maori,5-11,61,16,0,NA,NA,26%,<5%,NA
101600,Hokianga North,Northland,Maori,12+,643,550,528,419,286,86%,82%,68%
101600,Hokianga North,Northland,Maori,5-11,124,25,0,NA,NA,20%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,364,294,285,219,148,81%,78%,68%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,46,6,0,NA,NA,13%,<5%,NA
101800,Whakarara,Northland,Maori,12+,531,467,448,341,227,88%,84%,67%
101800,Whakarara,Northland,Maori,5-11,73,26,0,NA,NA,36%,<5%,NA
101900,Kaeo,Northland,Maori,12+,464,373,350,249,160,80%,75%,64%
101900,Kaeo,Northland,Maori,5-11,107,29,0,NA,NA,27%,<5%,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,638,468,437,310,192,73%,68%,62%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,120,10,Masked,NA,NA,8%,<5%,NA
102100,Hokianga South,Northland,Maori,12+,707,544,506,364,245,77%,72%,67%
102100,Hokianga South,Northland,Maori,5-11,115,22,Masked,NA,NA,19%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,251,211,200,143,86,84%,80%,60%
