DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4483,4414,128,<5,4302
Auckland,Asian,12-17,Male,4768,4675,136,<5,4464
Auckland,Asian,12-17,Unknown/Other,20,19,<5,<5,7
Auckland,Asian,18-24,Female,7582,7536,"7,290","4,701",6671
Auckland,Asian,18-24,Male,7848,7786,"7,454","4,133",6297
Auckland,Asian,18-24,Unknown/Other,95,92,91,38,16
Auckland,Asian,25-29,Female,7821,7790,"7,587","4,962",8392
Auckland,Asian,25-29,Male,8940,8873,"8,634","4,775",7740
Auckland,Asian,25-29,Unknown/Other,132,130,128,68,25
Auckland,Asian,30-34,Female,9087,9032,"8,763","5,845",9316
Auckland,Asian,30-34,Male,9163,9089,"8,836","5,532",8382
Auckland,Asian,30-34,Unknown/Other,99,98,95,43,19
Auckland,Asian,35-39,Female,7762,7708,"7,477","5,168",8154
Auckland,Asian,35-39,Male,7861,7805,"7,638","5,025",7336
Auckland,Asian,35-39,Unknown/Other,65,65,63,36,14
Auckland,Asian,40-44,Female,5916,5880,"5,732","4,165",5623
Auckland,Asian,40-44,Male,5891,5830,"5,710","3,945",5231
Auckland,Asian,40-44,Unknown/Other,41,39,38,21,15
Auckland,Asian,45-49,Female,4740,4712,"4,572","3,380",4861
Auckland,Asian,45-49,Male,4347,4301,"4,195","3,067",3985
Auckland,Asian,5-11,Female,4732,186,NA,NA,6528
Auckland,Asian,5-11,Male,4752,176,NA,NA,6688
Auckland,Asian,50-54,Female,4422,4399,"4,284","3,262",4411
Auckland,Asian,50-54,Male,3549,3526,"3,450","2,603",3467
Auckland,Asian,55-59,Female,4031,4002,"3,906","2,996",4228
Auckland,Asian,55-59,Male,3413,3384,"3,307","2,532",3468
Auckland,Asian,60-64,Female,3268,3249,"3,166","2,540",3608
Auckland,Asian,60-64,Male,2730,2717,"2,656","2,183",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2855,2845,"2,778","2,249",2935
Auckland,Asian,65-69,Male,2368,2354,"2,313","1,903",2584
Auckland,Asian,70-74,Female,1859,1850,"1,803","1,523",1918
Auckland,Asian,70-74,Male,1755,1746,"1,697","1,468",1743
Auckland,Asian,75-79,Female,1140,1135,"1,099",928,1240
Auckland,Asian,75-79,Male,996,980,944,823,1080
Auckland,Asian,80-84,Female,885,873,832,700,943
Auckland,Asian,80-84,Male,726,722,698,594,819
Auckland,Asian,85-89,Female,446,435,406,338,441
Auckland,Asian,85-89,Male,452,446,415,356,420
Auckland,Asian,90+,Female,209,206,181,158,179
Auckland,Asian,90+,Male,129,128,114,97,126
Auckland,European or Other,12-17,Female,6992,6912,146,<5,7315
Auckland,European or Other,12-17,Male,7198,7089,167,11,7448
Auckland,European or Other,12-17,Unknown/Other,7,7,<5,<5,8
Auckland,European or Other,18-24,Female,10566,10510,"10,185","7,272",11536
Auckland,European or Other,18-24,Male,9921,9843,"9,421","5,796",10369
Auckland,European or Other,18-24,Unknown/Other,45,44,43,30,38
Auckland,European or Other,25-29,Female,10414,10346,"10,054","7,186",11855
Auckland,European or Other,25-29,Male,10427,10341,"9,928","6,126",10769
Auckland,European or Other,25-29,Unknown/Other,49,49,49,30,23
Auckland,European or Other,30-34,Female,9626,9574,"9,253","6,741",10714
Auckland,European or Other,30-34,Male,10432,10336,"9,936","6,468",10361
Auckland,European or Other,30-34,Unknown/Other,41,41,40,26,22
Auckland,European or Other,35-39,Female,7676,7620,"7,354","5,626",8521
Auckland,European or Other,35-39,Male,8327,8265,"7,959","5,594",8574
Auckland,European or Other,35-39,Unknown/Other,17,16,16,10,15
Auckland,European or Other,40-44,Female,7132,7082,"6,882","5,552",8032
Auckland,European or Other,40-44,Male,7480,7429,"7,208","5,470",8027
Auckland,European or Other,45-49,Female,7869,7832,"7,668","6,428",8961
Auckland,European or Other,45-49,Male,8037,7977,"7,741","6,149",8951
Auckland,European or Other,5-11,Female,5374,261,NA,NA,7739
Auckland,European or Other,5-11,Male,5709,239,NA,NA,8273
Auckland,European or Other,50-54,Female,8165,8133,"7,933","6,856",8362
Auckland,European or Other,50-54,Male,8553,8504,"8,299","6,925",8858
Auckland,European or Other,50-54,Unknown/Other,9,9,9,8,5
Auckland,European or Other,55-59,Female,7463,7422,"7,226","6,372",8093
Auckland,European or Other,55-59,Male,8106,8051,"7,832","6,666",8644
Auckland,European or Other,60-64,Female,6777,6746,"6,588","5,935",6988
Auckland,European or Other,60-64,Male,7268,7225,"7,047","6,215",7440
Auckland,European or Other,65-69,Female,5721,5700,"5,573","5,102",5985
Auckland,European or Other,65-69,Male,5941,5914,"5,758","5,204",6084
Auckland,European or Other,70-74,Female,5148,5122,"4,976","4,615",5399
Auckland,European or Other,70-74,Male,5058,5033,"4,896","4,561",5182
Auckland,European or Other,75-79,Female,3995,3975,"3,872","3,624",3829
Auckland,European or Other,75-79,Male,3551,3527,"3,418","3,214",3442
Auckland,European or Other,80-84,Female,3027,3005,"2,906","2,749",2825
Auckland,European or Other,80-84,Male,2475,2460,"2,349","2,220",2219
Auckland,European or Other,85-89,Female,1929,1908,"1,762","1,695",1874
Auckland,European or Other,85-89,Male,1284,1272,"1,173","1,113",1257
Auckland,European or Other,90+,Female,1753,1724,"1,525","1,471",1629
Auckland,European or Other,90+,Male,870,857,753,732,782
Auckland,Maori,12-17,Female,1640,1560,51,<5,1659
Auckland,Maori,12-17,Male,1635,1559,34,<5,1747
Auckland,Maori,18-24,Female,2294,2235,"1,910",892,2396
Auckland,Maori,18-24,Male,2122,2043,"1,706",643,2260
Auckland,Maori,25-29,Female,1512,1473,"1,278",666,1774
Auckland,Maori,25-29,Male,1613,1552,"1,304",600,1611
Auckland,Maori,30-34,Female,1299,1266,"1,087",604,1398
Auckland,Maori,30-34,Male,1259,1226,"1,065",475,1265
Auckland,Maori,35-39,Female,994,966,864,519,1101
Auckland,Maori,35-39,Male,943,914,775,407,1003
Auckland,Maori,40-44,Female,902,880,786,509,1032
Auckland,Maori,40-44,Male,934,903,796,478,997
Auckland,Maori,45-49,Female,1005,992,917,664,1169
Auckland,Maori,45-49,Male,986,959,873,577,1053
Auckland,Maori,5-11,Female,908,34,NA,NA,2068
Auckland,Maori,5-11,Male,1015,43,NA,NA,2253
Auckland,Maori,50-54,Female,1013,1001,938,701,1055
Auckland,Maori,50-54,Male,894,872,806,573,911
Auckland,Maori,55-59,Female,900,894,840,686,988
Auckland,Maori,55-59,Male,896,882,827,652,915
Auckland,Maori,60-64,Female,761,755,713,609,744
Auckland,Maori,60-64,Male,673,669,637,535,607
Auckland,Maori,65-69,Female,509,507,487,424,520
Auckland,Maori,65-69,Male,398,395,374,335,421
Auckland,Maori,70-74,Female,312,311,304,273,304
Auckland,Maori,70-74,Male,282,279,271,249,261
Auckland,Maori,75-79,Female,160,158,153,137,158
Auckland,Maori,75-79,Male,152,149,138,124,138
Auckland,Maori,80-84,Female,120,120,114,105,122
Auckland,Maori,80-84,Male,79,79,73,70,74
Auckland,Maori,85-89,Female,55,54,49,42,53
Auckland,Maori,85-89,Male,29,28,26,22,27
Auckland,Maori,90+,Female,30,29,27,23,22
Auckland,Pacific Peoples,12-17,Female,2729,2635,99,<5,2957
Auckland,Pacific Peoples,12-17,Male,2772,2655,88,<5,3058
Auckland,Pacific Peoples,18-24,Female,3520,3457,"3,051","1,318",3766
Auckland,Pacific Peoples,18-24,Male,3341,3231,"2,694",949,3536
Auckland,Pacific Peoples,18-24,Unknown/Other,18,18,15,5,6
Auckland,Pacific Peoples,25-29,Female,2437,2381,"2,081",927,2713
Auckland,Pacific Peoples,25-29,Male,2396,2308,"1,959",711,2582
Auckland,Pacific Peoples,30-34,Female,2028,1984,"1,763",886,2120
Auckland,Pacific Peoples,30-34,Male,2021,1950,"1,702",712,1958
Auckland,Pacific Peoples,35-39,Female,1612,1578,"1,457",856,1819
Auckland,Pacific Peoples,35-39,Male,1637,1593,"1,425",716,1791
Auckland,Pacific Peoples,40-44,Female,1604,1581,"1,489",965,1764
Auckland,Pacific Peoples,40-44,Male,1611,1573,"1,453",834,1630
Auckland,Pacific Peoples,45-49,Female,1607,1593,"1,496","1,011",1728
Auckland,Pacific Peoples,45-49,Male,1558,1532,"1,418",926,1671
Auckland,Pacific Peoples,5-11,Female,1508,74,NA,NA,3532
Auckland,Pacific Peoples,5-11,Male,1681,69,NA,NA,3720
Auckland,Pacific Peoples,50-54,Female,1629,1616,"1,550","1,123",1810
Auckland,Pacific Peoples,50-54,Male,1600,1580,"1,496","1,083",1678
Auckland,Pacific Peoples,55-59,Female,1553,1541,"1,476","1,132",1566
Auckland,Pacific Peoples,55-59,Male,1422,1406,"1,352","1,044",1431
Auckland,Pacific Peoples,60-64,Female,1249,1244,"1,203",966,1274
Auckland,Pacific Peoples,60-64,Male,1162,1156,"1,123",886,1187
Auckland,Pacific Peoples,65-69,Female,923,916,887,742,974
Auckland,Pacific Peoples,65-69,Male,905,897,857,743,915
Auckland,Pacific Peoples,70-74,Female,683,679,656,525,666
Auckland,Pacific Peoples,70-74,Male,568,562,538,464,559
Auckland,Pacific Peoples,75-79,Female,457,454,428,351,482
Auckland,Pacific Peoples,75-79,Male,319,313,296,244,336
Auckland,Pacific Peoples,80-84,Female,321,311,297,229,326
Auckland,Pacific Peoples,80-84,Male,183,181,170,145,185
Auckland,Pacific Peoples,85-89,Female,161,156,142,118,185
Auckland,Pacific Peoples,85-89,Male,81,78,76,63,79
Auckland,Pacific Peoples,90+,Female,81,77,69,55,81
Auckland,Pacific Peoples,90+,Male,26,25,22,17,24
Auckland,Unknown,12-17,Female,253,243,7,<5,29
Auckland,Unknown,12-17,Male,238,222,7,<5,21
Auckland,Unknown,18-24,Female,445,434,396,196,33
Auckland,Unknown,18-24,Male,476,458,407,185,30
