Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,275385,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,215540,Maori
Pfizer BioNTech COVID-19,2,307,European or other
AstraZeneca,Booster,91,Unknown
Pfizer BioNTech COVID-19,Third primary,419,Unknown
AstraZeneca,1,44,Unknown
AstraZeneca,Third primary,5,Pacific Peoples
Pfizer BioNTech COVID-19,1,517976,Maori
Pfizer BioNTech COVID-19,2,34872,Unknown
AstraZeneca,2,2585,European or other
Paediatric Pfizer,1,56800,Asian
AstraZeneca,2,240,Pacific Peoples
Paediatric Pfizer,2,51,Unknown
Pfizer BioNTech COVID-19,2,498684,Maori
Pfizer BioNTech COVID-19,Booster,388443,Asian
Paediatric Pfizer,1,22433,Pacific Peoples
AstraZeneca,2,329,Maori
Paediatric Pfizer,2,2658,European or other
AstraZeneca,Booster,1041,European or other
AstraZeneca,Booster,78,Maori
Pfizer BioNTech COVID-19,2,12,Maori
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,1,2558597,European or other
Pfizer BioNTech COVID-19,Booster,128886,Pacific Peoples
Paediatric Pfizer,1,132098,European or other
AstraZeneca,1,2553,European or other
AstraZeneca,1,361,Maori
Pfizer BioNTech COVID-19,2,270548,Pacific Peoples
AstraZeneca,2,213,Asian
AstraZeneca,1,105,Pacific Peoples
Pfizer BioNTech COVID-19,2,15,Asian
Pfizer BioNTech COVID-19,2,2531646,European or other
Pfizer BioNTech COVID-19,Booster,24178,Unknown
Pfizer BioNTech COVID-19,Third primary,2626,Asian
Paediatric Pfizer,2,1349,Asian
Pfizer BioNTech COVID-19,Third primary,2613,Maori
Paediatric Pfizer,2,972,Maori
AstraZeneca,1,212,Asian
Paediatric Pfizer,Third primary,5,Asian
AstraZeneca,Booster,185,Asian
Pfizer BioNTech COVID-19,1,630507,Asian
Pfizer BioNTech COVID-19,2,626199,Asian
Pfizer BioNTech COVID-19,Third primary,27037,European or other
Paediatric Pfizer,2,716,Pacific Peoples
AstraZeneca,Booster,81,Pacific Peoples
Paediatric Pfizer,Third primary,14,European or other
AstraZeneca,2,85,Unknown
Pfizer BioNTech COVID-19,Booster,1720995,European or other
Pfizer BioNTech COVID-19,1,36092,Unknown
Paediatric Pfizer,1,38448,Maori
Pfizer BioNTech COVID-19,Third primary,1382,Pacific Peoples
Paediatric Pfizer,1,1154,Unknown
AstraZeneca,Third primary,27,European or other
