Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,424",Masked,Masked,"22,883","16,882",>95%,>95%,74%
Ashburton District,5-11,"3,207","1,836",6,NA,NA,57%,<5%,NA
Auckland,12+,"1,383,806",Masked,Masked,"1,163,736","820,290",>95%,>95%,70%
Auckland,5-11,"163,783","95,611","3,193",NA,NA,58%,<5%,NA
Buller District,12+,"8,272","7,769","7,624","6,342","4,831",94%,92%,76%
Buller District,5-11,719,326,6,NA,NA,45%,<5%,NA
Carterton District,12+,"8,259",Masked,Masked,"6,753","5,227",>95%,>95%,77%
Carterton District,5-11,834,458,11,NA,NA,55%,<5%,NA
Central Hawke's Bay District,12+,"11,838",Masked,Masked,"9,619","7,028",>95%,>95%,73%
Central Hawke's Bay District,5-11,"1,483",676,13,NA,NA,46%,<5%,NA
Central Otago District,12+,"19,636",Masked,Masked,"17,063","13,163",>95%,>95%,77%
Central Otago District,5-11,"1,828","1,056",14,NA,NA,58%,<5%,NA
Chatham Islands Territory,12+,180,Masked,Masked,227,169,>95%,>95%,74%
Chatham Islands Territory,5-11,10,7,0,NA,NA,70%,<5%,NA
Christchurch City,12+,"322,365",Masked,Masked,"277,679","208,924",>95%,>95%,75%
Christchurch City,5-11,"31,521","18,732",284,NA,NA,59%,<5%,NA
Clutha District,12+,"14,979",Masked,"14,086","11,912","8,397",>95%,94%,70%
Clutha District,5-11,"1,658",722,7,NA,NA,44%,<5%,NA
Dunedin City,12+,"110,495",Masked,Masked,"95,932","77,492",>95%,>95%,81%
Dunedin City,5-11,"9,731","6,321",95,NA,NA,65%,<5%,NA
Far North District,12+,"56,422","50,622","49,015","40,028","27,316",90%,87%,68%
Far North District,5-11,"7,092","1,907",30,NA,NA,27%,<5%,NA
Gisborne District,12+,"40,638","38,572","37,549","29,838","20,913",95%,92%,70%
Gisborne District,5-11,"5,499","2,482",61,NA,NA,45%,<5%,NA
Gore District,12+,"10,754","10,097","9,935","8,281","6,096",94%,92%,74%
Gore District,5-11,"1,139",368,9,NA,NA,32%,<5%,NA
Grey District,12+,"11,412","10,824","10,605","8,735","6,521",95%,93%,75%
Grey District,5-11,"1,238",550,Masked,NA,NA,44%,<5%,NA
Hamilton City,12+,"137,530",Masked,Masked,"114,116","77,569",>95%,>95%,68%
Hamilton City,5-11,"17,180","8,987",165,NA,NA,52%,<5%,NA
Hastings District,12+,"69,386",Masked,Masked,"55,676","40,029",>95%,>95%,72%
Hastings District,5-11,"8,940","3,895",75,NA,NA,44%,<5%,NA
Hauraki District,12+,"17,324","15,866","15,542","12,994","9,069",92%,90%,70%
Hauraki District,5-11,"1,786",636,7,NA,NA,36%,<5%,NA
Horowhenua District,12+,"28,824",Masked,"27,266","22,556","16,980",>95%,95%,75%
Horowhenua District,5-11,"3,103","1,345",14,NA,NA,43%,<5%,NA
Hurunui District,12+,"10,818",Masked,"10,256","8,794","6,372",>95%,95%,72%
Hurunui District,5-11,"1,179",556,Masked,NA,NA,47%,<5%,NA
Invercargill City,12+,"45,988",Masked,"43,645","36,384","27,009",>95%,95%,74%
Invercargill City,5-11,"5,144","2,437",27,NA,NA,47%,<5%,NA
Kaikoura District,12+,"3,473","3,192","3,151","2,766","2,081",92%,91%,75%
Kaikoura District,5-11,315,139,Masked,NA,NA,44%,<5%,NA
Kaipara District,12+,"20,198","18,096","17,603","14,950","10,194",90%,87%,68%
Kaipara District,5-11,"2,230",697,Masked,NA,NA,31%,<5%,NA
Kapiti Coast District,12+,"47,238",Masked,Masked,"38,967","31,669",>95%,>95%,81%
Kapiti Coast District,5-11,"4,659","2,474",44,NA,NA,53%,<5%,NA
Kawerau District,12+,"6,115","5,526","5,316","4,000","2,719",90%,87%,68%
Kawerau District,5-11,854,196,Masked,NA,NA,23%,<5%,NA
Lower Hutt City,12+,"90,426",Masked,Masked,"73,861","56,728",>95%,>95%,77%
Lower Hutt City,5-11,"10,445","6,452",66,NA,NA,62%,<5%,NA
Mackenzie District,12+,"4,141","3,897","3,853","3,336","2,396",94%,93%,72%
Mackenzie District,5-11,391,178,Masked,NA,NA,46%,<5%,NA
Manawatu District,12+,"25,555",Masked,Masked,"20,572","15,140",>95%,>95%,74%
Manawatu District,5-11,"3,185","1,570",14,NA,NA,49%,<5%,NA
Marlborough District,12+,"41,136",Masked,Masked,"34,764","27,112",>95%,>95%,78%
Marlborough District,5-11,"4,156","2,213",47,NA,NA,53%,<5%,NA
Masterton District,12+,"22,673",Masked,Masked,"17,971","13,367",>95%,>95%,74%
Masterton District,5-11,"2,400","1,082",44,NA,NA,45%,<5%,NA
Matamata-Piako District,12+,"29,220",Masked,"27,543","23,245","15,522",>95%,94%,67%
Matamata-Piako District,5-11,"3,307","1,327",18,NA,NA,40%,<5%,NA
