Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,276365,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,242991,Maori
Pfizer BioNTech COVID-19,2,978,European or other
Pfizer BioNTech COVID-19,Third primary,358,Unknown
AstraZeneca,Booster,95,Unknown
AstraZeneca,1,46,Unknown
Pfizer BioNTech COVID-19,1,521589,Maori
Pfizer BioNTech COVID-19,2,32210,Unknown
Paediatric Pfizer,1,60180,Asian
AstraZeneca,2,2708,European or other
AstraZeneca,2,241,Pacific Peoples
Novavax,Booster,38,Asian
Paediatric Pfizer,2,653,Unknown
Pfizer BioNTech COVID-19,2,504743,Maori
Pfizer BioNTech COVID-19,Booster,437217,Asian
Paediatric Pfizer,1,24231,Pacific Peoples
Paediatric Pfizer,2,75122,European or other
Novavax,1,1579,European or other
AstraZeneca,Booster,1323,European or other
AstraZeneca,2,351,Maori
AstraZeneca,Booster,101,Maori
Novavax,Third primary,35,European or other
Novavax,1,24,Unknown
Paediatric Pfizer,Booster,17,European or other
Pfizer BioNTech COVID-19,2,41,Maori
Pfizer BioNTech COVID-19,Booster,146361,Pacific Peoples
Pfizer BioNTech COVID-19,1,2559911,European or other
Paediatric Pfizer,1,137143,European or other
AstraZeneca,1,2579,European or other
AstraZeneca,1,365,Maori
Novavax,2,1407,European or other
Novavax,2,19,Unknown
Novavax,Booster,6,Unknown
Pfizer BioNTech COVID-19,2,12,Unknown
Pfizer BioNTech COVID-19,2,272444,Pacific Peoples
AstraZeneca,2,233,Asian
Novavax,2,34,Pacific Peoples
Novavax,1,166,Maori
Pfizer BioNTech COVID-19,2,79,Asian
AstraZeneca,1,108,Pacific Peoples
Paediatric Pfizer,Third primary,7,Maori
Pfizer BioNTech COVID-19,2,2536513,European or other
Paediatric Pfizer,2,15967,Maori
Pfizer BioNTech COVID-19,Booster,72519,Unknown
Paediatric Pfizer,2,34830,Asian
Paediatric Pfizer,Third primary,9,Asian
Pfizer BioNTech COVID-19,Third primary,2461,Maori
Pfizer BioNTech COVID-19,Third primary,2028,Asian
AstraZeneca,1,217,Asian
AstraZeneca,Booster,266,Asian
Novavax,Third primary,7,Asian
AstraZeneca,Third primary,5,Asian
Pfizer BioNTech COVID-19,2,628607,Asian
Pfizer BioNTech COVID-19,1,632209,Asian
Pfizer BioNTech COVID-19,Third primary,26979,European or other
Paediatric Pfizer,2,8911,Pacific Peoples
AstraZeneca,Booster,95,Pacific Peoples
Novavax,2,313,Asian
Paediatric Pfizer,Third primary,40,European or other
Novavax,1,362,Asian
AstraZeneca,2,90,Unknown
Novavax,1,54,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,1830942,European or other
Pfizer BioNTech COVID-19,1,33078,Unknown
Paediatric Pfizer,1,41778,Maori
Novavax,Booster,285,European or other
Paediatric Pfizer,1,1127,Unknown
Novavax,2,137,Maori
Pfizer BioNTech COVID-19,Third primary,1175,Pacific Peoples
Pfizer BioNTech COVID-19,2,16,Pacific Peoples
AstraZeneca,Third primary,24,European or other
Novavax,Booster,17,Maori
