DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4519,4454,"1,738",326,4302
Auckland,Asian,12-17,Male,4774,4697,"1,830",292,4464
Auckland,Asian,12-17,Unknown/Other,18,17,16,<5,7
Auckland,Asian,18-24,Female,7728,7686,"7,679","5,391",6671
Auckland,Asian,18-24,Male,7967,7894,"7,881","4,770",6297
Auckland,Asian,18-24,Unknown/Other,90,87,87,46,16
Auckland,Asian,25-29,Female,7783,7758,"7,747","5,564",8392
Auckland,Asian,25-29,Male,8938,8859,"8,849","5,476",7740
Auckland,Asian,25-29,Unknown/Other,118,116,116,70,25
Auckland,Asian,30-34,Female,9062,9014,"8,994","6,581",9316
Auckland,Asian,30-34,Male,9101,9012,"8,999","6,205",8382
Auckland,Asian,30-34,Unknown/Other,86,86,85,43,19
Auckland,Asian,35-39,Female,7774,7725,"7,709","5,785",8154
Auckland,Asian,35-39,Male,7890,7813,"7,801","5,614",7336
Auckland,Asian,35-39,Unknown/Other,63,63,63,41,14
Auckland,Asian,40-44,Female,5944,5910,"5,906","4,553",5623
Auckland,Asian,40-44,Male,5951,5880,"5,866","4,415",5231
Auckland,Asian,40-44,Unknown/Other,38,36,36,24,15
Auckland,Asian,45-49,Female,4719,4690,"4,688","3,685",4861
Auckland,Asian,45-49,Male,4349,4298,"4,293","3,368",3985
Auckland,Asian,5-11,Female,4899,2984,NA,NA,6528
Auckland,Asian,5-11,Male,4891,2943,NA,NA,6688
Auckland,Asian,50-54,Female,4443,4421,"4,408","3,555",4411
Auckland,Asian,50-54,Male,3579,3551,"3,540","2,840",3467
Auckland,Asian,55-59,Female,4024,4002,"3,997","3,248",4228
Auckland,Asian,55-59,Male,3408,3376,"3,372","2,764",3468
Auckland,Asian,60-64,Female,3291,3278,"3,270","2,744",3608
Auckland,Asian,60-64,Male,2737,2726,"2,720","2,342",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
