Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,429","18,202",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,918",795,NA,NA,60%,25%,NA
Auckland,12+,"1,383,349",Masked,Masked,"1,257,352","880,373",>95%,>95%,70%
Auckland,5-11,"163,729","98,348","47,373",NA,NA,60%,29%,NA
Buller District,12+,"8,270","7,750","7,648","7,183","5,210",94%,92%,73%
Buller District,5-11,719,356,172,NA,NA,50%,24%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,418","5,514",>95%,>95%,74%
Carterton District,5-11,834,469,203,NA,NA,56%,24%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,803","7,698",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",710,271,NA,NA,48%,18%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,624","13,992",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,110",512,NA,Masked,61%,28%,>95%
Chatham Islands Territory,12+,180,Masked,Masked,262,199,>95%,>95%,76%
Chatham Islands Territory,5-11,10,Masked,Masked,NA,NA,>95%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"303,150","225,335",>95%,>95%,74%
Christchurch City,5-11,"31,517","19,603","9,612",NA,NA,62%,30%,NA
Clutha District,12+,"14,979",Masked,"14,088","13,142","9,014",>95%,94%,69%
Clutha District,5-11,"1,658",769,289,NA,NA,46%,17%,NA
Dunedin City,12+,"110,451",Masked,Masked,"105,412","82,604",>95%,>95%,78%
Dunedin City,5-11,"9,730","6,455","3,541",NA,NA,66%,36%,NA
Far North District,12+,"56,393","50,649","49,225","45,473","29,579",90%,87%,65%
Far North District,5-11,"7,086","2,124",681,NA,NA,30%,10%,NA
Gisborne District,12+,"40,629","38,487","37,601","34,451","22,484",95%,93%,65%
Gisborne District,5-11,"5,498","2,737","1,094",NA,NA,50%,20%,NA
Gore District,12+,"10,754","9,971","9,852","9,177","6,446",93%,92%,70%
Gore District,5-11,"1,139",384,178,NA,NA,34%,16%,NA
Grey District,12+,"11,405","10,811","10,627","9,900","6,982",95%,93%,71%
Grey District,5-11,"1,238",568,285,NA,NA,46%,23%,NA
Hamilton City,12+,"137,508",Masked,Masked,"125,757","82,831",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,256","3,618",NA,NA,54%,21%,NA
Hastings District,12+,"69,329",Masked,Masked,"63,397","43,020",>95%,>95%,68%
Hastings District,5-11,"8,928","4,101","1,556",NA,NA,46%,17%,NA
Hauraki District,12+,"17,315","15,829","15,530","14,529","9,809",91%,90%,68%
