DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4514,4452,"1,601",264,4302
Auckland,Asian,12-17,Male,4777,4696,"1,681",226,4464
Auckland,Asian,12-17,Unknown/Other,18,17,15,<5,7
Auckland,Asian,18-24,Female,7697,7660,"7,639","5,264",6671
Auckland,Asian,18-24,Male,7937,7872,"7,840","4,652",6297
Auckland,Asian,18-24,Unknown/Other,93,90,90,44,16
Auckland,Asian,25-29,Female,7779,7754,"7,735","5,476",8392
Auckland,Asian,25-29,Male,8939,8867,"8,842","5,384",7740
Auckland,Asian,25-29,Unknown/Other,120,118,118,70,25
Auckland,Asian,30-34,Female,9088,9037,"9,009","6,487",9316
Auckland,Asian,30-34,Male,9102,9020,"8,996","6,110",8382
Auckland,Asian,30-34,Unknown/Other,88,88,87,44,19
Auckland,Asian,35-39,Female,7776,7725,"7,692","5,690",8154
Auckland,Asian,35-39,Male,7894,7826,"7,804","5,520",7336
Auckland,Asian,35-39,Unknown/Other,65,65,65,41,14
Auckland,Asian,40-44,Female,5942,5909,"5,898","4,505",5623
Auckland,Asian,40-44,Male,5942,5880,"5,857","4,326",5231
Auckland,Asian,40-44,Unknown/Other,41,39,39,28,15
Auckland,Asian,45-49,Female,4734,4707,"4,694","3,654",4861
Auckland,Asian,45-49,Male,4342,4297,"4,281","3,308",3985
Auckland,Asian,5-11,Female,4871,2712,NA,NA,6528
Auckland,Asian,5-11,Male,4864,2681,NA,NA,6688
Auckland,Asian,50-54,Female,4443,4423,"4,408","3,510",4411
Auckland,Asian,50-54,Male,3565,3541,"3,529","2,795",3467
Auckland,Asian,55-59,Female,4028,4007,"3,995","3,216",4228
Auckland,Asian,55-59,Male,3411,3381,"3,372","2,746",3468
Auckland,Asian,60-64,Female,3287,3273,"3,265","2,713",3608
Auckland,Asian,60-64,Male,2738,2727,"2,717","2,325",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2857,2850,"2,840","2,364",2935
Auckland,Asian,65-69,Male,2392,2380,"2,368","2,005",2584
Auckland,Asian,70-74,Female,1856,1848,"1,839","1,604",1918
Auckland,Asian,70-74,Male,1749,1742,"1,733","1,537",1743
Auckland,Asian,75-79,Female,1132,1130,"1,120",988,1240
Auckland,Asian,75-79,Male,982,974,971,863,1080
Auckland,Asian,80-84,Female,876,867,866,757,943
Auckland,Asian,80-84,Male,717,714,711,638,819
Auckland,Asian,85-89,Female,428,420,418,360,441
Auckland,Asian,85-89,Male,428,425,425,377,420
Auckland,Asian,90+,Female,187,187,186,166,179
Auckland,Asian,90+,Male,121,120,119,104,126
Auckland,European or Other,12-17,Female,7045,6999,"2,502",421,7315
Auckland,European or Other,12-17,Male,7260,7178,"2,605",379,7448
Auckland,European or Other,12-17,Unknown/Other,8,8,<5,<5,8
Auckland,European or Other,18-24,Female,10790,10743,"10,719","7,775",11536
Auckland,European or Other,18-24,Male,10053,9972,"9,945","6,203",10369
Auckland,European or Other,18-24,Unknown/Other,47,46,46,33,38
Auckland,European or Other,25-29,Female,10358,10301,"10,280","7,537",11855
Auckland,European or Other,25-29,Male,10437,10363,"10,331","6,617",10769
Auckland,European or Other,25-29,Unknown/Other,50,50,50,33,23
Auckland,European or Other,30-34,Female,9617,9570,"9,548","7,129",10714
Auckland,European or Other,30-34,Male,10392,10308,"10,256","6,818",10361
Auckland,European or Other,30-34,Unknown/Other,38,38,38,25,22
Auckland,European or Other,35-39,Female,7609,7559,"7,535","5,854",8521
Auckland,European or Other,35-39,Male,8304,8243,"8,210","5,904",8574
Auckland,European or Other,35-39,Unknown/Other,15,14,14,9,15
Auckland,European or Other,40-44,Female,7105,7063,"7,045","5,765",8032
Auckland,European or Other,40-44,Male,7461,7407,"7,387","5,697",8027
Auckland,European or Other,45-49,Female,7862,7828,"7,813","6,651",8961
Auckland,European or Other,45-49,Male,8004,7949,"7,929","6,425",8951
Auckland,European or Other,5-11,Female,5385,3118,NA,NA,7739
Auckland,European or Other,5-11,Male,5747,3305,NA,NA,8273
Auckland,European or Other,50-54,Female,8129,8095,"8,076","7,061",8362
Auckland,European or Other,50-54,Male,8556,8513,"8,491","7,200",8858
Auckland,European or Other,50-54,Unknown/Other,8,8,8,7,5
Auckland,European or Other,55-59,Female,7393,7358,"7,340","6,526",8093
Auckland,European or Other,55-59,Male,8093,8046,"8,020","6,921",8644
Auckland,European or Other,60-64,Female,6737,6708,"6,687","6,062",6988
Auckland,European or Other,60-64,Male,7223,7186,"7,161","6,373",7440
Auckland,European or Other,65-69,Female,5706,5687,"5,659","5,213",5985
Auckland,European or Other,65-69,Male,5867,5851,"5,828","5,311",6084
Auckland,European or Other,70-74,Female,5110,5092,"5,063","4,704",5399
Auckland,European or Other,70-74,Male,4976,4964,"4,946","4,629",5182
Auckland,European or Other,75-79,Female,3943,3931,"3,913","3,699",3829
Auckland,European or Other,75-79,Male,3455,3448,"3,432","3,251",3442
Auckland,European or Other,80-84,Female,2938,2932,"2,917","2,778",2825
Auckland,European or Other,80-84,Male,2377,2372,"2,362","2,255",2219
Auckland,European or Other,85-89,Female,1773,1765,"1,756","1,691",1874
Auckland,European or Other,85-89,Male,1145,1144,"1,135","1,101",1257
Auckland,European or Other,90+,Female,1476,1474,"1,473","1,408",1629
Auckland,European or Other,90+,Male,722,721,719,696,782
Auckland,Maori,12-17,Female,1677,1607,530,40,1659
Auckland,Maori,12-17,Male,1656,1590,507,39,1747
Auckland,Maori,18-24,Female,2349,2300,"2,263","1,015",2396
Auckland,Maori,18-24,Male,2178,2106,"2,076",750,2260
Auckland,Maori,25-29,Female,1516,1485,"1,466",755,1774
Auckland,Maori,25-29,Male,1619,1569,"1,544",678,1611
Auckland,Maori,30-34,Female,1305,1268,"1,256",671,1398
Auckland,Maori,30-34,Male,1265,1232,"1,212",543,1265
Auckland,Maori,35-39,Female,997,969,955,560,1101
Auckland,Maori,35-39,Male,957,931,908,466,1003
Auckland,Maori,40-44,Female,895,880,867,555,1032
Auckland,Maori,40-44,Male,940,912,900,527,997
Auckland,Maori,45-49,Female,998,990,979,700,1169
Auckland,Maori,45-49,Male,981,957,946,630,1053
Auckland,Maori,5-11,Female,942,409,NA,NA,2068
Auckland,Maori,5-11,Male,1043,451,NA,NA,2253
Auckland,Maori,50-54,Female,1032,1023,"1,017",769,1055
Auckland,Maori,50-54,Male,909,891,878,633,911
Auckland,Maori,55-59,Female,903,896,887,735,988
Auckland,Maori,55-59,Male,896,884,877,706,915
Auckland,Maori,60-64,Female,755,747,746,638,744
Auckland,Maori,60-64,Male,671,667,664,576,607
Auckland,Maori,65-69,Female,519,517,516,463,520
Auckland,Maori,65-69,Male,400,400,397,356,421
Auckland,Maori,70-74,Female,307,306,306,281,304
Auckland,Maori,70-74,Male,280,280,279,259,261
Auckland,Maori,75-79,Female,159,157,157,145,158
Auckland,Maori,75-79,Male,144,144,144,130,138
Auckland,Maori,80-84,Female,115,115,114,111,122
Auckland,Maori,80-84,Male,73,73,72,68,74
Auckland,Maori,85-89,Female,48,48,48,44,53
Auckland,Maori,85-89,Male,25,25,25,23,27
Auckland,Maori,90+,Female,27,27,27,24,22
Auckland,Pacific Peoples,12-17,Female,2754,2671,933,39,2957
Auckland,Pacific Peoples,12-17,Male,2784,2692,923,40,3058
Auckland,Pacific Peoples,18-24,Female,3552,3501,"3,464","1,491",3766
Auckland,Pacific Peoples,18-24,Male,3372,3275,"3,224","1,105",3536
Auckland,Pacific Peoples,18-24,Unknown/Other,18,18,18,6,6
Auckland,Pacific Peoples,25-29,Female,2412,2359,"2,334","1,034",2713
Auckland,Pacific Peoples,25-29,Male,2408,2335,"2,294",824,2582
Auckland,Pacific Peoples,30-34,Female,2043,2003,"1,986","1,008",2120
Auckland,Pacific Peoples,30-34,Male,2054,1995,"1,959",841,1958
Auckland,Pacific Peoples,35-39,Female,1617,1589,"1,573",942,1819
Auckland,Pacific Peoples,35-39,Male,1625,1590,"1,577",782,1791
Auckland,Pacific Peoples,40-44,Female,1601,1579,"1,569","1,023",1764
Auckland,Pacific Peoples,40-44,Male,1609,1577,"1,559",935,1630
Auckland,Pacific Peoples,45-49,Female,1606,1599,"1,589","1,103",1728
Auckland,Pacific Peoples,45-49,Male,1543,1520,"1,509","1,001",1671
Auckland,Pacific Peoples,5-11,Female,1586,551,NA,NA,3532
Auckland,Pacific Peoples,5-11,Male,1765,564,NA,NA,3720
Auckland,Pacific Peoples,50-54,Female,1668,1657,"1,650","1,222",1810
Auckland,Pacific Peoples,50-54,Male,1593,1575,"1,567","1,164",1678
Auckland,Pacific Peoples,55-59,Female,1561,1554,"1,548","1,204",1566
Auckland,Pacific Peoples,55-59,Male,1408,1394,"1,392","1,101",1431
Auckland,Pacific Peoples,60-64,Female,1259,1254,"1,248","1,027",1274
Auckland,Pacific Peoples,60-64,Male,1149,1145,"1,142",931,1187
Auckland,Pacific Peoples,65-69,Female,939,934,926,787,974
Auckland,Pacific Peoples,65-69,Male,900,893,889,783,915
Auckland,Pacific Peoples,70-74,Female,674,673,672,559,666
Auckland,Pacific Peoples,70-74,Male,560,557,555,494,559
Auckland,Pacific Peoples,75-79,Female,448,447,446,369,482
Auckland,Pacific Peoples,75-79,Male,300,298,298,255,336
Auckland,Pacific Peoples,80-84,Female,303,297,295,240,326
Auckland,Pacific Peoples,80-84,Male,171,169,169,149,185
Auckland,Pacific Peoples,85-89,Female,148,143,143,116,185
Auckland,Pacific Peoples,85-89,Male,75,75,75,62,79
Auckland,Pacific Peoples,90+,Female,69,67,67,57,81
Auckland,Pacific Peoples,90+,Male,23,23,23,18,24
Auckland,Unknown,12-17,Female,200,196,62,9,29
Auckland,Unknown,12-17,Male,215,195,58,<5,21
Auckland,Unknown,18-24,Female,382,379,369,187,33
Auckland,Unknown,18-24,Male,439,423,419,183,30
Auckland,Unknown,25-29,Female,679,660,655,383,50
Auckland,Unknown,25-29,Male,636,616,610,322,46
Auckland,Unknown,30-34,Female,620,603,599,357,48
Auckland,Unknown,30-34,Male,846,815,804,419,58
