Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,237766,Maori
Pfizer BioNTech COVID-19,1,276103,Pacific Peoples
AstraZeneca,1,47,Unknown
AstraZeneca,Booster,100,Unknown
Pfizer BioNTech COVID-19,2,889,European or other
Pfizer BioNTech COVID-19,Third primary,365,Unknown
Pfizer BioNTech COVID-19,1,520611,Maori
Pfizer BioNTech COVID-19,2,32884,Unknown
Paediatric Pfizer,1,59646,Asian
AstraZeneca,2,2698,European or other
Paediatric Pfizer,2,619,Unknown
AstraZeneca,2,248,Pacific Peoples
Novavax,Booster,24,Asian
Pfizer BioNTech COVID-19,Booster,429541,Asian
Pfizer BioNTech COVID-19,2,503634,Maori
Paediatric Pfizer,2,69005,European or other
Paediatric Pfizer,1,23862,Pacific Peoples
AstraZeneca,Booster,1281,European or other
Novavax,1,1418,European or other
AstraZeneca,2,348,Maori
Novavax,Third primary,24,European or other
Paediatric Pfizer,Booster,5,European or other
AstraZeneca,Booster,98,Maori
Novavax,1,21,Unknown
Pfizer BioNTech COVID-19,2,39,Maori
Pfizer BioNTech COVID-19,1,2559866,European or other
Pfizer BioNTech COVID-19,Booster,141623,Pacific Peoples
Paediatric Pfizer,1,136518,European or other
Novavax,2,1162,European or other
AstraZeneca,1,2570,European or other
AstraZeneca,1,364,Maori
Novavax,2,18,Unknown
Novavax,Booster,5,Unknown
Pfizer BioNTech COVID-19,2,7,Unknown
Pfizer BioNTech COVID-19,2,272120,Pacific Peoples
Novavax,1,145,Maori
AstraZeneca,2,228,Asian
AstraZeneca,1,108,Pacific Peoples
Pfizer BioNTech COVID-19,2,75,Asian
Novavax,2,26,Pacific Peoples
Pfizer BioNTech COVID-19,2,2536240,European or other
Pfizer BioNTech COVID-19,Booster,26460,Unknown
Pfizer BioNTech COVID-19,Third primary,2425,Maori
Paediatric Pfizer,2,31588,Asian
Paediatric Pfizer,2,14261,Maori
Pfizer BioNTech COVID-19,Third primary,1994,Asian
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,7,Asian
AstraZeneca,Booster,247,Asian
AstraZeneca,Third primary,5,Asian
Pfizer BioNTech COVID-19,1,631769,Asian
Pfizer BioNTech COVID-19,2,628167,Asian
Paediatric Pfizer,2,7335,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,26262,European or other
Novavax,2,269,Asian
Novavax,1,332,Asian
AstraZeneca,2,91,Unknown
AstraZeneca,Booster,95,Pacific Peoples
Paediatric Pfizer,Third primary,25,European or other
Novavax,1,39,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,1815313,European or other
Pfizer BioNTech COVID-19,1,33693,Unknown
Paediatric Pfizer,1,41412,Maori
Paediatric Pfizer,1,1159,Unknown
Novavax,Booster,10,Maori
Pfizer BioNTech COVID-19,Third primary,1167,Pacific Peoples
Novavax,Booster,158,European or other
Novavax,2,102,Maori
Pfizer BioNTech COVID-19,2,15,Pacific Peoples
AstraZeneca,Third primary,23,European or other
