SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"9,029",Masked,"8,418","7,426","3,570",>95%,93%,48%
Unknown,Unknown,Unknown,Maori,5-11,"1,586",461,156,NA,NA,29%,10%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,389",Masked,Masked,"3,377","1,688",>95%,>95%,50%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,352,132,38,NA,NA,38%,11%,NA
100100,North Cape,Northland,Maori,12+,860,766,749,669,412,89%,87%,62%
100100,North Cape,Northland,Maori,5-11,159,42,10,NA,NA,26%,6%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,030",884,847,748,389,86%,82%,52%
100200,Rangaunu Harbour,Northland,Maori,5-11,190,35,11,NA,NA,18%,6%,NA
100400,Karikari Peninsula,Northland,Maori,12+,526,444,430,377,204,84%,82%,54%
100400,Karikari Peninsula,Northland,Maori,5-11,86,20,Masked,NA,NA,23%,6%,NA
100500,Tangonge,Northland,Maori,12+,552,477,468,414,227,86%,85%,55%
100500,Tangonge,Northland,Maori,5-11,93,20,Masked,NA,NA,22%,<5%,NA
100600,Ahipara,Northland,Maori,12+,578,486,469,426,252,84%,81%,59%
100600,Ahipara,Northland,Maori,5-11,107,36,9,NA,NA,34%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,323","1,168","1,099",943,447,88%,83%,47%
100700,Kaitaia East,Northland,Maori,5-11,288,82,19,NA,NA,28%,7%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,53,Masked,Masked,52,26,>95%,>95%,50%
100800,Kaitaia West,Northland,Maori,12+,"1,841","1,611","1,519","1,285",605,88%,83%,47%
100800,Kaitaia West,Northland,Maori,5-11,407,78,28,NA,NA,19%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,102,94,92,82,39,92%,90%,48%
100900,Rangitihi,Northland,Maori,12+,393,335,322,279,136,85%,82%,49%
100900,Rangitihi,Northland,Maori,5-11,57,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,311,256,242,214,105,82%,78%,49%
101000,Oruru-Parapara,Northland,Maori,5-11,64,14,Masked,NA,NA,22%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,581,512,487,433,239,88%,84%,55%
101100,Taumarumaru,Northland,Maori,5-11,144,31,8,NA,NA,22%,6%,NA
