Date,Trained Vaccinator,Active Vaccinator
2021-02-28,584,136
2021-03-07,905,251
2021-03-14,1048,324
2021-03-21,1252,420
2021-03-28,1479,586
2021-04-04,1792,748
2021-04-11,2072,923
2021-04-18,2505,1154
2021-04-25,2895,1377
2021-05-02,3389,1562
2021-05-09,4448,1786
2021-05-16,5166,1995
2021-05-23,6110,2219
2021-05-30,6511,2458
2021-06-06,7141,2718
2021-06-13,7678,2938
2021-06-20,8107,3218
2021-06-27,8453,3432
2021-07-04,8622,3647
2021-07-11,8984,3837
2021-07-18,9389,3989
2021-07-25,9785,4271
2021-08-01,10214,4710
2021-08-08,10663,5199
2021-08-15,11005,5657
2021-08-22,11523,6019
2021-08-29,12461,6646
2021-09-05,13105,7255
2021-09-12,13557,7697
2021-09-19,13776,8105
2021-09-26,14094,8462
2021-10-03,14224,8682
2021-10-10,14387,8987
2021-10-17,14568,9338
