DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland Metro,Asian,12-15,Female,9340,6682,9507,982,703
Auckland Metro,Asian,12-15,Male,9987,6995,10290,971,680
Auckland Metro,Asian,12-15,Unknown/Other,14,9,8,1750,1125
Auckland Metro,Asian,16-19,Female,9183,7342,8658,1061,848
Auckland Metro,Asian,16-19,Male,9802,7614,8838,1109,862
Auckland Metro,Asian,16-19,Unknown/Other,85,69,20,4250,3450
Auckland Metro,Asian,20-24,Female,13376,10685,13119,1020,814
Auckland Metro,Asian,20-24,Male,14859,11019,13140,1131,839
Auckland Metro,Asian,20-24,Unknown/Other,163,109,26,6269,4192
Auckland Metro,Asian,25-29,Female,19815,16143,22261,890,725
Auckland Metro,Asian,25-29,Male,22431,17630,21122,1062,835
Auckland Metro,Asian,25-29,Unknown/Other,243,196,52,4673,3769
Auckland Metro,Asian,30-34,Female,25484,21021,27585,924,762
Auckland Metro,Asian,30-34,Male,25543,21140,24463,1044,864
Auckland Metro,Asian,30-34,Unknown/Other,245,203,58,4224,3500
Auckland Metro,Asian,35-39,Female,24227,20411,26042,930,784
Auckland Metro,Asian,35-39,Male,23932,20382,23286,1028,875
Auckland Metro,Asian,35-39,Unknown/Other,136,110,39,3487,2821
Auckland Metro,Asian,40-44,Female,17869,15694,17625,1014,890
Auckland Metro,Asian,40-44,Male,18162,16022,16424,1106,976
Auckland Metro,Asian,40-44,Unknown/Other,147,128,30,4900,4267
Auckland Metro,Asian,45-49,Female,14018,12478,14609,960,854
Auckland Metro,Asian,45-49,Male,13132,11818,12775,1028,925
Auckland Metro,Asian,45-49,Unknown/Other,107,97,18,5944,5389
Auckland Metro,Asian,50-54,Female,12643,11432,13152,961,869
Auckland Metro,Asian,50-54,Male,10756,9844,10867,990,906
Auckland Metro,Asian,50-54,Unknown/Other,67,56,7,9571,8000
Auckland Metro,Asian,55-59,Female,11466,10615,12473,919,851
Auckland Metro,Asian,55-59,Male,10047,9304,10448,962,891
Auckland Metro,Asian,55-59,Unknown/Other,30,25,16,1875,1562
Auckland Metro,Asian,60-64,Female,10187,9492,11771,865,806
Auckland Metro,Asian,60-64,Male,8338,7829,9386,888,834
Auckland Metro,Asian,60-64,Unknown/Other,19,15,17,1118,882
Auckland Metro,Asian,65-69,Female,8742,8232,9591,911,858
Auckland Metro,Asian,65-69,Male,7382,6991,8323,887,840
Auckland Metro,Asian,65-69,Unknown/Other,15,14,13,1154,1077
Auckland Metro,Asian,70-74,Female,5303,4996,5803,914,861
Auckland Metro,Asian,70-74,Male,5102,4872,5520,924,883
Auckland Metro,Asian,75-79,Female,3070,2870,3533,869,812
Auckland Metro,Asian,75-79,Male,2746,2590,3128,878,828
Auckland Metro,Asian,80-84,Female,2003,1845,2375,843,777
Auckland Metro,Asian,80-84,Male,1772,1633,2182,812,748
Auckland Metro,Asian,85-89,Female,966,863,1068,904,808
Auckland Metro,Asian,85-89,Male,847,801,961,881,834
Auckland Metro,Asian,90+,Female,361,324,427,845,759
Auckland Metro,Asian,90+,Male,248,223,277,895,805
Auckland Metro,European or Other,12-15,Female,15646,11258,17932,873,628
Auckland Metro,European or Other,12-15,Male,16254,11581,18766,866,617
Auckland Metro,European or Other,12-15,Unknown/Other,12,10,12,1000,833
Auckland Metro,European or Other,16-19,Female,15106,11622,17162,880,677
Auckland Metro,European or Other,16-19,Male,15452,11280,17686,874,638
Auckland Metro,European or Other,16-19,Unknown/Other,19,16,27,704,593
Auckland Metro,European or Other,20-24,Female,20898,15369,24678,847,623
Auckland Metro,European or Other,20-24,Male,20551,13513,23807,863,568
Auckland Metro,European or Other,20-24,Unknown/Other,64,49,44,1455,1114
Auckland Metro,European or Other,25-29,Female,23146,17563,29464,786,596
Auckland Metro,European or Other,25-29,Male,23007,15874,27285,843,582
Auckland Metro,European or Other,25-29,Unknown/Other,81,64,48,1688,1333
Auckland Metro,European or Other,30-34,Female,23949,17990,28812,831,624
Auckland Metro,European or Other,30-34,Male,24200,17357,27078,894,641
Auckland Metro,European or Other,30-34,Unknown/Other,63,46,38,1658,1211
