Week ending,Group,DHB of service,Dose number,# doses administered
2021-02-21,Group 1,Auckland Metro,1,107
2021-02-21,Group 2,Auckland Metro,1,55
2021-02-28,Group 1,Auckland Metro,1,2965
2021-02-28,Group 1,Canterbury,1,545
2021-02-28,Group 1,Capital & Coast and Hutt Valley,1,132
2021-02-28,Group 1,Lakes,1,62
2021-02-28,Group 1,Northland,1,18
2021-02-28,Group 1,Tairawhiti,1,43
2021-02-28,Group 1,Waikato,1,194
2021-02-28,Group 2,Auckland Metro,1,2382
2021-02-28,Group 2,Canterbury,1,54
2021-02-28,Group 2,Capital & Coast and Hutt Valley,1,48
2021-02-28,Group 2,Hawke's Bay,1,26
2021-02-28,Group 2,Lakes,1,10
2021-02-28,Group 2,Tairawhiti,1,36
2021-02-28,Group 2,Waikato,1,24
2021-02-28,Group 3,Auckland Metro,1,7
2021-03-07,Group 1,Auckland Metro,1,2849
2021-03-07,Group 1,Bay of Plenty,1,191
2021-03-07,Group 1,Canterbury,1,944
2021-03-07,Group 1,Capital & Coast and Hutt Valley,1,161
2021-03-07,Group 1,Hawke's Bay,1,189
2021-03-07,Group 1,Lakes,1,193
2021-03-07,Group 1,Nelson Marlborough,1,337
2021-03-07,Group 1,Northland,1,158
2021-03-07,Group 1,South Canterbury,1,117
2021-03-07,Group 1,Southern,1,394
2021-03-07,Group 1,Tairawhiti,1,39
2021-03-07,Group 1,Taranaki,1,83
2021-03-07,Group 1,Waikato,1,273
2021-03-07,Group 2,Auckland Metro,1,1484
2021-03-07,Group 2,Bay of Plenty,1,17
2021-03-07,Group 2,Canterbury,1,112
2021-03-07,Group 2,Capital & Coast and Hutt Valley,1,20
2021-03-07,Group 2,Hawke's Bay,1,22
2021-03-07,Group 2,Lakes,1,54
2021-03-07,Group 2,Nelson Marlborough,1,69
2021-03-07,Group 2,South Canterbury,1,121
2021-03-07,Group 2,Southern,1,57
2021-03-07,Group 2,Tairawhiti,1,161
2021-03-07,Group 2,Taranaki,1,67
2021-03-07,Group 2,Waikato,1,791
2021-03-14,Group 1,Auckland Metro,1,2471
2021-03-14,Group 1,Auckland Metro,2,8
2021-03-14,Group 1,Bay of Plenty,1,220
2021-03-14,Group 1,Canterbury,1,817
2021-03-14,Group 1,Capital & Coast and Hutt Valley,1,81
2021-03-14,Group 1,Hawke's Bay,1,115
2021-03-14,Group 1,Lakes,1,136
2021-03-14,Group 1,Nelson Marlborough,1,209
2021-03-14,Group 1,Northland,1,116
2021-03-14,Group 1,Taranaki,1,128
2021-03-14,Group 1,Waikato,1,133
2021-03-14,Group 2,Auckland Metro,1,1565
2021-03-14,Group 2,Auckland Metro,2,15
2021-03-14,Group 2,Bay of Plenty,1,14
2021-03-14,Group 2,Canterbury,1,56
2021-03-14,Group 2,Capital & Coast and Hutt Valley,1,40
2021-03-14,Group 2,Lakes,1,37
2021-03-14,Group 2,Nelson Marlborough,1,161
2021-03-14,Group 2,Other Sites,1,472
2021-03-14,Group 2,Taranaki,1,128
2021-03-14,Group 2,Waikato,1,611
2021-03-21,Group 1,Auckland Metro,1,3350
2021-03-21,Group 1,Auckland Metro,2,1998
2021-03-21,Group 1,Bay of Plenty,1,219
2021-03-21,Group 1,Canterbury,1,254
2021-03-21,Group 1,Capital & Coast and Hutt Valley,1,51
2021-03-21,Group 1,Capital & Coast and Hutt Valley,2,109
2021-03-21,Group 1,Hawke's Bay,1,33
2021-03-21,Group 1,Lakes,1,130
2021-03-21,Group 1,Lakes,2,27
2021-03-21,Group 1,Nelson Marlborough,1,52
2021-03-21,Group 1,Northland,1,56
2021-03-21,Group 1,Other Sites,2,8
2021-03-21,Group 1,South Canterbury,1,65
2021-03-21,Group 1,Tairawhiti,1,25
2021-03-21,Group 1,Tairawhiti,2,37
2021-03-21,Group 1,Waikato,1,116
2021-03-21,Group 1,Waikato,2,13
2021-03-21,Group 2,Auckland Metro,1,549
2021-03-21,Group 2,Auckland Metro,2,1155
2021-03-21,Group 2,Bay of Plenty,1,13
2021-03-21,Group 2,Canterbury,1,47
2021-03-21,Group 2,Canterbury,2,13
2021-03-21,Group 2,Capital & Coast and Hutt Valley,1,258
2021-03-21,Group 2,Capital & Coast and Hutt Valley,2,33
2021-03-21,Group 2,Hawke's Bay,1,33
2021-03-21,Group 2,Hawke's Bay,2,19
2021-03-21,Group 2,Lakes,1,52
2021-03-21,Group 2,Nelson Marlborough,1,821
2021-03-21,Group 2,Other Sites,1,2828
2021-03-21,Group 2,South Canterbury,1,167
2021-03-21,Group 2,Tairawhiti,2,20
2021-03-21,Group 2,Waikato,1,846
2021-03-21,Group 2,Waikato,2,22
2021-03-28,Group 1,Auckland Metro,1,2408
2021-03-28,Group 1,Auckland Metro,2,2581
2021-03-28,Group 1,Bay of Plenty,1,114
2021-03-28,Group 1,Bay of Plenty,2,99
2021-03-28,Group 1,Canterbury,1,419
2021-03-28,Group 1,Canterbury,2,678
2021-03-28,Group 1,Capital & Coast and Hutt Valley,1,305
2021-03-28,Group 1,Capital & Coast and Hutt Valley,2,154
2021-03-28,Group 1,Hawke's Bay,1,76
2021-03-28,Group 1,Hawke's Bay,2,164
2021-03-28,Group 1,Lakes,1,56
2021-03-28,Group 1,Lakes,2,172
2021-03-28,Group 1,MidCentral,1,12
2021-03-28,Group 1,Nelson Marlborough,1,54
2021-03-28,Group 1,Nelson Marlborough,2,250
2021-03-28,Group 1,Northland,1,96
2021-03-28,Group 1,Northland,2,148
2021-03-28,Group 1,Other Sites,2,254
2021-03-28,Group 1,South Canterbury,2,106
2021-03-28,Group 1,Southern,1,433
2021-03-28,Group 1,Southern,2,358
2021-03-28,Group 1,Tairawhiti,1,18
2021-03-28,Group 1,Tairawhiti,2,40
2021-03-28,Group 1,Taranaki,1,101
2021-03-28,Group 1,Taranaki,2,61
2021-03-28,Group 1,Waikato,1,141
2021-03-28,Group 1,Waikato,2,185
2021-03-28,Group 2,Auckland Metro,1,1052
2021-03-28,Group 2,Auckland Metro,2,1857
2021-03-28,Group 2,Bay of Plenty,1,82
2021-03-28,Group 2,Canterbury,1,63
2021-03-28,Group 2,Canterbury,2,37
2021-03-28,Group 2,Capital & Coast and Hutt Valley,1,1597
2021-03-28,Group 2,Capital & Coast and Hutt Valley,2,30
2021-03-28,Group 2,Hawke's Bay,1,315
2021-03-28,Group 2,Hawke's Bay,2,20
2021-03-28,Group 2,Lakes,1,109
2021-03-28,Group 2,Lakes,2,51
2021-03-28,Group 2,MidCentral,1,17
2021-03-28,Group 2,Nelson Marlborough,1,563
2021-03-28,Group 2,Nelson Marlborough,2,55
2021-03-28,Group 2,Northland,1,52
2021-03-28,Group 2,Other Sites,1,2753
2021-03-28,Group 2,Other Sites,2,11
2021-03-28,Group 2,South Canterbury,1,17
2021-03-28,Group 2,South Canterbury,2,108
2021-03-28,Group 2,Southern,1,178
2021-03-28,Group 2,Southern,2,51
2021-03-28,Group 2,Tairawhiti,1,37
2021-03-28,Group 2,Tairawhiti,2,149
2021-03-28,Group 2,Taranaki,1,207
2021-03-28,Group 2,Taranaki,2,14
2021-03-28,Group 2,Waikato,1,346
2021-03-28,Group 2,Waikato,2,452
2021-04-04,Group 1,Auckland Metro,1,1749
2021-04-04,Group 1,Auckland Metro,2,2264
2021-04-04,Group 1,Bay of Plenty,1,88
2021-04-04,Group 1,Bay of Plenty,2,113
2021-04-04,Group 1,Canterbury,1,631
2021-04-04,Group 1,Canterbury,2,679
2021-04-04,Group 1,Capital & Coast and Hutt Valley,1,371
2021-04-04,Group 1,Capital & Coast and Hutt Valley,2,77
2021-04-04,Group 1,Hawke's Bay,1,28
2021-04-04,Group 1,Hawke's Bay,2,105
2021-04-04,Group 1,Lakes,1,52
2021-04-04,Group 1,Lakes,2,105
2021-04-04,Group 1,MidCentral,1,79
2021-04-04,Group 1,Nelson Marlborough,1,41
2021-04-04,Group 1,Nelson Marlborough,2,195
2021-04-04,Group 1,Northland,1,99
