SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"7,709",Masked,"7,269","6,614","3,111",>95%,94%,47%
Unknown,Unknown,Unknown,Maori,5-11,"1,465",427,176,NA,NA,29%,12%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,137",Masked,Masked,"3,161","1,660",>95%,>95%,53%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,336,122,45,NA,NA,36%,13%,NA
100100,North Cape,Northland,Maori,12+,881,786,770,700,431,89%,87%,62%
100100,North Cape,Northland,Maori,5-11,162,44,16,NA,NA,27%,10%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,028",879,846,775,396,86%,82%,51%
100200,Rangaunu Harbour,Northland,Maori,5-11,189,34,13,NA,NA,18%,7%,NA
100400,Karikari Peninsula,Northland,Maori,12+,540,455,441,415,218,84%,82%,53%
100400,Karikari Peninsula,Northland,Maori,5-11,86,20,Masked,NA,NA,23%,6%,NA
100500,Tangonge,Northland,Maori,12+,570,499,487,438,251,88%,85%,57%
100500,Tangonge,Northland,Maori,5-11,100,20,Masked,NA,NA,20%,<5%,NA
100600,Ahipara,Northland,Maori,12+,579,489,474,441,264,84%,82%,60%
100600,Ahipara,Northland,Maori,5-11,105,35,9,NA,NA,33%,9%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,297","1,150","1,082",964,459,89%,83%,48%
100700,Kaitaia East,Northland,Maori,5-11,286,84,23,NA,NA,29%,8%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,53,Masked,Masked,49,24,>95%,>95%,49%
100800,Kaitaia West,Northland,Maori,12+,"1,830","1,586","1,495","1,332",627,87%,82%,47%
100800,Kaitaia West,Northland,Maori,5-11,398,82,28,NA,NA,21%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,102,95,92,84,45,93%,90%,54%
100900,Rangitihi,Northland,Maori,12+,399,342,329,295,146,86%,82%,49%
100900,Rangitihi,Northland,Maori,5-11,58,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,309,251,237,218,108,81%,77%,50%
101000,Oruru-Parapara,Northland,Maori,5-11,62,14,6,NA,NA,23%,10%,NA
101100,Taumarumaru,Northland,Maori,12+,570,503,477,440,241,88%,84%,55%
101100,Taumarumaru,Northland,Maori,5-11,143,35,14,NA,NA,24%,10%,NA
101200,Herekino-Takahue,Northland,Maori,12+,436,359,338,306,156,82%,78%,51%
101200,Herekino-Takahue,Northland,Maori,5-11,88,25,Masked,NA,NA,28%,<5%,NA
101300,Peria,Northland,Maori,12+,337,259,248,227,109,77%,74%,48%
101300,Peria,Northland,Maori,5-11,83,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,305,245,231,207,106,80%,76%,51%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,73,20,Masked,NA,NA,27%,5%,NA
101500,Whakapaku,Northland,Maori,12+,261,210,197,182,102,80%,75%,56%
101500,Whakapaku,Northland,Maori,5-11,56,18,Masked,NA,NA,32%,7%,NA
101600,Hokianga North,Northland,Maori,12+,666,566,549,499,331,85%,82%,66%
101600,Hokianga North,Northland,Maori,5-11,129,35,8,NA,NA,27%,6%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,366,295,290,268,164,81%,79%,61%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,46,12,Masked,NA,NA,26%,<5%,NA
101800,Whakarara,Northland,Maori,12+,552,478,461,429,276,87%,84%,64%
