Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,766","18,465",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,922",907,NA,NA,60%,28%,NA
Auckland,12+,"1,383,359",Masked,Masked,"1,269,804","902,291",>95%,>95%,71%
Auckland,5-11,"163,730","99,382","56,436",NA,Masked,61%,34%,>95%
Buller District,12+,"8,270","7,760","7,654","7,308","5,248",94%,93%,72%
Buller District,5-11,719,353,182,NA,NA,49%,25%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,584","5,652",>95%,>95%,75%
Carterton District,5-11,834,474,231,NA,NA,57%,28%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"11,062","7,896",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",719,301,NA,NA,49%,20%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,872","14,224",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,115",560,NA,NA,61%,31%,NA
Chatham Islands Territory,12+,180,Masked,Masked,281,212,>95%,>95%,75%
Chatham Islands Territory,5-11,10,Masked,Masked,NA,NA,>95%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"306,852","229,359",>95%,>95%,75%
Christchurch City,5-11,"31,517","19,709","11,236",NA,NA,63%,36%,NA
Clutha District,12+,"14,979","14,165","14,004","13,264","9,059",95%,93%,68%
Clutha District,5-11,"1,658",774,326,NA,NA,47%,20%,NA
Dunedin City,12+,"110,451",Masked,Masked,"106,038","83,636",>95%,>95%,79%
Dunedin City,5-11,"9,730","6,487","3,849",NA,NA,67%,40%,NA
Far North District,12+,"56,393","50,751","49,356","46,523","30,322",90%,88%,65%
Far North District,5-11,"7,086","2,162",815,NA,NA,31%,12%,NA
Gisborne District,12+,"40,629","38,480","37,604","35,158","23,035",95%,93%,66%
Gisborne District,5-11,"5,498","2,779","1,458",NA,NA,51%,27%,NA
Gore District,12+,"10,754","9,979","9,860","9,331","6,494",93%,92%,70%
Gore District,5-11,"1,139",386,205,NA,NA,34%,18%,NA
Grey District,12+,"11,405","10,799","10,614","10,064","7,052",95%,93%,70%
Grey District,5-11,"1,238",573,302,NA,NA,46%,24%,NA
Hamilton City,12+,"137,508",Masked,Masked,"127,479","84,979",>95%,>95%,67%
Hamilton City,5-11,"17,176","9,353","4,498",NA,NA,54%,26%,NA
Hastings District,12+,"69,329",Masked,Masked,"64,920","44,411",>95%,>95%,68%
Hastings District,5-11,"8,928","4,171","1,839",NA,NA,47%,21%,NA
Hauraki District,12+,"17,315","15,874","15,579","14,811","9,961",92%,90%,67%
Hauraki District,5-11,"1,785",681,292,NA,NA,38%,16%,NA
Horowhenua District,12+,"28,779",Masked,"27,257","25,822","18,296",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,408",596,NA,NA,45%,19%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,860","7,060",>95%,>95%,72%
Hurunui District,5-11,"1,176",614,324,NA,NA,52%,28%,NA
Invercargill City,12+,"45,867",Masked,"43,337","40,939","28,796",>95%,94%,70%
Invercargill City,5-11,"5,141","2,597","1,292",NA,NA,51%,25%,NA
Kaikoura District,12+,"3,473","3,209","3,178","3,041","2,257",92%,92%,74%
Kaikoura District,5-11,315,153,88,NA,NA,49%,28%,NA
Kaipara District,12+,"20,170","18,158","17,723","16,944","11,138",90%,88%,66%
Kaipara District,5-11,"2,228",744,311,NA,NA,33%,14%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,937","33,740",>95%,>95%,79%
Kapiti Coast District,5-11,"4,658","2,581","1,578",NA,NA,55%,34%,NA
Kawerau District,12+,"6,115","5,516","5,325","4,998","2,982",90%,87%,60%
Kawerau District,5-11,854,223,47,NA,NA,26%,6%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"82,272","61,408",>95%,>95%,75%
Lower Hutt City,5-11,"10,443","6,616","3,869",NA,NA,63%,37%,NA
Mackenzie District,12+,"4,131","3,878","3,834","3,650","2,591",94%,93%,71%
Mackenzie District,5-11,387,186,80,NA,NA,48%,21%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,278","16,425",>95%,>95%,71%
