Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,246344,Maori
Pfizer BioNTech COVID-19,1,276586,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,362,Unknown
AstraZeneca,1,45,Unknown
Pfizer BioNTech COVID-19,2,985,European or other
AstraZeneca,Booster,125,Unknown
Pfizer BioNTech COVID-19,1,522103,Maori
Pfizer BioNTech COVID-19,2,31708,Unknown
Paediatric Pfizer,1,60774,Asian
Paediatric Pfizer,2,653,Unknown
AstraZeneca,2,2708,European or other
Novavax,Booster,97,Asian
AstraZeneca,2,244,Pacific Peoples
Novavax,Booster,6,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,442417,Asian
Pfizer BioNTech COVID-19,2,505337,Maori
Paediatric Pfizer,2,79933,European or other
Paediatric Pfizer,1,24481,Pacific Peoples
AstraZeneca,Booster,1370,European or other
Novavax,1,1636,European or other
Novavax,1,25,Unknown
Novavax,Third primary,35,European or other
AstraZeneca,2,355,Maori
AstraZeneca,Booster,108,Maori
Paediatric Pfizer,Booster,20,European or other
Pfizer BioNTech COVID-19,2,44,Maori
Pfizer BioNTech COVID-19,1,2559935,European or other
Pfizer BioNTech COVID-19,Booster,149308,Pacific Peoples
Paediatric Pfizer,1,137709,European or other
AstraZeneca,1,2580,European or other
Novavax,2,1499,European or other
Novavax,2,19,Unknown
AstraZeneca,1,368,Maori
Novavax,Booster,15,Unknown
Pfizer BioNTech COVID-19,2,26,Unknown
Pfizer BioNTech COVID-19,2,272661,Pacific Peoples
AstraZeneca,1,110,Pacific Peoples
AstraZeneca,2,234,Asian
Pfizer BioNTech COVID-19,2,85,Asian
Novavax,1,177,Maori
Novavax,2,40,Pacific Peoples
Paediatric Pfizer,Third primary,8,Maori
Pfizer BioNTech COVID-19,2,2536738,European or other
Pfizer BioNTech COVID-19,Booster,359856,Unknown
Paediatric Pfizer,2,17283,Maori
Paediatric Pfizer,2,37555,Asian
Pfizer BioNTech COVID-19,Third primary,2547,Maori
Pfizer BioNTech COVID-19,Third primary,2066,Asian
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,14,Asian
Novavax,Third primary,7,Asian
AstraZeneca,Booster,273,Asian
AstraZeneca,Third primary,5,Asian
Pfizer BioNTech COVID-19,1,632502,Asian
Pfizer BioNTech COVID-19,2,628895,Asian
Pfizer BioNTech COVID-19,Third primary,27661,European or other
Paediatric Pfizer,2,9917,Pacific Peoples
AstraZeneca,2,90,Unknown
AstraZeneca,Booster,97,Pacific Peoples
Novavax,1,379,Asian
Novavax,2,337,Asian
Novavax,1,58,Pacific Peoples
Paediatric Pfizer,Third primary,51,European or other
Pfizer BioNTech COVID-19,Booster,1842586,European or other
Pfizer BioNTech COVID-19,1,32575,Unknown
Paediatric Pfizer,1,42021,Maori
Paediatric Pfizer,1,1083,Unknown
Novavax,Third primary,5,Maori
Pfizer BioNTech COVID-19,Third primary,1230,Pacific Peoples
Novavax,Booster,697,European or other
Novavax,2,151,Maori
Novavax,Booster,50,Maori
Pfizer BioNTech COVID-19,2,18,Pacific Peoples
AstraZeneca,Third primary,24,European or other
AstraZeneca,2,6,European or other
