DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4498,4440,"1,786",393,4302
Auckland,Asian,12-17,Male,4772,4697,"1,886",348,4464
Auckland,Asian,12-17,Unknown/Other,17,16,15,<5,7
Auckland,Asian,18-24,Female,7763,7726,"7,718","5,486",6671
Auckland,Asian,18-24,Male,8003,7929,"7,920","4,857",6297
Auckland,Asian,18-24,Unknown/Other,89,86,86,46,16
Auckland,Asian,25-29,Female,7749,7725,"7,715","5,603",8392
Auckland,Asian,25-29,Male,8931,8850,"8,842","5,538",7740
Auckland,Asian,25-29,Unknown/Other,108,106,106,67,25
Auckland,Asian,30-34,Female,9041,8992,"8,977","6,660",9316
Auckland,Asian,30-34,Male,9079,8988,"8,981","6,243",8382
Auckland,Asian,30-34,Unknown/Other,82,82,82,43,19
Auckland,Asian,35-39,Female,7774,7724,"7,713","5,843",8154
Auckland,Asian,35-39,Male,7886,7809,"7,801","5,668",7336
Auckland,Asian,35-39,Unknown/Other,65,65,65,43,14
Auckland,Asian,40-44,Female,5938,5905,"5,903","4,587",5623
Auckland,Asian,40-44,Male,5944,5873,"5,865","4,441",5231
Auckland,Asian,40-44,Unknown/Other,39,37,37,25,15
Auckland,Asian,45-49,Female,4699,4669,"4,667","3,679",4861
Auckland,Asian,45-49,Male,4339,4286,"4,283","3,393",3985
Auckland,Asian,5-11,Female,4925,3200,NA,NA,6528
Auckland,Asian,5-11,Male,4927,3163,NA,NA,6688
Auckland,Asian,50-54,Female,4456,4433,"4,427","3,588",4411
Auckland,Asian,50-54,Male,3580,3550,"3,543","2,860",3467
Auckland,Asian,55-59,Female,4015,3990,"3,984","3,261",4228
Auckland,Asian,55-59,Male,3405,3373,"3,371","2,772",3468
Auckland,Asian,60-64,Female,3279,3265,"3,260","2,757",3608
Auckland,Asian,60-64,Male,2720,2709,"2,701","2,334",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2893,2889,"2,882","2,438",2935
