Date,Trained Vaccinator,Active Vaccinator
2021-02-28,584,135
2021-03-07,905,249
2021-03-14,1048,323
2021-03-21,1252,419
2021-03-28,1479,584
2021-04-04,1792,747
2021-04-11,2072,922
2021-04-18,2505,1152
2021-04-25,2895,1375
2021-05-02,3389,1562
2021-05-09,4448,1783
2021-05-16,5166,1992
2021-05-23,6110,2217
2021-05-30,6511,2455
2021-06-06,7141,2715
2021-06-13,7678,2935
2021-06-20,8107,3215
2021-06-27,8453,3428
2021-07-04,8622,3643
2021-07-11,8984,3834
2021-07-18,9389,3985
2021-07-25,9785,4266
2021-08-01,10214,4705
2021-08-08,10663,5193
2021-08-15,11005,5647
2021-08-22,11523,6010
2021-08-29,12461,6632
2021-09-05,13105,7237
2021-09-12,13557,7682
2021-09-19,13776,8090
2021-09-26,14094,8449
2021-10-03,14224,8667
