DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland Metro,Asian,12-15,Female,8784,2970,9507,924,312
Auckland Metro,Asian,12-15,Male,9310,3119,10290,905,303
Auckland Metro,Asian,12-15,Unknown/Other,14,6,8,1750,750
Auckland Metro,Asian,16-19,Female,8827,4613,8658,1020,533
Auckland Metro,Asian,16-19,Male,9357,4668,8838,1059,528
Auckland Metro,Asian,16-19,Unknown/Other,84,45,20,4200,2250
Auckland Metro,Asian,20-24,Female,12896,7661,13119,983,584
Auckland Metro,Asian,20-24,Male,14127,7417,13140,1075,564
Auckland Metro,Asian,20-24,Unknown/Other,158,76,26,6077,2923
Auckland Metro,Asian,25-29,Female,19093,12099,22261,858,544
Auckland Metro,Asian,25-29,Male,21588,12758,21122,1022,604
Auckland Metro,Asian,25-29,Unknown/Other,237,146,52,4558,2808
Auckland Metro,Asian,30-34,Female,24601,15912,27585,892,577
Auckland Metro,Asian,30-34,Male,24796,15882,24463,1014,649
Auckland Metro,Asian,30-34,Unknown/Other,241,152,58,4155,2621
Auckland Metro,Asian,35-39,Female,23568,15760,26042,905,605
Auckland Metro,Asian,35-39,Male,23347,15670,23286,1003,673
Auckland Metro,Asian,35-39,Unknown/Other,132,92,39,3385,2359
Auckland Metro,Asian,40-44,Female,17429,12647,17625,989,718
Auckland Metro,Asian,40-44,Male,17781,12932,16424,1083,787
Auckland Metro,Asian,40-44,Unknown/Other,143,107,30,4767,3567
Auckland Metro,Asian,45-49,Female,13736,10290,14609,940,704
Auckland Metro,Asian,45-49,Male,12880,9812,12775,1008,768
Auckland Metro,Asian,45-49,Unknown/Other,102,76,18,5667,4222
Auckland Metro,Asian,50-54,Female,12384,9838,13152,942,748
Auckland Metro,Asian,50-54,Male,10543,8449,10867,970,777
Auckland Metro,Asian,50-54,Unknown/Other,67,49,7,9571,7000
Auckland Metro,Asian,55-59,Female,11274,9493,12473,904,761
Auckland Metro,Asian,55-59,Male,9874,8326,10448,945,797
Auckland Metro,Asian,55-59,Unknown/Other,28,22,16,1750,1375
Auckland Metro,Asian,60-64,Female,10052,8684,11771,854,738
Auckland Metro,Asian,60-64,Male,8226,7232,9386,876,771
Auckland Metro,Asian,60-64,Unknown/Other,20,14,17,1176,824
Auckland Metro,Asian,65-69,Female,8609,7736,9591,898,807
Auckland Metro,Asian,65-69,Male,7296,6646,8323,877,799
Auckland Metro,Asian,65-69,Unknown/Other,15,11,13,1154,846
Auckland Metro,Asian,70-74,Female,5207,4749,5803,897,818
Auckland Metro,Asian,70-74,Male,5023,4656,5520,910,843
Auckland Metro,Asian,75-79,Female,3009,2711,3533,852,767
Auckland Metro,Asian,75-79,Male,2701,2467,3128,863,789
Auckland Metro,Asian,80-84,Female,1947,1739,2375,820,732
Auckland Metro,Asian,80-84,Male,1732,1552,2182,794,711
Auckland Metro,Asian,85-89,Female,928,795,1068,869,744
Auckland Metro,Asian,85-89,Male,822,738,961,855,768
Auckland Metro,Asian,90+,Female,336,304,427,787,712
Auckland Metro,Asian,90+,Male,237,210,277,856,758
Auckland Metro,European or Other,12-15,Female,14460,3889,17932,806,217
Auckland Metro,European or Other,12-15,Male,14924,3957,18766,795,211
Auckland Metro,European or Other,12-15,Unknown/Other,10,0,12,833,333
Auckland Metro,European or Other,16-19,Female,14219,5572,17162,829,325
Auckland Metro,European or Other,16-19,Male,14394,5005,17686,814,283
Auckland Metro,European or Other,16-19,Unknown/Other,19,7,27,704,259
Auckland Metro,European or Other,20-24,Female,19516,8872,24678,791,360
Auckland Metro,European or Other,20-24,Male,18824,6757,23807,791,284
Auckland Metro,European or Other,20-24,Unknown/Other,61,20,44,1386,455
Auckland Metro,European or Other,25-29,Female,21799,10294,29464,740,349
Auckland Metro,European or Other,25-29,Male,21294,8432,27285,780,309
Auckland Metro,European or Other,25-29,Unknown/Other,78,37,48,1625,771
Auckland Metro,European or Other,30-34,Female,22513,10171,28812,781,353
Auckland Metro,European or Other,30-34,Male,22729,9193,27078,839,340
Auckland Metro,European or Other,30-34,Unknown/Other,60,28,38,1579,737
Auckland Metro,European or Other,35-39,Female,21418,9950,26776,800,372
Auckland Metro,European or Other,35-39,Male,21263,9178,25747,826,356
Auckland Metro,European or Other,35-39,Unknown/Other,30,15,25,1200,600
Auckland Metro,European or Other,40-44,Female,21887,11628,26491,826,439
Auckland Metro,European or Other,40-44,Male,21618,10572,25512,847,414
Auckland Metro,European or Other,40-44,Unknown/Other,23,12,11,2091,1091
Auckland Metro,European or Other,45-49,Female,25025,14419,30170,829,478
Auckland Metro,European or Other,45-49,Male,24527,13170,29821,822,442
Auckland Metro,European or Other,45-49,Unknown/Other,13,9,11,1182,818
Auckland Metro,European or Other,50-54,Female,25975,17344,29297,887,592
Auckland Metro,European or Other,50-54,Male,26598,17027,30226,880,563
