Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,160","18,121",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,913",783,NA,NA,60%,24%,NA
Auckland,12+,"1,383,349",Masked,Masked,"1,250,677","875,418",>95%,>95%,70%
Auckland,5-11,"163,729","98,122","45,889",NA,NA,60%,28%,NA
Buller District,12+,"8,270","7,755","7,652","7,135","5,183",94%,93%,73%
Buller District,5-11,719,352,156,NA,NA,49%,22%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,375","5,510",>95%,>95%,75%
Carterton District,5-11,834,465,200,NA,NA,56%,24%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,663","7,643",>95%,>95%,72%
Central Hawke's Bay District,5-11,"1,482",707,267,NA,NA,48%,18%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,509","13,934",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,105",504,NA,NA,60%,28%,NA
Chatham Islands Territory,12+,180,Masked,Masked,255,196,>95%,>95%,77%
Chatham Islands Territory,5-11,10,Masked,Masked,NA,NA,>95%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"301,140","224,455",>95%,>95%,75%
Christchurch City,5-11,"31,517","19,580","9,382",NA,NA,62%,30%,NA
Clutha District,12+,"14,979",Masked,"14,092","13,034","8,988",>95%,94%,69%
Clutha District,5-11,"1,658",771,282,NA,NA,47%,17%,NA
Dunedin City,12+,"110,451",Masked,Masked,"104,742","82,217",>95%,>95%,78%
Dunedin City,5-11,"9,730","6,444","3,466",NA,NA,66%,36%,NA
Far North District,12+,"56,393","50,605","49,165","44,919","29,411",90%,87%,65%
Far North District,5-11,"7,086","2,123",647,NA,NA,30%,9%,NA
Gisborne District,12+,"40,629","38,509","37,623","34,108","22,349",95%,93%,66%
Gisborne District,5-11,"5,498","2,735","1,022",NA,NA,50%,19%,NA
Gore District,12+,"10,754","9,985","9,866","9,124","6,435",93%,92%,71%
Gore District,5-11,"1,139",382,173,NA,NA,34%,15%,NA
Grey District,12+,"11,405","10,798","10,615","9,805","6,948",95%,93%,71%
Grey District,5-11,"1,238",570,275,NA,NA,46%,22%,NA
Hamilton City,12+,"137,508",Masked,Masked,"124,741","82,391",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,245","3,511",NA,NA,54%,20%,NA
Hastings District,12+,"69,329",Masked,Masked,"62,773","42,729",>95%,>95%,68%
Hastings District,5-11,"8,928","4,080","1,514",NA,NA,46%,17%,NA
Hauraki District,12+,"17,315","15,807","15,511","14,357","9,756",91%,90%,68%
Hauraki District,5-11,"1,785",657,249,NA,NA,37%,14%,NA
Horowhenua District,12+,"28,779",Masked,"27,271","25,157","17,924",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,408",491,NA,NA,45%,16%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,624","6,936",>95%,>95%,72%
Hurunui District,5-11,"1,176",606,286,NA,NA,52%,24%,NA
Invercargill City,12+,"45,867",Masked,"43,402","39,999","28,403",>95%,95%,71%
Invercargill City,5-11,"5,141","2,563","1,117",NA,NA,50%,22%,NA
Kaikoura District,12+,"3,473","3,197","3,162","2,973","2,208",92%,91%,74%
Kaikoura District,5-11,315,148,71,NA,NA,47%,23%,NA
Kaipara District,12+,"20,170","18,121","17,692","16,494","10,890",90%,88%,66%
Kaipara District,5-11,"2,228",733,258,NA,NA,33%,12%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,145","33,110",>95%,>95%,79%
Kapiti Coast District,5-11,"4,658","2,567","1,405",NA,NA,55%,30%,NA
Kawerau District,12+,"6,115","5,530","5,340","4,755","2,898",90%,87%,61%
Kawerau District,5-11,854,212,40,NA,NA,25%,<5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"80,817","60,107",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,617","3,131",NA,NA,63%,30%,NA
Mackenzie District,12+,"4,131","3,881","3,839","3,620","2,563",94%,93%,71%
Mackenzie District,5-11,387,190,73,NA,NA,49%,19%,NA
Manawatu District,12+,"25,552",Masked,Masked,"22,796","16,162",>95%,>95%,71%
Manawatu District,5-11,"3,183","1,678",741,NA,NA,53%,23%,NA
Marlborough District,12+,"41,124",Masked,Masked,"37,984","28,322",>95%,>95%,75%
Marlborough District,5-11,"4,156","2,276","1,059",NA,NA,55%,25%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,012","14,139",>95%,>95%,71%
Masterton District,5-11,"2,400","1,146",399,NA,NA,48%,17%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,547","25,542","16,556",>95%,94%,65%
Matamata-Piako District,5-11,"3,307","1,382",434,NA,NA,42%,13%,NA
Napier City,12+,"54,392",Masked,"51,524","47,594","33,845",>95%,95%,71%
Napier City,5-11,"6,159","2,950","1,093",NA,NA,48%,18%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,168","29,727",>95%,>95%,74%
Nelson City,5-11,"4,453","2,655","1,071",NA,NA,60%,24%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"59,964","41,320",>95%,>95%,69%
New Plymouth District,5-11,"8,373","3,994","1,778",NA,NA,48%,21%,NA
Opotiki District,12+,"7,121","6,670","6,394","5,824","3,725",94%,90%,64%
Opotiki District,5-11,967,258,64,NA,NA,27%,7%,NA
Otorohanga District,12+,"7,960","7,379","7,239","6,588","3,890",93%,91%,59%
Otorohanga District,5-11,"1,086",347,116,NA,NA,32%,11%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"64,159","46,830",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,856","2,315",NA,NA,58%,28%,NA
Porirua City,12+,"47,708",Masked,Masked,"42,240","30,351",>95%,>95%,72%
Porirua City,5-11,"6,751","3,893","1,551",NA,NA,58%,23%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"35,542","22,798",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,430","2,132",931,NA,NA,62%,27%,NA
Rangitikei District,12+,"12,699","11,816","11,614","10,767","7,596",93%,91%,71%
Rangitikei District,5-11,"1,491",684,250,NA,NA,46%,17%,NA
Rotorua District,12+,"58,081",Masked,"54,386","49,449","32,720",>95%,94%,66%
Rotorua District,5-11,"7,718","3,318","1,176",NA,NA,43%,15%,NA
Ruapehu District,12+,"9,936","8,827","8,565","7,833","5,040",89%,86%,64%
Ruapehu District,5-11,"1,366",409,140,NA,NA,30%,10%,NA
Selwyn District,12+,"52,972",Masked,Masked,"52,682","39,401",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,001","2,574",NA,NA,72%,37%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"18,316","11,949",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,197",519,NA,NA,44%,19%,NA
South Waikato District,12+,"19,628","18,155","17,734","16,121","9,777",92%,90%,61%
South Waikato District,5-11,"2,626",945,276,NA,NA,36%,11%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,773","6,647",>95%,>95%,76%
South Wairarapa District,5-11,997,563,235,NA,NA,56%,24%,NA
Southland District,12+,"25,064","23,407","23,082","21,202","14,337",93%,92%,68%
Southland District,5-11,"3,087","1,369",573,NA,NA,44%,19%,NA
Stratford District,12+,"7,475","7,096","6,974","6,401","4,305",95%,93%,67%
Stratford District,5-11,993,477,199,NA,NA,48%,20%,NA
Tararua District,12+,"15,002","13,964","13,701","12,557","8,504",93%,91%,68%
Tararua District,5-11,"1,897",770,305,NA,NA,41%,16%,NA
Tasman District,12+,"45,608",Masked,Masked,"40,560","29,051",>95%,>95%,72%
Tasman District,5-11,"4,679","2,191","1,031",NA,NA,47%,22%,NA
Taupo District,12+,"32,180","30,518","29,990","27,712","18,172",95%,93%,66%
Taupo District,5-11,"3,743","1,479",549,NA,NA,40%,15%,NA
Tauranga City,12+,"121,578",Masked,Masked,"109,194","72,555",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,683","2,160",NA,NA,47%,15%,NA
Thames-Coromandel District,12+,"26,265","24,745","24,360","23,047","17,143",94%,93%,74%
Thames-Coromandel District,5-11,"2,164",864,367,NA,NA,40%,17%,NA
Timaru District,12+,"41,091",Masked,"38,771","36,051","26,977",>95%,94%,75%
Timaru District,5-11,"4,189","2,304",930,NA,NA,55%,22%,NA
Unknown,12+,"129,607","60,689","58,930","54,766","33,640",47%,45%,61%
Unknown,5-11,"11,053","2,643","1,165",NA,NA,24%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"33,536","25,244",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,861","1,371",NA,NA,67%,32%,NA
Waikato District,12+,"63,214",Masked,Masked,"56,002","36,339",>95%,>95%,65%
Waikato District,5-11,"8,689","4,317","1,563",NA,NA,50%,18%,NA
Waimakariri District,12+,"52,717",Masked,Masked,"47,750","35,044",>95%,>95%,73%
Waimakariri District,5-11,"5,436","2,953","1,536",NA,NA,54%,28%,NA
Waimate District,12+,"6,936","6,509","6,431","5,972","4,315",94%,93%,72%
Waimate District,5-11,693,301,119,NA,NA,43%,17%,NA
Waipa District,12+,"46,630",Masked,Masked,"41,612","28,897",>95%,>95%,69%
Waipa District,5-11,"5,531","2,977","1,346",NA,NA,54%,24%,NA
Wairoa District,12+,"6,303","5,968","5,761","5,243","3,504",95%,91%,67%
Wairoa District,5-11,896,281,67,NA,NA,31%,7%,NA
Waitaki District,12+,"19,318",Masked,"18,181","16,866","12,305",>95%,94%,73%
Waitaki District,5-11,"2,012",997,361,NA,NA,50%,18%,NA
Waitomo District,12+,"7,758","7,154","6,984","6,372","3,879",92%,90%,61%
Waitomo District,5-11,967,339,105,NA,NA,35%,11%,NA
Wellington City,12+,"178,488",Masked,Masked,"168,273","136,559",>95%,>95%,81%
Wellington City,5-11,"16,089","12,093","7,367",NA,NA,75%,46%,NA
Western Bay of Plenty District,12+,"45,656",Masked,"43,372","40,320","26,447",>95%,95%,66%
Western Bay of Plenty District,5-11,"4,861","1,909",591,NA,NA,39%,12%,NA
Westland District,12+,"7,098","6,703","6,621","6,167","4,355",94%,93%,71%
Westland District,5-11,670,297,131,NA,NA,44%,20%,NA
Whakatane District,12+,"30,314","27,261","26,583","24,269","15,648",90%,88%,64%
Whakatane District,5-11,"3,821","1,305",497,NA,NA,34%,13%,NA
Whanganui District,12+,"39,880","37,161","36,565","33,803","24,297",93%,92%,72%
Whanganui District,5-11,"4,481","1,845",839,NA,NA,41%,19%,NA
Whangarei District,12+,"78,668","73,611","72,267","66,608","46,171",94%,92%,69%
Whangarei District,5-11,"9,594","3,860","1,386",NA,NA,40%,14%,NA
