SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"9,469",Masked,"8,789","7,582","3,742",>95%,93%,49%
Unknown,Unknown,Unknown,Maori,5-11,"1,624",467,158,NA,NA,29%,10%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,447",Masked,Masked,"3,423","1,718",>95%,>95%,50%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,353,133,32,NA,NA,38%,9%,NA
100100,North Cape,Northland,Maori,12+,856,767,748,664,410,90%,87%,62%
100100,North Cape,Northland,Maori,5-11,161,44,10,NA,NA,27%,6%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,024",875,837,727,383,85%,82%,53%
100200,Rangaunu Harbour,Northland,Maori,5-11,191,36,11,NA,NA,19%,6%,NA
100400,Karikari Peninsula,Northland,Maori,12+,523,442,427,365,203,85%,82%,56%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,Masked,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,Maori,12+,552,478,468,409,227,87%,85%,56%
100500,Tangonge,Northland,Maori,5-11,93,20,Masked,NA,NA,22%,<5%,NA
100600,Ahipara,Northland,Maori,12+,578,486,469,417,250,84%,81%,60%
100600,Ahipara,Northland,Maori,5-11,107,36,9,NA,NA,34%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,319","1,164","1,093",910,444,88%,83%,49%
100700,Kaitaia East,Northland,Maori,5-11,289,83,18,NA,NA,29%,6%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,56,Masked,Masked,55,28,>95%,>95%,51%
100800,Kaitaia West,Northland,Maori,12+,"1,842","1,616","1,520","1,245",603,88%,83%,48%
100800,Kaitaia West,Northland,Maori,5-11,405,75,24,NA,NA,19%,6%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,100,93,90,78,38,93%,90%,49%
100900,Rangitihi,Northland,Maori,12+,391,333,320,273,134,85%,82%,49%
100900,Rangitihi,Northland,Maori,5-11,59,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,312,256,242,211,104,82%,78%,49%
101000,Oruru-Parapara,Northland,Maori,5-11,64,15,Masked,NA,NA,23%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,583,517,490,424,237,89%,84%,56%
101100,Taumarumaru,Northland,Maori,5-11,144,31,8,NA,NA,22%,6%,NA
101200,Herekino-Takahue,Northland,Maori,12+,427,350,329,288,150,82%,77%,52%
101200,Herekino-Takahue,Northland,Maori,5-11,81,24,Masked,NA,NA,30%,<5%,NA
101300,Peria,Northland,Maori,12+,330,259,246,212,103,78%,75%,49%
101300,Peria,Northland,Maori,5-11,85,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,303,240,225,187,103,79%,74%,55%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,69,20,Masked,NA,NA,29%,6%,NA
101500,Whakapaku,Northland,Maori,12+,267,216,203,181,98,81%,76%,54%
101500,Whakapaku,Northland,Maori,5-11,59,18,Masked,NA,NA,31%,5%,NA
101600,Hokianga North,Northland,Maori,12+,665,559,543,479,318,84%,82%,66%
101600,Hokianga North,Northland,Maori,5-11,125,34,Masked,NA,NA,27%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,369,298,292,256,165,81%,79%,64%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,48,11,Masked,NA,NA,23%,<5%,NA
101800,Whakarara,Northland,Maori,12+,546,477,459,412,259,87%,84%,63%
101800,Whakarara,Northland,Maori,5-11,75,31,16,NA,NA,41%,21%,NA
101900,Kaeo,Northland,Maori,12+,457,365,342,301,180,80%,75%,60%
101900,Kaeo,Northland,Maori,5-11,106,35,14,NA,NA,33%,13%,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,644,469,437,383,217,73%,68%,57%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,123,13,Masked,NA,NA,11%,<5%,NA
102100,Hokianga South,Northland,Maori,12+,712,545,513,441,264,77%,72%,60%
102100,Hokianga South,Northland,Maori,5-11,112,27,Masked,NA,NA,24%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,251,210,202,162,87,84%,80%,54%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,54,18,Masked,NA,NA,33%,<5%,NA
102300,Okaihau,Northland,Maori,12+,308,265,252,221,110,86%,82%,50%
102300,Okaihau,Northland,Maori,5-11,55,12,Masked,NA,NA,22%,<5%,NA
102400,Rangitane-Purerua,Northland,Maori,12+,343,309,291,249,139,90%,85%,56%
102400,Rangitane-Purerua,Northland,Maori,5-11,62,11,Masked,NA,NA,18%,6%,NA
102500,Waipapa,Northland,Maori,12+,127,110,105,90,43,87%,83%,48%
102600,Puketotara,Northland,Maori,12+,234,204,200,169,96,87%,85%,57%
102600,Puketotara,Northland,Maori,5-11,50,22,Masked,NA,NA,44%,<5%,NA
102700,Waima Forest,Northland,Maori,12+,777,598,570,493,258,77%,73%,52%
102700,Waima Forest,Northland,Maori,5-11,126,18,Masked,NA,NA,14%,<5%,NA
102800,Riverview,Northland,Maori,12+,215,Masked,201,169,102,>95%,93%,60%
102800,Riverview,Northland,Maori,5-11,58,22,Masked,NA,NA,38%,7%,NA
102900,Waipoua Forest,Northland,Maori,12+,634,522,501,456,292,82%,79%,64%
102900,Waipoua Forest,Northland,Maori,5-11,88,16,Masked,NA,NA,18%,6%,NA
103000,Kerikeri Central,Northland,Maori,12+,449,400,383,328,158,89%,85%,48%
103000,Kerikeri Central,Northland,Maori,5-11,104,28,9,NA,NA,27%,9%,NA
103000,Kerikeri Central,Northland,Pacific Peoples,12+,56,Masked,Masked,101,29,>95%,>95%,29%
103100,Kerikeri South,Northland,Maori,12+,230,202,193,169,97,88%,84%,57%
103100,Kerikeri South,Northland,Maori,5-11,49,17,Masked,NA,NA,35%,8%,NA
103200,Ohaeawai-Waimate North,Northland,Maori,12+,403,344,328,293,172,85%,81%,59%
103200,Ohaeawai-Waimate North,Northland,Maori,5-11,70,13,Masked,NA,NA,19%,7%,NA
103300,Puketona-Waitangi,Northland,Maori,12+,269,237,235,216,130,88%,87%,60%
103400,Ngapuhi,Northland,Maori,12+,935,771,732,631,324,82%,78%,51%
103400,Ngapuhi,Northland,Maori,5-11,176,29,6,NA,NA,16%,<5%,NA
103500,Kaikohe,Northland,Maori,12+,"2,738","2,215","2,097","1,765",898,81%,77%,51%
103500,Kaikohe,Northland,Maori,5-11,616,146,37,NA,NA,24%,6%,NA
103500,Kaikohe,Northland,Pacific Peoples,12+,100,90,88,76,34,90%,88%,45%
103600,Pakaraka,Northland,Maori,12+,150,136,130,112,63,91%,87%,56%
103700,Haruru,Northland,Maori,12+,214,194,190,165,84,91%,89%,51%
103700,Haruru,Northland,Maori,5-11,66,29,Masked,NA,NA,44%,<5%,NA
103800,Russell,Northland,Maori,12+,134,127,125,116,81,95%,93%,70%
103900,Paihia,Northland,Maori,12+,491,412,395,351,178,84%,80%,51%
103900,Paihia,Northland,Maori,5-11,81,19,6,NA,NA,23%,7%,NA
104000,Mataraua Forest,Northland,Maori,12+,324,258,240,203,114,80%,74%,56%
104000,Mataraua Forest,Northland,Maori,5-11,62,12,6,NA,NA,19%,10%,NA
104100,Matawaia-Taumarere,Northland,Maori,12+,811,654,627,511,271,81%,77%,53%
