DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4501,4450,"1,512",226,4302
Auckland,Asian,12-17,Male,4775,4702,"1,601",199,4464
Auckland,Asian,12-17,Unknown/Other,18,17,15,<5,7
Auckland,Asian,18-24,Female,7660,7624,"7,597","5,204",6671
Auckland,Asian,18-24,Male,7900,7835,"7,789","4,594",6297
Auckland,Asian,18-24,Unknown/Other,92,89,89,44,16
Auckland,Asian,25-29,Female,7785,7759,"7,731","5,439",8392
Auckland,Asian,25-29,Male,8957,8884,"8,850","5,347",7740
Auckland,Asian,25-29,Unknown/Other,121,119,119,71,25
Auckland,Asian,30-34,Female,9095,9044,"9,003","6,433",9316
Auckland,Asian,30-34,Male,9116,9033,"8,996","6,073",8382
Auckland,Asian,30-34,Unknown/Other,89,89,88,44,19
Auckland,Asian,35-39,Female,7774,7721,"7,677","5,650",8154
Auckland,Asian,35-39,Male,7891,7824,"7,790","5,489",7336
Auckland,Asian,35-39,Unknown/Other,65,65,65,40,14
Auckland,Asian,40-44,Female,5941,5908,"5,885","4,482",5623
Auckland,Asian,40-44,Male,5945,5883,"5,855","4,301",5231
Auckland,Asian,40-44,Unknown/Other,41,39,39,27,15
Auckland,Asian,45-49,Female,4728,4701,"4,681","3,623",4861
Auckland,Asian,45-49,Male,4344,4299,"4,277","3,293",3985
Auckland,Asian,5-11,Female,4865,2629,NA,NA,6528
Auckland,Asian,5-11,Male,4861,2581,NA,NA,6688
Auckland,Asian,50-54,Female,4444,4423,"4,405","3,485",4411
Auckland,Asian,50-54,Male,3569,3546,"3,530","2,787",3467
Auckland,Asian,55-59,Female,4036,4014,"3,994","3,210",4228
Auckland,Asian,55-59,Male,3415,3384,"3,372","2,730",3468
Auckland,Asian,60-64,Female,3281,3267,"3,249","2,693",3608
Auckland,Asian,60-64,Male,2735,2723,"2,711","2,316",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2868,2861,"2,840","2,367",2935
Auckland,Asian,65-69,Male,2388,2377,"2,363","1,994",2584
Auckland,Asian,70-74,Female,1857,1849,"1,834","1,599",1918
Auckland,Asian,70-74,Male,1746,1740,"1,723","1,529",1743
Auckland,Asian,75-79,Female,1131,1128,"1,116",984,1240
Auckland,Asian,75-79,Male,983,975,972,861,1080
Auckland,Asian,80-84,Female,877,868,864,754,943
Auckland,Asian,80-84,Male,718,715,711,638,819
Auckland,Asian,85-89,Female,428,420,417,359,441
Auckland,Asian,85-89,Male,430,427,425,378,420
Auckland,Asian,90+,Female,191,191,189,168,179
Auckland,Asian,90+,Male,123,122,120,104,126
Auckland,European or Other,12-17,Female,7031,6983,"2,386",353,7315
Auckland,European or Other,12-17,Male,7248,7165,"2,474",326,7448
Auckland,European or Other,12-17,Unknown/Other,8,8,<5,<5,8
Auckland,European or Other,18-24,Female,10745,10696,"10,649","7,707",11536
Auckland,European or Other,18-24,Male,9995,9915,"9,874","6,141",10369
Auckland,European or Other,18-24,Unknown/Other,45,44,44,32,38
Auckland,European or Other,25-29,Female,10387,10329,"10,296","7,526",11855
