Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,236060,Maori
Pfizer BioNTech COVID-19,1,275967,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,372,Unknown
Pfizer BioNTech COVID-19,2,875,European or other
AstraZeneca,Booster,104,Unknown
AstraZeneca,1,47,Unknown
Pfizer BioNTech COVID-19,1,520304,Maori
Paediatric Pfizer,1,59468,Asian
Pfizer BioNTech COVID-19,2,33226,Unknown
AstraZeneca,2,2698,European or other
AstraZeneca,2,248,Pacific Peoples
Paediatric Pfizer,2,608,Unknown
Novavax,Booster,22,Asian
Pfizer BioNTech COVID-19,2,503248,Maori
Pfizer BioNTech COVID-19,Booster,426548,Asian
Paediatric Pfizer,1,23771,Pacific Peoples
Paediatric Pfizer,2,67437,European or other
AstraZeneca,Booster,1264,European or other
Novavax,1,1356,European or other
AstraZeneca,2,348,Maori
AstraZeneca,Booster,95,Maori
Novavax,1,22,Unknown
Novavax,Third primary,20,European or other
Pfizer BioNTech COVID-19,2,39,Maori
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,1,2559804,European or other
Pfizer BioNTech COVID-19,Booster,140470,Pacific Peoples
Paediatric Pfizer,1,136280,European or other
AstraZeneca,1,2569,European or other
Novavax,2,1068,European or other
AstraZeneca,1,364,Maori
Novavax,2,17,Unknown
Pfizer BioNTech COVID-19,2,6,Unknown
Pfizer BioNTech COVID-19,2,271933,Pacific Peoples
Pfizer BioNTech COVID-19,2,73,Asian
Novavax,1,133,Maori
AstraZeneca,2,225,Asian
AstraZeneca,1,108,Pacific Peoples
Novavax,2,24,Pacific Peoples
Pfizer BioNTech COVID-19,2,2536072,European or other
Paediatric Pfizer,2,30566,Asian
Pfizer BioNTech COVID-19,Booster,26289,Unknown
Paediatric Pfizer,2,13741,Maori
Pfizer BioNTech COVID-19,Third primary,1977,Asian
Pfizer BioNTech COVID-19,Third primary,2401,Maori
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,5,Asian
AstraZeneca,Booster,240,Asian
Pfizer BioNTech COVID-19,2,627988,Asian
Pfizer BioNTech COVID-19,1,631581,Asian
Paediatric Pfizer,2,6979,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,25972,European or other
AstraZeneca,Booster,93,Pacific Peoples
Novavax,1,315,Asian
Novavax,2,245,Asian
AstraZeneca,2,90,Unknown
Paediatric Pfizer,Third primary,27,European or other
Novavax,1,38,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,1809027,European or other
Paediatric Pfizer,1,41294,Maori
Pfizer BioNTech COVID-19,1,34054,Unknown
Pfizer BioNTech COVID-19,Third primary,1158,Pacific Peoples
Paediatric Pfizer,1,1190,Unknown
AstraZeneca,Third primary,22,European or other
Pfizer BioNTech COVID-19,2,15,Pacific Peoples
Novavax,2,84,Maori
Novavax,Booster,124,European or other
Novavax,Booster,8,Maori
