Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,238641,Maori
Pfizer BioNTech COVID-19,1,276133,Pacific Peoples
Pfizer BioNTech COVID-19,2,901,European or other
Pfizer BioNTech COVID-19,Third primary,367,Unknown
AstraZeneca,1,47,Unknown
AstraZeneca,Booster,98,Unknown
Pfizer BioNTech COVID-19,1,520831,Maori
Paediatric Pfizer,1,59746,Asian
Pfizer BioNTech COVID-19,2,32799,Unknown
AstraZeneca,2,2700,European or other
AstraZeneca,2,247,Pacific Peoples
Paediatric Pfizer,2,627,Unknown
Novavax,Booster,28,Asian
Pfizer BioNTech COVID-19,2,503868,Maori
Pfizer BioNTech COVID-19,Booster,430882,Asian
Paediatric Pfizer,1,23965,Pacific Peoples
Paediatric Pfizer,2,69654,European or other
Novavax,1,1451,European or other
AstraZeneca,Booster,1291,European or other
AstraZeneca,2,349,Maori
AstraZeneca,Booster,101,Maori
Novavax,Third primary,22,European or other
Paediatric Pfizer,Booster,5,European or other
Novavax,1,22,Unknown
Pfizer BioNTech COVID-19,2,39,Maori
Pfizer BioNTech COVID-19,1,2559780,European or other
Pfizer BioNTech COVID-19,Booster,142517,Pacific Peoples
Paediatric Pfizer,1,136633,European or other
AstraZeneca,1,2571,European or other
Novavax,2,1219,European or other
AstraZeneca,1,365,Maori
Novavax,2,18,Unknown
Pfizer BioNTech COVID-19,2,7,Unknown
Novavax,Booster,5,Unknown
Pfizer BioNTech COVID-19,2,272159,Pacific Peoples
Novavax,1,148,Maori
AstraZeneca,1,107,Pacific Peoples
Pfizer BioNTech COVID-19,2,75,Asian
AstraZeneca,2,230,Asian
Novavax,2,30,Pacific Peoples
Pfizer BioNTech COVID-19,2,2536203,European or other
Paediatric Pfizer,2,32017,Asian
Paediatric Pfizer,2,14543,Maori
Pfizer BioNTech COVID-19,Booster,26583,Unknown
Pfizer BioNTech COVID-19,Third primary,2448,Maori
Pfizer BioNTech COVID-19,Third primary,2010,Asian
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,8,Asian
AstraZeneca,Booster,248,Asian
AstraZeneca,Third primary,5,Asian
Pfizer BioNTech COVID-19,2,628257,Asian
Pfizer BioNTech COVID-19,1,631878,Asian
Paediatric Pfizer,2,7682,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,26388,European or other
AstraZeneca,Booster,97,Pacific Peoples
AstraZeneca,2,91,Unknown
Novavax,2,280,Asian
Novavax,1,337,Asian
Novavax,1,40,Pacific Peoples
Paediatric Pfizer,Third primary,28,European or other
Pfizer BioNTech COVID-19,Booster,1818105,European or other
Paediatric Pfizer,1,41481,Maori
Pfizer BioNTech COVID-19,1,33638,Unknown
Paediatric Pfizer,1,1169,Unknown
Pfizer BioNTech COVID-19,Third primary,1173,Pacific Peoples
Novavax,Booster,177,European or other
Novavax,2,109,Maori
AstraZeneca,Third primary,23,European or other
Novavax,Booster,13,Maori
Pfizer BioNTech COVID-19,2,15,Pacific Peoples
