DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4522,4456,"1,643",277,4302
Auckland,Asian,12-17,Male,4784,4702,"1,721",246,4464
Auckland,Asian,12-17,Unknown/Other,18,17,15,<5,7
Auckland,Asian,18-24,Female,7705,7666,"7,651","5,291",6671
Auckland,Asian,18-24,Male,7953,7886,"7,859","4,680",6297
Auckland,Asian,18-24,Unknown/Other,92,89,89,44,16
Auckland,Asian,25-29,Female,7778,7752,"7,736","5,488",8392
Auckland,Asian,25-29,Male,8938,8866,"8,848","5,400",7740
Auckland,Asian,25-29,Unknown/Other,120,118,118,70,25
Auckland,Asian,30-34,Female,9081,9029,"9,003","6,492",9316
Auckland,Asian,30-34,Male,9088,9006,"8,987","6,118",8382
Auckland,Asian,30-34,Unknown/Other,89,89,88,45,19
Auckland,Asian,35-39,Female,7766,7716,"7,688","5,694",8154
Auckland,Asian,35-39,Male,7895,7825,"7,806","5,532",7336
Auckland,Asian,35-39,Unknown/Other,65,65,65,41,14
Auckland,Asian,40-44,Female,5947,5913,"5,903","4,513",5623
Auckland,Asian,40-44,Male,5936,5874,"5,853","4,338",5231
Auckland,Asian,40-44,Unknown/Other,40,38,38,27,15
Auckland,Asian,45-49,Female,4737,4708,"4,700","3,663",4861
Auckland,Asian,45-49,Male,4349,4304,"4,292","3,323",3985
Auckland,Asian,5-11,Female,4880,2760,NA,NA,6528
Auckland,Asian,5-11,Male,4872,2719,NA,NA,6688
Auckland,Asian,50-54,Female,4446,4426,"4,411","3,520",4411
Auckland,Asian,50-54,Male,3573,3549,"3,537","2,803",3467
Auckland,Asian,55-59,Female,4020,3998,"3,987","3,215",4228
Auckland,Asian,55-59,Male,3407,3378,"3,373","2,744",3468
Auckland,Asian,60-64,Female,3293,3279,"3,273","2,720",3608
Auckland,Asian,60-64,Male,2733,2722,"2,714","2,322",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2858,2851,"2,842","2,370",2935
Auckland,Asian,65-69,Male,2397,2385,"2,375","2,011",2584
Auckland,Asian,70-74,Female,1856,1848,"1,843","1,608",1918
Auckland,Asian,70-74,Male,1749,1743,"1,734","1,541",1743
Auckland,Asian,75-79,Female,1132,1130,"1,121",989,1240
Auckland,Asian,75-79,Male,982,974,971,862,1080
Auckland,Asian,80-84,Female,876,867,865,760,943
Auckland,Asian,80-84,Male,718,715,712,639,819
Auckland,Asian,85-89,Female,429,420,419,361,441
