SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"8,873",Masked,"8,265","7,347","3,497",>95%,93%,48%
Unknown,Unknown,Unknown,Maori,5-11,"1,570",460,157,NA,NA,29%,10%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,353",Masked,Masked,"3,333","1,685",>95%,>95%,51%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,351,133,41,NA,NA,38%,12%,NA
100100,North Cape,Northland,Maori,12+,859,764,747,668,411,89%,87%,62%
100100,North Cape,Northland,Maori,5-11,160,42,10,NA,NA,26%,6%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,028",881,845,753,391,86%,82%,52%
100200,Rangaunu Harbour,Northland,Maori,5-11,190,35,11,NA,NA,18%,6%,NA
100400,Karikari Peninsula,Northland,Maori,12+,526,445,431,385,205,85%,82%,53%
100400,Karikari Peninsula,Northland,Maori,5-11,86,20,Masked,NA,NA,23%,6%,NA
100500,Tangonge,Northland,Maori,12+,551,477,468,414,227,87%,85%,55%
100500,Tangonge,Northland,Maori,5-11,94,19,Masked,NA,NA,20%,<5%,NA
100600,Ahipara,Northland,Maori,12+,575,484,467,425,253,84%,81%,60%
100600,Ahipara,Northland,Maori,5-11,108,36,9,NA,NA,33%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,317","1,162","1,094",946,444,88%,83%,47%
100700,Kaitaia East,Northland,Maori,5-11,291,84,20,NA,NA,29%,7%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,54,Masked,Masked,53,26,>95%,>95%,49%
100800,Kaitaia West,Northland,Maori,12+,"1,843","1,611","1,521","1,302",609,87%,83%,47%
100800,Kaitaia West,Northland,Maori,5-11,401,78,28,NA,NA,19%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,99,91,89,80,38,92%,90%,48%
100900,Rangitihi,Northland,Maori,12+,392,334,321,281,139,85%,82%,49%
100900,Rangitihi,Northland,Maori,5-11,57,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,312,256,242,215,105,82%,78%,49%
101000,Oruru-Parapara,Northland,Maori,5-11,64,14,Masked,NA,NA,22%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,578,510,485,433,240,88%,84%,55%
101100,Taumarumaru,Northland,Maori,5-11,142,31,8,NA,NA,22%,6%,NA
101200,Herekino-Takahue,Northland,Maori,12+,433,356,335,298,152,82%,77%,51%
101200,Herekino-Takahue,Northland,Maori,5-11,82,24,Masked,NA,NA,29%,<5%,NA
101300,Peria,Northland,Maori,12+,328,256,244,218,103,78%,74%,47%
101300,Peria,Northland,Maori,5-11,83,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,305,241,227,198,103,79%,74%,52%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,72,21,Masked,NA,NA,29%,6%,NA
101500,Whakapaku,Northland,Maori,12+,264,213,200,179,99,81%,76%,55%
101500,Whakapaku,Northland,Maori,5-11,58,18,Masked,NA,NA,31%,5%,NA
101600,Hokianga North,Northland,Maori,12+,673,564,546,492,324,84%,81%,66%
101600,Hokianga North,Northland,Maori,5-11,133,35,6,NA,NA,26%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,370,298,292,263,165,81%,79%,63%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,48,11,Masked,NA,NA,23%,<5%,NA
101800,Whakarara,Northland,Maori,12+,547,481,464,422,269,88%,85%,64%
101800,Whakarara,Northland,Maori,5-11,76,32,16,NA,NA,42%,21%,NA
101900,Kaeo,Northland,Maori,12+,461,371,350,314,186,80%,76%,59%
101900,Kaeo,Northland,Maori,5-11,107,35,15,NA,NA,33%,14%,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,645,470,438,400,218,73%,68%,54%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,123,13,Masked,NA,NA,11%,<5%,NA
102100,Hokianga South,Northland,Maori,12+,707,540,511,458,271,76%,72%,59%
102100,Hokianga South,Northland,Maori,5-11,113,26,6,NA,NA,23%,5%,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,250,211,202,168,87,84%,81%,52%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,54,18,Masked,NA,NA,33%,<5%,NA
102300,Okaihau,Northland,Maori,12+,309,266,254,227,110,86%,82%,48%
102300,Okaihau,Northland,Maori,5-11,56,12,Masked,NA,NA,21%,<5%,NA
102400,Rangitane-Purerua,Northland,Maori,12+,343,308,292,257,144,90%,85%,56%
102400,Rangitane-Purerua,Northland,Maori,5-11,63,12,Masked,NA,NA,19%,8%,NA
102500,Waipapa,Northland,Maori,12+,128,111,106,92,44,87%,83%,48%
102600,Puketotara,Northland,Maori,12+,231,201,196,168,93,87%,85%,55%
102600,Puketotara,Northland,Maori,5-11,51,22,Masked,NA,NA,43%,<5%,NA
102700,Waima Forest,Northland,Maori,12+,784,605,578,519,262,77%,74%,50%
102700,Waima Forest,Northland,Maori,5-11,128,20,6,NA,NA,16%,<5%,NA
102800,Riverview,Northland,Maori,12+,215,Masked,201,173,98,>95%,93%,57%
102800,Riverview,Northland,Maori,5-11,58,22,Masked,NA,NA,38%,7%,NA
102900,Waipoua Forest,Northland,Maori,12+,635,520,499,461,295,82%,79%,64%
102900,Waipoua Forest,Northland,Maori,5-11,86,16,Masked,NA,NA,19%,6%,NA
103000,Kerikeri Central,Northland,Maori,12+,458,410,394,342,166,90%,86%,49%
103000,Kerikeri Central,Northland,Maori,5-11,105,28,9,NA,NA,27%,9%,NA
103000,Kerikeri Central,Northland,Pacific Peoples,12+,56,Masked,Masked,98,29,>95%,>95%,30%
103100,Kerikeri South,Northland,Maori,12+,231,205,196,179,100,89%,85%,56%
103100,Kerikeri South,Northland,Maori,5-11,49,19,Masked,NA,NA,39%,8%,NA
103200,Ohaeawai-Waimate North,Northland,Maori,12+,407,347,331,302,174,85%,81%,58%
103200,Ohaeawai-Waimate North,Northland,Maori,5-11,69,13,Masked,NA,NA,19%,7%,NA
103300,Puketona-Waitangi,Northland,Maori,12+,275,243,241,226,133,88%,88%,59%
103300,Puketona-Waitangi,Northland,Maori,5-11,42,22,Masked,NA,NA,52%,7%,NA
103400,Ngapuhi,Northland,Maori,12+,940,773,734,651,327,82%,78%,50%
103400,Ngapuhi,Northland,Maori,5-11,176,30,7,NA,NA,17%,<5%,NA
103500,Kaikohe,Northland,Maori,12+,"2,729","2,193","2,078","1,838",902,80%,76%,49%
103500,Kaikohe,Northland,Maori,5-11,613,145,41,NA,NA,24%,7%,NA
103500,Kaikohe,Northland,Pacific Peoples,12+,102,93,91,83,36,91%,89%,43%
103600,Pakaraka,Northland,Maori,12+,150,136,130,115,63,91%,87%,55%
103700,Haruru,Northland,Maori,12+,213,194,191,167,85,91%,90%,51%
103700,Haruru,Northland,Maori,5-11,66,28,6,NA,NA,42%,9%,NA
103800,Russell,Northland,Maori,12+,134,127,126,116,81,95%,94%,70%
103900,Paihia,Northland,Maori,12+,501,417,400,363,179,83%,80%,49%
103900,Paihia,Northland,Maori,5-11,83,20,6,NA,NA,24%,7%,NA
104000,Mataraua Forest,Northland,Maori,12+,322,256,237,205,114,80%,74%,56%
104000,Mataraua Forest,Northland,Maori,5-11,61,11,Masked,NA,NA,18%,8%,NA
104100,Matawaia-Taumarere,Northland,Maori,12+,807,650,623,541,272,81%,77%,50%
104100,Matawaia-Taumarere,Northland,Maori,5-11,161,42,7,NA,NA,26%,<5%,NA
104200,Russell Peninsula,Northland,Maori,12+,74,59,59,55,40,80%,80%,73%
104300,Opua (Far North District),Northland,Maori,12+,175,133,127,116,63,76%,73%,54%
104400,Russell Forest-Rawhiti,Northland,Maori,12+,392,339,325,296,185,86%,83%,62%
104400,Russell Forest-Rawhiti,Northland,Maori,5-11,63,11,Masked,NA,NA,17%,<5%,NA
104500,Moerewa,Northland,Maori,12+,"1,173",998,954,834,423,85%,81%,51%
104500,Moerewa,Northland,Maori,5-11,255,33,9,NA,NA,13%,<5%,NA
104600,Kawakawa,Northland,Maori,12+,805,719,680,596,305,89%,84%,51%
104600,Kawakawa,Northland,Maori,5-11,166,33,Masked,NA,NA,20%,<5%,NA
104700,Maromaku,Northland,Maori,12+,246,192,181,163,85,78%,74%,52%
104700,Maromaku,Northland,Maori,5-11,62,21,Masked,NA,NA,34%,<5%,NA
104800,Mangakahia-Hukerenui,Northland,Maori,12+,604,549,523,449,236,91%,87%,53%
104800,Mangakahia-Hukerenui,Northland,Maori,5-11,128,28,Masked,NA,NA,22%,<5%,NA
104900,Whangaruru,Northland,Maori,12+,658,572,555,492,269,87%,84%,55%
104900,Whangaruru,Northland,Maori,5-11,123,46,6,NA,NA,37%,<5%,NA
105100,Matarau,Northland,Maori,12+,359,318,309,268,149,89%,86%,56%
105100,Matarau,Northland,Maori,5-11,88,27,11,NA,NA,31%,12%,NA
105200,Hikurangi,Northland,Maori,12+,458,417,399,343,170,91%,87%,50%
105200,Hikurangi,Northland,Maori,5-11,139,44,14,NA,NA,32%,10%,NA
105300,Kauri,Northland,Maori,12+,232,203,200,182,108,88%,86%,59%
105300,Kauri,Northland,Maori,5-11,58,16,Masked,NA,NA,28%,9%,NA
105400,Maungatapere,Northland,Maori,12+,430,397,382,335,204,92%,89%,61%
105400,Maungatapere,Northland,Maori,5-11,100,36,14,NA,NA,36%,14%,NA
105500,Kamo West,Northland,Maori,12+,398,363,359,307,180,91%,90%,59%
105500,Kamo West,Northland,Maori,5-11,99,37,15,NA,NA,37%,15%,NA
105600,Matapouri-Tutukaka,Northland,Maori,12+,217,198,190,168,99,91%,88%,59%
105700,Kiripaka,Northland,Maori,12+,176,153,148,135,68,87%,84%,50%
105800,Kamo East,Northland,Maori,12+,919,832,798,691,307,91%,87%,44%
105800,Kamo East,Northland,Maori,5-11,252,69,15,NA,NA,27%,6%,NA
105800,Kamo East,Northland,Pacific Peoples,12+,99,85,84,77,42,86%,85%,55%
105900,Granfield Reserve,Northland,Maori,12+,461,433,414,365,201,94%,90%,55%
105900,Granfield Reserve,Northland,Maori,5-11,85,30,7,NA,NA,35%,8%,NA
106000,Kamo Central,Northland,Maori,12+,422,391,380,334,176,93%,90%,53%
106000,Kamo Central,Northland,Maori,5-11,85,35,13,NA,NA,41%,15%,NA
106100,Whau Valley,Northland,Maori,12+,605,545,530,475,254,90%,88%,53%
106100,Whau Valley,Northland,Maori,5-11,126,45,11,NA,NA,36%,9%,NA
106100,Whau Valley,Northland,Pacific Peoples,12+,41,Masked,Masked,38,24,>95%,>95%,63%
106200,Tikipunga North,Northland,Maori,12+,943,851,817,713,349,90%,87%,49%
106200,Tikipunga North,Northland,Maori,5-11,272,72,9,NA,NA,26%,<5%,NA
106200,Tikipunga North,Northland,Pacific Peoples,12+,79,70,68,61,33,89%,86%,54%
106300,Pukenui,Northland,Maori,12+,176,159,156,132,87,90%,89%,66%
106300,Pukenui,Northland,Maori,5-11,51,26,Masked,NA,NA,51%,10%,NA
106400,Otangarei,Northland,Maori,12+,"1,273","1,066",982,852,356,84%,77%,42%
106400,Otangarei,Northland,Maori,5-11,275,40,Masked,NA,NA,15%,<5%,NA
106400,Otangarei,Northland,Pacific Peoples,12+,52,39,38,35,17,75%,73%,49%
106500,Tikipunga South,Northland,Maori,12+,"1,171","1,079","1,035",907,460,92%,88%,51%
106500,Tikipunga South,Northland,Maori,5-11,292,104,20,NA,NA,36%,7%,NA
106500,Tikipunga South,Northland,Pacific Peoples,12+,85,Masked,Masked,74,35,>95%,>95%,47%
106600,Kensington (Whangarei District),Northland,Maori,12+,712,626,604,556,300,88%,85%,54%
106600,Kensington (Whangarei District),Northland,Maori,5-11,127,23,8,NA,NA,18%,6%,NA
106600,Kensington (Whangarei District),Northland,Pacific Peoples,12+,61,Masked,Masked,59,33,>95%,>95%,56%
106700,Abbey Caves-Glenbervie,Northland,Maori,12+,134,118,113,102,54,88%,84%,53%
106800,Mairtown,Northland,Maori,12+,533,471,458,410,251,88%,86%,61%
