Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"24,803","18,003",>95%,>95%,73%
Ashburton District,5-11,"3,204","1,906",748,NA,NA,59%,23%,NA
Auckland,12+,"1,383,349",Masked,Masked,"1,241,995","869,147",>95%,>95%,70%
Auckland,5-11,"163,729","97,767","42,617",NA,NA,60%,26%,NA
Buller District,12+,"8,270","7,755","7,649","7,056","5,159",94%,92%,73%
Buller District,5-11,719,353,134,NA,NA,49%,19%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,313","5,492",>95%,>95%,75%
Carterton District,5-11,834,464,183,NA,NA,56%,22%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,564","7,615",>95%,>95%,72%
Central Hawke's Bay District,5-11,"1,482",709,248,NA,NA,48%,17%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,332","13,864",>95%,>95%,76%
Central Otago District,5-11,"1,828","1,104",485,NA,NA,60%,27%,NA
Chatham Islands Territory,12+,180,Masked,Masked,252,195,>95%,>95%,77%
Chatham Islands Territory,5-11,10,Masked,Masked,NA,NA,>95%,40%,NA
Christchurch City,12+,"322,319",Masked,Masked,"298,004","223,128",>95%,>95%,75%
Christchurch City,5-11,"31,517","19,526","8,811",NA,NA,62%,28%,NA
Clutha District,12+,"14,979",Masked,"14,099","12,908","8,944",>95%,94%,69%
Clutha District,5-11,"1,658",769,270,NA,NA,46%,16%,NA
Dunedin City,12+,"110,451",Masked,Masked,"103,985","81,810",>95%,>95%,79%
Dunedin City,5-11,"9,730","6,433","3,274",NA,NA,66%,34%,NA
Far North District,12+,"56,393","50,529","49,079","44,253","29,233",90%,87%,66%
Far North District,5-11,"7,086","2,115",576,NA,NA,30%,8%,NA
Gisborne District,12+,"40,629","38,562","37,675","33,688","22,236",95%,93%,66%
Gisborne District,5-11,"5,498","2,734",941,NA,NA,50%,17%,NA
Gore District,12+,"10,754","9,989","9,867","9,032","6,384",93%,92%,71%
Gore District,5-11,"1,139",379,164,NA,NA,33%,14%,NA
Grey District,12+,"11,405","10,812","10,628","9,694","6,907",95%,93%,71%
Grey District,5-11,"1,238",564,259,NA,NA,46%,21%,NA
Hamilton City,12+,"137,508",Masked,Masked,"123,504","81,892",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,207","3,270",NA,NA,54%,19%,NA
Hastings District,12+,"69,329",Masked,Masked,"61,841","42,432",>95%,>95%,69%
Hastings District,5-11,"8,928","4,070","1,401",NA,NA,46%,16%,NA
Hauraki District,12+,"17,315","15,807","15,513","14,198","9,700",91%,90%,68%
Hauraki District,5-11,"1,785",659,219,NA,NA,37%,12%,NA
Horowhenua District,12+,"28,779",Masked,"27,294","24,936","17,839",>95%,95%,72%
Horowhenua District,5-11,"3,100","1,406",467,NA,NA,45%,15%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,543","6,911",>95%,>95%,72%
Hurunui District,5-11,"1,176",604,267,NA,NA,51%,23%,NA
Invercargill City,12+,"45,867",Masked,"43,438","39,586","28,271",>95%,95%,71%
Invercargill City,5-11,"5,141","2,562","1,030",NA,NA,50%,20%,NA
Kaikoura District,12+,"3,473","3,192","3,156","2,939","2,183",92%,91%,74%
Kaikoura District,5-11,315,150,65,NA,NA,48%,21%,NA
Kaipara District,12+,"20,170","18,123","17,686","16,310","10,823",90%,88%,66%
Kaipara District,5-11,"2,228",729,241,NA,NA,33%,11%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"41,863","32,978",>95%,>95%,79%
Kapiti Coast District,5-11,"4,658","2,551","1,328",NA,NA,55%,29%,NA
Kawerau District,12+,"6,115","5,523","5,330","4,665","2,882",90%,87%,62%
Kawerau District,5-11,854,214,38,NA,NA,25%,<5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"79,970","59,794",>95%,>95%,75%
Lower Hutt City,5-11,"10,443","6,613","2,969",NA,NA,63%,28%,NA
Mackenzie District,12+,"4,131","3,868","3,826","3,561","2,543",94%,93%,71%
Mackenzie District,5-11,387,186,62,NA,NA,48%,16%,NA
Manawatu District,12+,"25,552",Masked,Masked,"22,564","16,080",>95%,>95%,71%
Manawatu District,5-11,"3,183","1,673",689,NA,NA,53%,22%,NA
Marlborough District,12+,"41,124",Masked,Masked,"37,719","28,223",>95%,>95%,75%
Marlborough District,5-11,"4,156","2,272","1,019",NA,NA,55%,25%,NA
Masterton District,12+,"22,673",Masked,Masked,"19,818","14,080",>95%,>95%,71%
Masterton District,5-11,"2,400","1,144",383,NA,NA,48%,16%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,567","25,276","16,476",>95%,94%,65%
Matamata-Piako District,5-11,"3,307","1,377",398,NA,NA,42%,12%,NA
Napier City,12+,"54,392",Masked,"51,527","47,113","33,679",>95%,95%,71%
Napier City,5-11,"6,159","2,939","1,016",NA,NA,48%,16%,NA
Nelson City,12+,"44,831",Masked,Masked,"39,833","29,547",>95%,>95%,74%
Nelson City,5-11,"4,453","2,651","1,020",NA,NA,60%,23%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"59,254","41,090",>95%,>95%,69%
New Plymouth District,5-11,"8,373","3,984","1,702",NA,NA,48%,20%,NA
Opotiki District,12+,"7,121","6,647","6,375","5,739","3,692",93%,90%,64%
Opotiki District,5-11,967,260,59,NA,NA,27%,6%,NA
Otorohanga District,12+,"7,960","7,370","7,227","6,511","3,865",93%,91%,59%
Otorohanga District,5-11,"1,086",345,106,NA,NA,32%,10%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"63,511","46,561",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,857","2,152",NA,NA,58%,26%,NA
Porirua City,12+,"47,708",Masked,Masked,"41,775","30,183",>95%,>95%,72%
