Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,234043,Maori
Pfizer BioNTech COVID-19,1,275906,Pacific Peoples
Pfizer BioNTech COVID-19,2,864,European or other
Pfizer BioNTech COVID-19,Third primary,373,Unknown
AstraZeneca,Booster,103,Unknown
AstraZeneca,1,46,Unknown
Pfizer BioNTech COVID-19,1,519977,Maori
Pfizer BioNTech COVID-19,2,33497,Unknown
Paediatric Pfizer,1,59186,Asian
AstraZeneca,2,2696,European or other
Paediatric Pfizer,2,544,Unknown
AstraZeneca,2,248,Pacific Peoples
Novavax,Booster,20,Asian
Pfizer BioNTech COVID-19,Booster,422447,Asian
Pfizer BioNTech COVID-19,2,502822,Maori
Paediatric Pfizer,2,64120,European or other
Paediatric Pfizer,1,23649,Pacific Peoples
AstraZeneca,Booster,1233,European or other
Novavax,1,1265,European or other
AstraZeneca,2,348,Maori
AstraZeneca,Booster,89,Maori
Novavax,Third primary,9,European or other
Novavax,1,22,Unknown
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,2,39,Maori
Pfizer BioNTech COVID-19,1,2559796,European or other
Paediatric Pfizer,1,135970,European or other
Pfizer BioNTech COVID-19,Booster,139194,Pacific Peoples
AstraZeneca,1,2569,European or other
Novavax,2,897,European or other
AstraZeneca,1,364,Maori
Novavax,2,16,Unknown
Pfizer BioNTech COVID-19,2,6,Unknown
Pfizer BioNTech COVID-19,2,271821,Pacific Peoples
Novavax,1,123,Maori
AstraZeneca,2,223,Asian
Novavax,2,17,Pacific Peoples
Pfizer BioNTech COVID-19,2,71,Asian
AstraZeneca,1,108,Pacific Peoples
Pfizer BioNTech COVID-19,2,2535895,European or other
Pfizer BioNTech COVID-19,Booster,25957,Unknown
Pfizer BioNTech COVID-19,Third primary,2378,Maori
Paediatric Pfizer,2,28096,Asian
Paediatric Pfizer,2,12700,Maori
Pfizer BioNTech COVID-19,Third primary,1954,Asian
AstraZeneca,1,214,Asian
Paediatric Pfizer,Third primary,5,Asian
AstraZeneca,Booster,231,Asian
Pfizer BioNTech COVID-19,1,631399,Asian
Pfizer BioNTech COVID-19,2,627784,Asian
Pfizer BioNTech COVID-19,Third primary,25822,European or other
AstraZeneca,Booster,92,Pacific Peoples
Paediatric Pfizer,2,6289,Pacific Peoples
AstraZeneca,2,89,Unknown
Novavax,1,300,Asian
Novavax,2,184,Asian
Novavax,1,33,Pacific Peoples
Paediatric Pfizer,Third primary,23,European or other
Pfizer BioNTech COVID-19,Booster,1800432,European or other
Pfizer BioNTech COVID-19,1,34338,Unknown
Paediatric Pfizer,1,1196,Unknown
Paediatric Pfizer,1,41132,Maori
Pfizer BioNTech COVID-19,Third primary,1154,Pacific Peoples
Novavax,2,69,Maori
Novavax,Booster,93,European or other
Novavax,Booster,8,Maori
AstraZeneca,Third primary,22,European or other
Pfizer BioNTech COVID-19,2,14,Pacific Peoples
