SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"9,656",Masked,"8,949","7,538","3,805",>95%,93%,50%
Unknown,Unknown,Unknown,Maori,5-11,"1,639",479,155,NA,NA,29%,9%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,483",Masked,Masked,"3,320","1,710",>95%,>95%,52%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,354,134,29,NA,NA,38%,8%,NA
100100,North Cape,Northland,Maori,12+,861,773,753,661,411,90%,87%,62%
100100,North Cape,Northland,Maori,5-11,161,44,7,NA,NA,27%,<5%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,023",876,838,714,381,86%,82%,53%
100200,Rangaunu Harbour,Northland,Maori,5-11,193,38,9,NA,NA,20%,<5%,NA
100400,Karikari Peninsula,Northland,Maori,12+,521,439,424,353,201,84%,81%,57%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,Masked,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,Maori,12+,556,480,469,402,226,86%,84%,56%
100500,Tangonge,Northland,Maori,5-11,95,22,Masked,NA,NA,23%,<5%,NA
100600,Ahipara,Northland,Maori,12+,582,491,475,418,250,84%,82%,60%
100600,Ahipara,Northland,Maori,5-11,107,36,8,NA,NA,34%,7%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,312","1,154","1,083",885,433,88%,83%,49%
100700,Kaitaia East,Northland,Maori,5-11,289,81,15,NA,NA,28%,5%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,54,Masked,Masked,52,27,>95%,>95%,52%
100800,Kaitaia West,Northland,Maori,12+,"1,839","1,616","1,520","1,215",597,88%,83%,49%
100800,Kaitaia West,Northland,Maori,5-11,406,74,24,NA,NA,18%,6%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,103,96,93,81,39,93%,90%,48%
100900,Rangitihi,Northland,Maori,12+,395,336,323,267,135,85%,82%,51%
100900,Rangitihi,Northland,Maori,5-11,59,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,311,252,239,201,99,81%,77%,49%
101000,Oruru-Parapara,Northland,Maori,5-11,65,15,Masked,NA,NA,23%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,575,511,484,411,235,89%,84%,57%
101100,Taumarumaru,Northland,Maori,5-11,142,29,Masked,NA,NA,20%,<5%,NA
101200,Herekino-Takahue,Northland,Maori,12+,425,347,328,278,150,82%,77%,54%
101200,Herekino-Takahue,Northland,Maori,5-11,81,24,Masked,NA,NA,30%,<5%,NA
101300,Peria,Northland,Maori,12+,331,259,246,206,103,78%,74%,50%
101300,Peria,Northland,Maori,5-11,84,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,303,240,225,180,104,79%,74%,58%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,69,20,Masked,NA,NA,29%,6%,NA
101500,Whakapaku,Northland,Maori,12+,268,218,205,172,97,81%,76%,56%
101500,Whakapaku,Northland,Maori,5-11,61,18,Masked,NA,NA,30%,<5%,NA
101600,Hokianga North,Northland,Maori,12+,653,548,530,464,315,84%,81%,68%
101600,Hokianga North,Northland,Maori,5-11,124,33,Masked,NA,NA,27%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,369,301,294,254,166,82%,80%,65%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,48,10,Masked,NA,NA,21%,<5%,NA
101800,Whakarara,Northland,Maori,12+,543,475,457,399,258,87%,84%,65%
101800,Whakarara,Northland,Maori,5-11,75,31,6,NA,NA,41%,8%,NA
101900,Kaeo,Northland,Maori,12+,461,369,346,296,182,80%,75%,61%
101900,Kaeo,Northland,Maori,5-11,107,36,14,NA,NA,34%,13%,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,643,469,438,376,214,73%,68%,57%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,122,13,Masked,NA,NA,11%,<5%,NA
102100,Hokianga South,Northland,Maori,12+,706,539,506,424,261,76%,72%,62%
102100,Hokianga South,Northland,Maori,5-11,112,29,Masked,NA,NA,26%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,248,207,199,158,86,83%,80%,54%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,54,18,Masked,NA,NA,33%,<5%,NA
102300,Okaihau,Northland,Maori,12+,308,265,252,218,110,86%,82%,50%
102300,Okaihau,Northland,Maori,5-11,55,12,Masked,NA,NA,22%,<5%,NA
102400,Rangitane-Purerua,Northland,Maori,12+,344,310,291,247,140,90%,85%,57%
102400,Rangitane-Purerua,Northland,Maori,5-11,62,11,Masked,NA,NA,18%,<5%,NA
