Date,Trained Vaccinator,Active Vaccinator
2021-02-28,584,136
2021-03-07,905,251
2021-03-14,1048,324
2021-03-21,1252,420
2021-03-28,1479,587
2021-04-04,1792,750
2021-04-11,2072,925
2021-04-18,2505,1157
2021-04-25,2895,1380
2021-05-02,3389,1564
2021-05-09,4448,1789
2021-05-16,5166,1998
2021-05-23,6110,2222
2021-05-30,6511,2461
2021-06-06,7141,2720
2021-06-13,7678,2940
2021-06-20,8107,3220
2021-06-27,8453,3434
2021-07-04,8622,3649
2021-07-11,8984,3839
2021-07-18,9389,3991
2021-07-25,9785,4273
2021-08-01,10214,4711
2021-08-08,10663,5199
2021-08-15,11005,5657
2021-08-22,11523,6020
2021-08-29,12461,6646
2021-09-05,13105,7258
2021-09-12,13557,7701
2021-09-19,13776,8109
2021-09-26,14094,8465
2021-10-03,14224,8684
2021-10-10,14387,8990
2021-10-17,14568,9341
2021-10-24,14630,9471
