Date,First dose administered,Second dose administered
2021-08-06,30406,11699
2021-08-07,27923,8875
2021-08-08,15883,4624
2021-08-09,26915,11643
2021-08-10,31128,15942
2021-08-11,32050,16916
2021-08-12,32534,16525
2021-08-13,31396,15638
2021-08-14,30451,13292
2021-08-15,18297,7379
2021-08-16,30385,16041
2021-08-17,35862,20399
2021-08-18,415,100
2021-08-19,21600,8739
2021-08-20,38829,20165
2021-08-21,38395,15856
2021-08-22,28534,9052
2021-08-23,46860,19521
2021-08-24,59479,23564
2021-08-25,63519,26414
2021-08-26,67938,25465
2021-08-27,67507,24681
2021-08-28,56907,22359
2021-08-29,37116,11458
2021-08-30,54969,23737
2021-08-31,59415,27445
2021-09-01,63654,27644
2021-09-02,65281,25277
2021-09-03,61951,25885
2021-09-04,56136,22544
2021-09-05,27057,11995
2021-09-06,45352,21792
2021-09-07,50038,23427
2021-09-08,48885,18536
2021-09-09,46554,15601
2021-09-10,44210,21143
2021-09-11,39085,23282
2021-09-12,20692,13442
2021-09-13,34572,20953
2021-09-14,39776,22859
2021-09-15,40068,23188
2021-09-16,37326,24132
2021-09-17,33414,27650
2021-09-18,29356,24587
2021-09-19,14323,12570
2021-09-20,24852,25906
2021-09-21,27854,26534
2021-09-22,24595,25518
2021-09-23,21288,28517
2021-09-24,19194,31774
2021-09-25,19596,32271
2021-09-26,8305,16590
2021-09-27,12785,28252
2021-09-28,13674,31220
2021-09-29,14097,27094
2021-09-30,14231,32370
2021-10-01,12429,35476
2021-10-02,12950,37420
2021-10-03,7111,20033
2021-10-04,15028,41156
2021-10-05,17799,46343
2021-10-06,19103,51639
2021-10-07,19980,62902
2021-10-08,18806,67432
2021-10-09,18463,63710
2021-10-10,9113,33219
2021-10-11,15350,54294
2021-10-12,17688,55702
2021-10-13,15920,53393
2021-10-14,15250,53028
2021-10-15,14099,55713
2021-10-16,39654,91438
2021-10-17,6288,23457
2021-10-18,10066,32821
2021-10-19,10499,32467
2021-10-20,10483,32761
2021-10-21,10155,31389
2021-10-22,11509,33454
2021-10-23,11854,30752
2021-10-24,5366,13666
2021-10-25,3512,7172
2021-10-26,10872,31264
