DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland Metro,Asian,12-15,Female,9483,7522,9507,997,791
Auckland Metro,Asian,12-15,Male,10160,7910,10290,987,769
Auckland Metro,Asian,12-15,Unknown/Other,14,10,8,1750,1250
Auckland Metro,Asian,16-19,Female,9303,8014,8658,1074,926
Auckland Metro,Asian,16-19,Male,9949,8390,8838,1126,949
Auckland Metro,Asian,16-19,Unknown/Other,85,73,20,4250,3650
Auckland Metro,Asian,20-24,Female,13521,11495,13119,1031,876
Auckland Metro,Asian,20-24,Male,15080,12186,13140,1148,927
Auckland Metro,Asian,20-24,Unknown/Other,164,120,26,6308,4615
Auckland Metro,Asian,25-29,Female,19992,17285,22261,898,776
Auckland Metro,Asian,25-29,Male,22697,19198,21122,1075,909
Auckland Metro,Asian,25-29,Unknown/Other,245,209,52,4712,4019
Auckland Metro,Asian,30-34,Female,25799,22420,27585,935,813
Auckland Metro,Asian,30-34,Male,25762,22592,24463,1053,924
Auckland Metro,Asian,30-34,Unknown/Other,244,214,58,4207,3690
Auckland Metro,Asian,35-39,Female,24447,21724,26042,939,834
Auckland Metro,Asian,35-39,Male,24114,21642,23286,1036,929
Auckland Metro,Asian,35-39,Unknown/Other,136,118,39,3487,3026
Auckland Metro,Asian,40-44,Female,17978,16508,17625,1020,937
Auckland Metro,Asian,40-44,Male,18274,16829,16424,1113,1025
Auckland Metro,Asian,40-44,Unknown/Other,146,131,30,4867,4367
Auckland Metro,Asian,45-49,Female,14097,12978,14609,965,888
Auckland Metro,Asian,45-49,Male,13208,12298,12775,1034,963
Auckland Metro,Asian,45-49,Unknown/Other,108,101,18,6000,5611
Auckland Metro,Asian,50-54,Female,12703,11842,13152,966,900
Auckland Metro,Asian,50-54,Male,10813,10171,10867,995,936
Auckland Metro,Asian,50-54,Unknown/Other,67,63,7,9571,9000
Auckland Metro,Asian,55-59,Female,11517,10855,12473,923,870
Auckland Metro,Asian,55-59,Male,10102,9539,10448,967,913
Auckland Metro,Asian,55-59,Unknown/Other,30,27,16,1875,1688
Auckland Metro,Asian,60-64,Female,10234,9693,11771,869,823
Auckland Metro,Asian,60-64,Male,8374,7973,9386,892,849
Auckland Metro,Asian,60-64,Unknown/Other,19,17,17,1118,1000
Auckland Metro,Asian,65-69,Female,8779,8378,9591,915,874
Auckland Metro,Asian,65-69,Male,7410,7106,8323,890,854
Auckland Metro,Asian,65-69,Unknown/Other,16,15,13,1231,1154
Auckland Metro,Asian,70-74,Female,5335,5083,5803,919,876
Auckland Metro,Asian,70-74,Male,5114,4943,5520,926,895
Auckland Metro,Asian,75-79,Female,3091,2921,3533,875,827
Auckland Metro,Asian,75-79,Male,2759,2628,3128,882,840
Auckland Metro,Asian,80-84,Female,2016,1880,2375,849,792
Auckland Metro,Asian,80-84,Male,1788,1680,2182,819,770
