Week ending,Group,DHB of residence,Dose number,# doses administered
2021-02-21,Group 1,Auckland Metro,1,98
2021-02-21,Group 2,Auckland Metro,1,55
2021-02-28,Group 1,Auckland Metro,1,2749
2021-02-28,Group 1,Bay of Plenty,1,22
2021-02-28,Group 1,Canterbury,1,588
2021-02-28,Group 1,Capital & Coast and Hutt Valley,1,125
2021-02-28,Group 1,Hawkes Bay,1,10
2021-02-28,Group 1,Lakes,1,64
2021-02-28,Group 1,MidCentral,1,74
2021-02-28,Group 1,Nelson Marlborough,1,11
2021-02-28,Group 1,Northland,1,31
2021-02-28,Group 1,Southern,1,27
2021-02-28,Group 1,Tairawhiti,1,42
2021-02-28,Group 1,Taranaki,1,5
2021-02-28,Group 1,Waikato,1,194
2021-02-28,Group 1,Whanganui,1,10
2021-02-28,Group 2,Auckland Metro,1,2312
2021-02-28,Group 2,Bay of Plenty,1,8
2021-02-28,Group 2,Canterbury,1,68
2021-02-28,Group 2,Capital & Coast and Hutt Valley,1,50
2021-02-28,Group 2,Hawkes Bay,1,26
2021-02-28,Group 2,Lakes,1,11
2021-02-28,Group 2,MidCentral,1,12
2021-02-28,Group 2,Nelson Marlborough,1,5
2021-02-28,Group 2,Northland,1,7
2021-02-28,Group 2,Tairawhiti,1,37
2021-02-28,Group 2,Waikato,1,36
2021-02-28,Group 3,Auckland Metro,1,7
2021-03-07,Group 1,Auckland Metro,1,2704
2021-03-07,Group 1,Bay of Plenty,1,208
2021-03-07,Group 1,Canterbury,1,946
2021-03-07,Group 1,Capital & Coast and Hutt Valley,1,172
2021-03-07,Group 1,Hawkes Bay,1,200
2021-03-07,Group 1,Lakes,1,172
2021-03-07,Group 1,MidCentral,1,80
2021-03-07,Group 1,Nelson Marlborough,1,349
2021-03-07,Group 1,Northland,1,164
2021-03-07,Group 1,South Canterbury,1,113
2021-03-07,Group 1,Southern,1,404
2021-03-07,Group 1,Tairawhiti,1,43
2021-03-07,Group 1,Taranaki,1,87
2021-03-07,Group 1,Waikato,1,271
2021-03-07,Group 1,Whanganui,1,7
2021-03-07,Group 2,Auckland Metro,1,1482
2021-03-07,Group 2,Bay of Plenty,1,33
2021-03-07,Group 2,Canterbury,1,120
2021-03-07,Group 2,Capital & Coast and Hutt Valley,1,22
2021-03-07,Group 2,Hawkes Bay,1,22
2021-03-07,Group 2,Lakes,1,52
2021-03-07,Group 2,Nelson Marlborough,1,66
2021-03-07,Group 2,Northland,1,9
2021-03-07,Group 2,South Canterbury,1,118
2021-03-07,Group 2,Southern,1,59
2021-03-07,Group 2,Tairawhiti,1,159
2021-03-07,Group 2,Taranaki,1,68
2021-03-07,Group 2,Waikato,1,766
2021-03-14,Group 1,Auckland Metro,1,2255
2021-03-14,Group 1,Auckland Metro,2,8
2021-03-14,Group 1,Bay of Plenty,1,242
2021-03-14,Group 1,Canterbury,1,856
2021-03-14,Group 1,Capital & Coast and Hutt Valley,1,90
2021-03-14,Group 1,Hawkes Bay,1,120
2021-03-14,Group 1,Lakes,1,61
2021-03-14,Group 1,MidCentral,1,98
2021-03-14,Group 1,Nelson Marlborough,1,217
2021-03-14,Group 1,Northland,1,142
2021-03-14,Group 1,Southern,1,18
2021-03-14,Group 1,Taranaki,1,133
2021-03-14,Group 1,Waikato,1,175
2021-03-14,Group 1,Whanganui,1,7
2021-03-14,Group 2,Auckland Metro,1,1811
2021-03-14,Group 2,Auckland Metro,2,15
2021-03-14,Group 2,Bay of Plenty,1,33
2021-03-14,Group 2,Canterbury,1,136
2021-03-14,Group 2,Capital & Coast and Hutt Valley,1,54
2021-03-14,Group 2,Hawkes Bay,1,11
2021-03-14,Group 2,Lakes,1,35
2021-03-14,Group 2,MidCentral,1,70
2021-03-14,Group 2,Nelson Marlborough,1,164
2021-03-14,Group 2,Northland,1,13
2021-03-14,Group 2,South Canterbury,1,6
2021-03-14,Group 2,Southern,1,11
2021-03-14,Group 2,Taranaki,1,130
2021-03-14,Group 2,Waikato,1,606
2021-03-14,Group 2,Whanganui,1,5
2021-03-21,Group 1,Auckland Metro,1,3158
2021-03-21,Group 1,Auckland Metro,2,1938
2021-03-21,Group 1,Bay of Plenty,1,231
2021-03-21,Group 1,Bay of Plenty,2,9
2021-03-21,Group 1,Canterbury,1,307
2021-03-21,Group 1,Canterbury,2,15
2021-03-21,Group 1,Capital & Coast and Hutt Valley,1,60
2021-03-21,Group 1,Capital & Coast and Hutt Valley,2,106
2021-03-21,Group 1,Hawkes Bay,1,38
2021-03-21,Group 1,Hawkes Bay,2,6
2021-03-21,Group 1,Lakes,1,111
2021-03-21,Group 1,Lakes,2,28
2021-03-21,Group 1,MidCentral,1,68
2021-03-21,Group 1,Nelson Marlborough,1,59
2021-03-21,Group 1,Northland,1,66
2021-03-21,Group 1,Northland,2,5
2021-03-21,Group 1,South Canterbury,1,66
2021-03-21,Group 1,Southern,1,21
2021-03-21,Group 1,Southern,2,6
2021-03-21,Group 1,Tairawhiti,1,27
2021-03-21,Group 1,Tairawhiti,2,36
2021-03-21,Group 1,Taranaki,1,5
2021-03-21,Group 1,Waikato,1,128
2021-03-21,Group 1,Waikato,2,37
2021-03-21,Group 1,Whanganui,1,5
2021-03-21,Group 2,Auckland Metro,1,1546
2021-03-21,Group 2,Auckland Metro,2,1126
2021-03-21,Group 2,Bay of Plenty,1,59
2021-03-21,Group 2,Bay of Plenty,2,5
2021-03-21,Group 2,Canterbury,1,329
2021-03-21,Group 2,Canterbury,2,21
2021-03-21,Group 2,Capital & Coast and Hutt Valley,1,587
2021-03-21,Group 2,Capital & Coast and Hutt Valley,2,33
2021-03-21,Group 2,Hawkes Bay,1,67
2021-03-21,Group 2,Hawkes Bay,2,18
2021-03-21,Group 2,Lakes,1,79
2021-03-21,Group 2,MidCentral,1,728
2021-03-21,Group 2,Nelson Marlborough,1,873
2021-03-21,Group 2,Northland,1,46
2021-03-21,Group 2,Overseas / Unknown,1,7
2021-03-21,Group 2,South Canterbury,1,164
2021-03-21,Group 2,Southern,1,64
2021-03-21,Group 2,Tairawhiti,1,18
2021-03-21,Group 2,Tairawhiti,2,20
2021-03-21,Group 2,Taranaki,1,18
2021-03-21,Group 2,Waikato,1,871
2021-03-21,Group 2,Waikato,2,27
2021-03-21,Group 2,Wairarapa,1,33
2021-03-21,Group 2,Whanganui,1,129
2021-03-28,Group 1,Auckland Metro,1,2320
2021-03-28,Group 1,Auckland Metro,2,2548
2021-03-28,Group 1,Bay of Plenty,1,132
2021-03-28,Group 1,Bay of Plenty,2,122
2021-03-28,Group 1,Canterbury,1,423
2021-03-28,Group 1,Canterbury,2,742
2021-03-28,Group 1,Capital & Coast and Hutt Valley,1,302
2021-03-28,Group 1,Capital & Coast and Hutt Valley,2,165
2021-03-28,Group 1,Hawkes Bay,1,79
2021-03-28,Group 1,Hawkes Bay,2,174
2021-03-28,Group 1,Lakes,1,46
2021-03-28,Group 1,Lakes,2,161
2021-03-28,Group 1,MidCentral,1,46
2021-03-28,Group 1,MidCentral,2,114
2021-03-28,Group 1,Nelson Marlborough,1,63
2021-03-28,Group 1,Nelson Marlborough,2,255
2021-03-28,Group 1,Northland,1,114
2021-03-28,Group 1,Northland,2,150
2021-03-28,Group 1,Overseas / Unknown,2,5
2021-03-28,Group 1,South Canterbury,2,102
2021-03-28,Group 1,Southern,1,434
2021-03-28,Group 1,Southern,2,376
2021-03-28,Group 1,Tairawhiti,1,19
2021-03-28,Group 1,Tairawhiti,2,44
2021-03-28,Group 1,Taranaki,1,104
2021-03-28,Group 1,Taranaki,2,64
2021-03-28,Group 1,Waikato,1,145
2021-03-28,Group 1,Waikato,2,215
2021-03-28,Group 1,Whanganui,2,10
2021-03-28,Group 2,Auckland Metro,1,1976
2021-03-28,Group 2,Auckland Metro,2,1844
2021-03-28,Group 2,Bay of Plenty,1,162
2021-03-28,Group 2,Bay of Plenty,2,10
2021-03-28,Group 2,Canterbury,1,330
2021-03-28,Group 2,Canterbury,2,45
2021-03-28,Group 2,Capital & Coast and Hutt Valley,1,1850
2021-03-28,Group 2,Capital & Coast and Hutt Valley,2,31
2021-03-28,Group 2,Hawkes Bay,1,335
2021-03-28,Group 2,Hawkes Bay,2,21
2021-03-28,Group 2,Lakes,1,124
2021-03-28,Group 2,Lakes,2,50
2021-03-28,Group 2,MidCentral,1,620
2021-03-28,Group 2,MidCentral,2,8
2021-03-28,Group 2,Nelson Marlborough,1,678
2021-03-28,Group 2,Nelson Marlborough,2,55
2021-03-28,Group 2,Northland,1,113
2021-03-28,Group 2,Northland,2,6
2021-03-28,Group 2,Overseas / Unknown,1,15
2021-03-28,Group 2,South Canterbury,1,27
2021-03-28,Group 2,South Canterbury,2,106
2021-03-28,Group 2,Southern,1,234
2021-03-28,Group 2,Southern,2,53
2021-03-28,Group 2,Tairawhiti,1,44
2021-03-28,Group 2,Tairawhiti,2,148
2021-03-28,Group 2,Taranaki,1,221
2021-03-28,Group 2,Taranaki,2,14
2021-03-28,Group 2,Waikato,1,459
2021-03-28,Group 2,Waikato,2,446
2021-03-28,Group 2,Wairarapa,1,29
2021-03-28,Group 2,Whanganui,1,169
2021-04-04,Group 1,Auckland Metro,1,1687
2021-04-04,Group 1,Auckland Metro,2,2150
2021-04-04,Group 1,Bay of Plenty,1,107
2021-04-04,Group 1,Bay of Plenty,2,131
2021-04-04,Group 1,Canterbury,1,620
2021-04-04,Group 1,Canterbury,2,724
2021-04-04,Group 1,Capital & Coast and Hutt Valley,1,363
2021-04-04,Group 1,Capital & Coast and Hutt Valley,2,84
2021-04-04,Group 1,Hawkes Bay,1,34
2021-04-04,Group 1,Hawkes Bay,2,112
2021-04-04,Group 1,Lakes,1,50
2021-04-04,Group 1,Lakes,2,89
2021-04-04,Group 1,MidCentral,1,97
2021-04-04,Group 1,MidCentral,2,72
2021-04-04,Group 1,Nelson Marlborough,1,54
2021-04-04,Group 1,Nelson Marlborough,2,211
2021-04-04,Group 1,Northland,1,106
2021-04-04,Group 1,Northland,2,144
2021-04-04,Group 1,South Canterbury,1,48
2021-04-04,Group 1,South Canterbury,2,6
2021-04-04,Group 1,Southern,1,53
2021-04-04,Group 1,Southern,2,30
2021-04-04,Group 1,Taranaki,1,23
2021-04-04,Group 1,Taranaki,2,72
2021-04-04,Group 1,Waikato,1,77
2021-04-04,Group 1,Waikato,2,215
2021-04-04,Group 1,Whanganui,1,5
2021-04-04,Group 1,Whanganui,2,7
2021-04-04,Group 2,Auckland Metro,1,7982
2021-04-04,Group 2,Auckland Metro,2,1233
2021-04-04,Group 2,Bay of Plenty,1,392
2021-04-04,Group 2,Bay of Plenty,2,34
2021-04-04,Group 2,Canterbury,1,256
2021-04-04,Group 2,Canterbury,2,29
2021-04-04,Group 2,Capital & Coast and Hutt Valley,1,3594
2021-04-04,Group 2,Capital & Coast and Hutt Valley,2,44
2021-04-04,Group 2,Hawkes Bay,1,95
2021-04-04,Group 2,Lakes,1,58
2021-04-04,Group 2,Lakes,2,35
2021-04-04,Group 2,MidCentral,1,281
2021-04-04,Group 2,MidCentral,2,25
2021-04-04,Group 2,Nelson Marlborough,1,1281
2021-04-04,Group 2,Nelson Marlborough,2,90
2021-04-04,Group 2,Northland,1,235
2021-04-04,Group 2,Northland,2,9
2021-04-04,Group 2,Overseas / Unknown,1,12
2021-04-04,Group 2,South Canterbury,1,438
2021-04-04,Group 2,South Canterbury,2,12
2021-04-04,Group 2,Southern,1,2414
2021-04-04,Group 2,Tairawhiti,1,11
2021-04-04,Group 2,Taranaki,1,314
2021-04-04,Group 2,Taranaki,2,88
2021-04-04,Group 2,Waikato,1,924
2021-04-04,Group 2,Waikato,2,378
2021-04-04,Group 2,Wairarapa,1,49
2021-04-04,Group 2,West Coast,1,7
2021-04-04,Group 2,Whanganui,1,136
2021-04-04,Group 3,Capital & Coast and Hutt Valley,1,18
2021-04-04,Group 3,Nelson Marlborough,1,675
2021-04-04,Group 3,Southern,1,14
2021-04-11,Group 1,Auckland Metro,1,1623
2021-04-11,Group 1,Auckland Metro,2,2975
2021-04-11,Group 1,Bay of Plenty,1,90
2021-04-11,Group 1,Bay of Plenty,2,189
2021-04-11,Group 1,Canterbury,1,681
2021-04-11,Group 1,Canterbury,2,753
2021-04-11,Group 1,Capital & Coast and Hutt Valley,1,522
2021-04-11,Group 1,Capital & Coast and Hutt Valley,2,66
2021-04-11,Group 1,Hawkes Bay,1,25
2021-04-11,Group 1,Hawkes Bay,2,43
2021-04-11,Group 1,Lakes,1,95
2021-04-11,Group 1,Lakes,2,99
2021-04-11,Group 1,MidCentral,1,171
2021-04-11,Group 1,MidCentral,2,73
2021-04-11,Group 1,Nelson Marlborough,1,75
2021-04-11,Group 1,Nelson Marlborough,2,109
