SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"7,908",Masked,"7,466","6,781","3,173",>95%,94%,47%
Unknown,Unknown,Unknown,Maori,5-11,"1,483",432,172,NA,NA,29%,12%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,183",Masked,Masked,"3,211","1,676",>95%,>95%,52%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,341,124,44,NA,NA,36%,13%,NA
100100,North Cape,Northland,Maori,12+,866,770,754,684,421,89%,87%,62%
100100,North Cape,Northland,Maori,5-11,161,44,15,NA,NA,27%,9%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,024",876,844,772,394,86%,82%,51%
100200,Rangaunu Harbour,Northland,Maori,5-11,188,34,13,NA,NA,18%,7%,NA
100400,Karikari Peninsula,Northland,Maori,12+,538,456,441,414,217,85%,82%,52%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,Masked,NA,NA,24%,6%,NA
100500,Tangonge,Northland,Maori,12+,561,491,479,429,241,88%,85%,56%
100500,Tangonge,Northland,Maori,5-11,97,19,Masked,NA,NA,20%,<5%,NA
100600,Ahipara,Northland,Maori,12+,581,491,475,440,264,85%,82%,60%
100600,Ahipara,Northland,Maori,5-11,107,36,9,NA,NA,34%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,305","1,159","1,092",974,461,89%,84%,47%
100700,Kaitaia East,Northland,Maori,5-11,287,83,23,NA,NA,29%,8%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,53,Masked,Masked,49,23,>95%,>95%,47%
100800,Kaitaia West,Northland,Maori,12+,"1,836","1,598","1,507","1,342",632,87%,82%,47%
100800,Kaitaia West,Northland,Maori,5-11,398,81,28,NA,NA,20%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,103,94,91,83,43,91%,88%,52%
100900,Rangitihi,Northland,Maori,12+,399,341,328,294,145,85%,82%,49%
100900,Rangitihi,Northland,Maori,5-11,58,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,308,251,238,217,108,81%,77%,50%
101000,Oruru-Parapara,Northland,Maori,5-11,64,14,6,NA,NA,22%,9%,NA
101100,Taumarumaru,Northland,Maori,12+,571,504,478,439,240,88%,84%,55%
101100,Taumarumaru,Northland,Maori,5-11,143,35,10,NA,NA,24%,7%,NA
101200,Herekino-Takahue,Northland,Maori,12+,435,359,338,305,156,83%,78%,51%
101200,Herekino-Takahue,Northland,Maori,5-11,88,25,Masked,NA,NA,28%,<5%,NA
101300,Peria,Northland,Maori,12+,333,256,244,222,106,77%,73%,48%
101300,Peria,Northland,Maori,5-11,84,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,302,241,227,203,102,80%,75%,50%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,73,20,Masked,NA,NA,27%,5%,NA
101500,Whakapaku,Northland,Maori,12+,258,209,196,181,102,81%,76%,56%
101500,Whakapaku,Northland,Maori,5-11,57,18,Masked,NA,NA,32%,5%,NA
101600,Hokianga North,Northland,Maori,12+,666,564,548,498,332,85%,82%,67%
101600,Hokianga North,Northland,Maori,5-11,129,35,8,NA,NA,27%,6%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,366,294,289,265,164,80%,79%,62%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,46,12,Masked,NA,NA,26%,<5%,NA
101800,Whakarara,Northland,Maori,12+,550,479,462,428,274,87%,84%,64%
101800,Whakarara,Northland,Maori,5-11,76,33,19,NA,NA,43%,25%,NA
101900,Kaeo,Northland,Maori,12+,466,379,358,331,190,81%,77%,57%
