Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,276487,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,244713,Maori
Pfizer BioNTech COVID-19,2,995,European or other
Pfizer BioNTech COVID-19,Third primary,355,Unknown
AstraZeneca,Booster,108,Unknown
AstraZeneca,1,45,Unknown
Pfizer BioNTech COVID-19,1,521844,Maori
Paediatric Pfizer,1,60514,Asian
Pfizer BioNTech COVID-19,2,31882,Unknown
AstraZeneca,2,2708,European or other
Paediatric Pfizer,2,656,Unknown
AstraZeneca,2,243,Pacific Peoples
Novavax,Booster,62,Asian
Pfizer BioNTech COVID-19,Booster,440158,Asian
Pfizer BioNTech COVID-19,2,505048,Maori
Paediatric Pfizer,2,78094,European or other
Paediatric Pfizer,1,24358,Pacific Peoples
Novavax,1,1610,European or other
AstraZeneca,2,354,Maori
AstraZeneca,Booster,1346,European or other
AstraZeneca,Booster,104,Maori
Novavax,Third primary,35,European or other
Novavax,1,26,Unknown
Paediatric Pfizer,Booster,20,European or other
Pfizer BioNTech COVID-19,2,44,Maori
Pfizer BioNTech COVID-19,1,2559937,European or other
Pfizer BioNTech COVID-19,Booster,147953,Pacific Peoples
Paediatric Pfizer,1,137459,European or other
AstraZeneca,1,2579,European or other
AstraZeneca,1,368,Maori
Novavax,2,1463,European or other
Novavax,2,19,Unknown
Novavax,Booster,11,Unknown
Pfizer BioNTech COVID-19,2,17,Unknown
Pfizer BioNTech COVID-19,2,272558,Pacific Peoples
Novavax,2,39,Pacific Peoples
AstraZeneca,2,234,Asian
Novavax,1,170,Maori
AstraZeneca,1,109,Pacific Peoples
Pfizer BioNTech COVID-19,2,93,Asian
Paediatric Pfizer,Third primary,7,Maori
Pfizer BioNTech COVID-19,2,2536667,European or other
Pfizer BioNTech COVID-19,Booster,229082,Unknown
Paediatric Pfizer,2,36500,Asian
Paediatric Pfizer,2,16754,Maori
Pfizer BioNTech COVID-19,Third primary,2523,Maori
Pfizer BioNTech COVID-19,Third primary,2047,Asian
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,10,Asian
Novavax,Third primary,7,Asian
AstraZeneca,Booster,271,Asian
AstraZeneca,Third primary,5,Asian
Pfizer BioNTech COVID-19,1,632395,Asian
Pfizer BioNTech COVID-19,2,628791,Asian
Pfizer BioNTech COVID-19,Third primary,27491,European or other
Paediatric Pfizer,2,9434,Pacific Peoples
Novavax,2,323,Asian
Novavax,1,371,Asian
Novavax,1,56,Pacific Peoples
AstraZeneca,Booster,96,Pacific Peoples
AstraZeneca,2,90,Unknown
Paediatric Pfizer,Third primary,45,European or other
Pfizer BioNTech COVID-19,Booster,1837605,European or other
Pfizer BioNTech COVID-19,1,32748,Unknown
Paediatric Pfizer,1,41905,Maori
Paediatric Pfizer,1,1107,Unknown
Pfizer BioNTech COVID-19,Third primary,1205,Pacific Peoples
Novavax,Booster,436,European or other
Novavax,2,142,Maori
AstraZeneca,Third primary,24,European or other
Novavax,Third primary,5,Maori
AstraZeneca,2,6,European or other
Pfizer BioNTech COVID-19,2,17,Pacific Peoples
Novavax,Booster,31,Maori
