Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,726","18,431",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,918",879,NA,NA,60%,27%,NA
Auckland,12+,"1,383,359",Masked,Masked,"1,268,664","898,885",>95%,>95%,71%
Auckland,5-11,"163,730","99,164","54,948",NA,Masked,61%,34%,>95%
Buller District,12+,"8,270","7,775","7,667","7,312","5,241",94%,93%,72%
Buller District,5-11,719,355,181,NA,NA,49%,25%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,563","5,624",>95%,>95%,74%
Carterton District,5-11,834,474,225,NA,NA,57%,27%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"11,046","7,878",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",719,295,NA,NA,49%,20%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,856","14,190",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,115",543,NA,NA,61%,30%,NA
Chatham Islands Territory,12+,180,Masked,Masked,281,212,>95%,>95%,75%
Chatham Islands Territory,5-11,10,9,Masked,NA,NA,90%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"306,485","228,560",>95%,>95%,75%
Christchurch City,5-11,"31,517","19,662","10,939",NA,NA,62%,35%,NA
Clutha District,12+,"14,979","14,192","14,030","13,275","9,057",95%,94%,68%
Clutha District,5-11,"1,658",770,320,NA,NA,46%,19%,NA
Dunedin City,12+,"110,451",Masked,Masked,"106,039","83,487",>95%,>95%,79%
Dunedin City,5-11,"9,730","6,482","3,785",NA,NA,67%,39%,NA
Far North District,12+,"56,393","50,763","49,360","46,477","30,215",90%,88%,65%
Far North District,5-11,"7,086","2,148",778,NA,NA,30%,11%,NA
Gisborne District,12+,"40,629","38,513","37,634","35,150","22,952",95%,93%,65%
Gisborne District,5-11,"5,498","2,770","1,410",NA,NA,50%,26%,NA
Gore District,12+,"10,754","9,992","9,874","9,339","6,500",93%,92%,70%
Gore District,5-11,"1,139",387,199,NA,NA,34%,17%,NA
Grey District,12+,"11,405","10,805","10,623","10,055","7,040",95%,93%,70%
Grey District,5-11,"1,238",572,301,NA,NA,46%,24%,NA
Hamilton City,12+,"137,508",Masked,Masked,"127,294","84,546",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,343","4,338",NA,NA,54%,25%,NA
Hastings District,12+,"69,329",Masked,Masked,"64,835","44,233",>95%,>95%,68%
Hastings District,5-11,"8,928","4,148","1,766",NA,NA,46%,20%,NA
Hauraki District,12+,"17,315","15,879","15,586","14,799","9,935",92%,90%,67%
Hauraki District,5-11,"1,785",677,278,NA,NA,38%,16%,NA
Horowhenua District,12+,"28,779",Masked,"27,300","25,822","18,278",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,408",589,NA,NA,45%,19%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,853","7,045",>95%,>95%,72%
Hurunui District,5-11,"1,176",612,316,NA,NA,52%,27%,NA
Invercargill City,12+,"45,867",Masked,"43,333","40,890","28,738",>95%,94%,70%
Invercargill City,5-11,"5,141","2,585","1,266",NA,NA,50%,25%,NA
Kaikoura District,12+,"3,473","3,212","3,180","3,038","2,246",92%,92%,74%
Kaikoura District,5-11,315,153,88,NA,NA,49%,28%,NA
Kaipara District,12+,"20,170","18,138","17,702","16,898","11,081",90%,88%,66%
Kaipara District,5-11,"2,228",742,305,NA,NA,33%,14%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,900","33,670",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,576","1,559",NA,NA,55%,33%,NA
Kawerau District,12+,"6,115","5,515","5,323","4,975","2,950",90%,87%,59%
Kawerau District,5-11,854,223,46,NA,NA,26%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"82,186","61,205",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,614","3,769",NA,NA,63%,36%,NA
Mackenzie District,12+,"4,131","3,878","3,834","3,648","2,583",94%,93%,71%
Mackenzie District,5-11,387,189,80,NA,NA,49%,21%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,255","16,381",>95%,>95%,70%
Manawatu District,5-11,"3,183","1,695",859,NA,NA,53%,27%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,517","28,587",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,276","1,159",NA,NA,55%,28%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,500","14,337",>95%,>95%,70%
Masterton District,5-11,"2,400","1,168",465,NA,NA,49%,19%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,689","26,196","16,860",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,379",507,NA,NA,42%,15%,NA
Napier City,12+,"54,392",Masked,"51,577","48,682","34,398",>95%,95%,71%
Napier City,5-11,"6,159","2,950","1,250",NA,NA,48%,20%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,903","30,289",>95%,>95%,74%
Nelson City,5-11,"4,453","2,677","1,248",NA,NA,60%,28%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"61,568","42,288",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,034","2,089",NA,NA,48%,25%,NA
Opotiki District,12+,"7,121","6,730","6,452","6,095","3,827",95%,91%,63%
Opotiki District,5-11,967,254,78,NA,NA,26%,8%,NA
Otorohanga District,12+,"7,960","7,406","7,263","6,797","3,971",93%,91%,58%
Otorohanga District,5-11,"1,086",343,142,NA,NA,32%,13%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,608","47,838",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,888","2,676",NA,NA,58%,32%,NA
Porirua City,12+,"47,708",Masked,Masked,"43,152","31,019",>95%,>95%,72%
Porirua City,5-11,"6,751","3,921","1,904",NA,NA,58%,28%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"37,024","23,400",>95%,>95%,63%
Queenstown-Lakes District,5-11,"3,430","2,150","1,097",NA,NA,63%,32%,NA
Rangitikei District,12+,"12,699","11,850","11,667","11,049","7,770",93%,92%,70%
Rangitikei District,5-11,"1,491",687,292,NA,NA,46%,20%,NA
Rotorua District,12+,"58,081",Masked,"54,434","50,935","33,423",>95%,94%,66%
Rotorua District,5-11,"7,718","3,323","1,405",NA,NA,43%,18%,NA
Ruapehu District,12+,"9,936","8,858","8,596","8,113","5,156",89%,87%,64%
Ruapehu District,5-11,"1,366",425,177,NA,NA,31%,13%,NA
Selwyn District,12+,"52,972",Masked,Masked,"54,168","40,483",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,087","2,943",NA,NA,74%,43%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"19,157","12,358",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,192",569,NA,NA,44%,21%,NA
South Waikato District,12+,"19,628","18,134","17,734","16,656","9,988",92%,90%,60%
South Waikato District,5-11,"2,626",969,368,NA,NA,37%,14%,NA
