DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-15,Female,3077,2908,2947,1044,987
Auckland,Asian,12-15,Male,3213,3038,3085,1041,985
Auckland,Asian,16-19,Female,3245,3138,2904,1117,1081
Auckland,Asian,16-19,Male,3360,3256,2826,1189,1152
Auckland,Asian,16-19,Unknown/Other,45,44,9,5000,4889
Auckland,Asian,20-24,Female,5946,5780,5122,1161,1128
Auckland,Asian,20-24,Male,6146,5936,4850,1267,1224
Auckland,Asian,20-24,Unknown/Other,77,73,12,6417,6083
Auckland,Asian,25-29,Female,7923,7766,8392,944,925
Auckland,Asian,25-29,Male,9072,8837,7740,1172,1142
Auckland,Asian,25-29,Unknown/Other,132,128,25,5280,5120
Auckland,Asian,30-34,Female,8912,8704,9316,957,934
Auckland,Asian,30-34,Male,9017,8786,8382,1076,1048
Auckland,Asian,30-34,Unknown/Other,110,106,19,5789,5579
Auckland,Asian,35-39,Female,7622,7441,8154,935,913
Auckland,Asian,35-39,Male,7692,7548,7336,1049,1029
Auckland,Asian,35-39,Unknown/Other,66,65,14,4714,4643
Auckland,Asian,40-44,Female,5674,5548,5623,1009,987
Auckland,Asian,40-44,Male,5674,5566,5231,1085,1064
Auckland,Asian,40-44,Unknown/Other,44,40,15,2933,2667
Auckland,Asian,45-49,Female,4675,4572,4861,962,941
Auckland,Asian,45-49,Male,4248,4148,3985,1066,1041
Auckland,Asian,50-54,Female,4279,4184,4411,970,949
Auckland,Asian,50-54,Male,3405,3350,3467,982,966
Auckland,Asian,55-59,Female,3922,3843,4228,928,909
Auckland,Asian,55-59,Male,3351,3286,3468,966,948
Auckland,Asian,60-64,Female,3180,3117,3608,881,864
Auckland,Asian,60-64,Male,2683,2645,2922,918,905
Auckland,Asian,65-69,Female,2711,2673,2935,924,911
Auckland,Asian,65-69,Male,2269,2243,2584,878,868
Auckland,Asian,70-74,Female,1757,1732,1918,916,903
Auckland,Asian,70-74,Male,1638,1620,1743,940,929
Auckland,Asian,75-79,Female,1102,1086,1240,889,876
Auckland,Asian,75-79,Male,946,922,1080,876,854
Auckland,Asian,80-84,Female,816,794,943,865,842
Auckland,Asian,80-84,Male,695,687,819,849,839
Auckland,Asian,85-89,Female,404,382,441,916,866
Auckland,Asian,85-89,Male,392,379,420,933,902
Auckland,Asian,90+,Female,174,161,179,972,899
Auckland,Asian,90+,Male,107,102,126,849,810
Auckland,European or Other,12-15,Female,4835,4616,4934,980,936
Auckland,European or Other,12-15,Male,4950,4729,5110,969,925
Auckland,European or Other,12-15,Unknown/Other,7,7,5,1400,1400
Auckland,European or Other,16-19,Female,4709,4594,4912,959,935
Auckland,European or Other,16-19,Male,4631,4484,4777,969,939
Auckland,European or Other,16-19,Unknown/Other,10,10,12,833,833
Auckland,European or Other,20-24,Female,8317,8131,9005,924,903
Auckland,European or Other,20-24,Male,7604,7336,7930,959,925
Auckland,European or Other,20-24,Unknown/Other,33,31,29,1138,1069
Auckland,European or Other,25-29,Female,10178,9937,11855,859,838
Auckland,European or Other,25-29,Male,10271,9963,10769,954,925
Auckland,European or Other,25-29,Unknown/Other,47,47,23,2043,2043
Auckland,European or Other,30-34,Female,9354,9134,10714,873,853
Auckland,European or Other,30-34,Male,10185,9881,10361,983,954
Auckland,European or Other,30-34,Unknown/Other,46,46,22,2091,2091
Auckland,European or Other,35-39,Female,7553,7361,8521,886,864
Auckland,European or Other,35-39,Male,8147,7922,8574,950,924
Auckland,European or Other,35-39,Unknown/Other,16,14,15,1067,933
Auckland,European or Other,40-44,Female,7105,6954,8032,885,866
Auckland,European or Other,40-44,Male,7395,7229,8027,921,901
Auckland,European or Other,45-49,Female,7941,7839,8961,886,875
Auckland,European or Other,45-49,Male,8054,7900,8951,900,883
Auckland,European or Other,50-54,Female,8017,7888,8362,959,943
Auckland,European or Other,50-54,Male,8490,8337,8858,958,941
Auckland,European or Other,50-54,Unknown/Other,11,11,5,2200,2200
Auckland,European or Other,55-59,Female,7418,7310,8093,917,903
Auckland,European or Other,55-59,Male,7978,7830,8644,923,906
Auckland,European or Other,60-64,Female,6681,6590,6988,956,943
Auckland,European or Other,60-64,Male,7129,7020,7440,958,944
Auckland,European or Other,65-69,Female,5652,5590,5985,944,934
Auckland,European or Other,65-69,Male,5820,5736,6084,957,943
Auckland,European or Other,70-74,Female,5113,5061,5399,947,937
Auckland,European or Other,70-74,Male,4952,4889,5182,956,943
Auckland,European or Other,75-79,Female,3765,3726,3829,983,973
Auckland,European or Other,75-79,Male,3374,3334,3442,980,969
Auckland,European or Other,80-84,Female,2873,2839,2825,1017,1005
Auckland,European or Other,80-84,Male,2323,2295,2219,1047,1034
Auckland,European or Other,85-89,Female,1804,1774,1874,963,947
Auckland,European or Other,85-89,Male,1184,1170,1257,942,931
Auckland,European or Other,90+,Female,1610,1566,1629,988,961
Auckland,European or Other,90+,Male,801,782,782,1024,1000
Auckland,Maori,12-15,Female,1054,929,1131,932,821
Auckland,Maori,12-15,Male,1103,981,1225,900,801
Auckland,Maori,16-19,Female,1053,925,1162,906,796
Auckland,Maori,16-19,Male,993,853,1120,887,762
Auckland,Maori,20-24,Female,1563,1375,1762,887,780
Auckland,Maori,20-24,Male,1486,1297,1662,894,780
Auckland,Maori,25-29,Female,1444,1294,1774,814,729
Auckland,Maori,25-29,Male,1496,1285,1611,929,798
Auckland,Maori,30-34,Female,1208,1062,1398,864,760
Auckland,Maori,30-34,Male,1188,1058,1265,939,836
Auckland,Maori,35-39,Female,965,876,1101,876,796
Auckland,Maori,35-39,Male,895,790,1003,892,788
Auckland,Maori,40-44,Female,859,789,1032,832,765
Auckland,Maori,40-44,Male,865,782,997,868,784
Auckland,Maori,45-49,Female,1011,956,1169,865,818
Auckland,Maori,45-49,Male,958,889,1053,910,844
Auckland,Maori,50-54,Female,971,926,1055,920,878
Auckland,Maori,50-54,Male,882,828,911,968,909
Auckland,Maori,55-59,Female,898,866,988,909,877
Auckland,Maori,55-59,Male,869,827,915,950,904
Auckland,Maori,60-64,Female,726,699,744,976,940
Auckland,Maori,60-64,Male,634,619,607,1044,1020
Auckland,Maori,65-69,Female,503,494,520,967,950
Auckland,Maori,65-69,Male,377,369,421,895,876
Auckland,Maori,70-74,Female,302,298,304,993,980
Auckland,Maori,70-74,Male,276,268,261,1057,1027
Auckland,Maori,75-79,Female,149,147,158,943,930
Auckland,Maori,75-79,Male,141,136,138,1022,986
Auckland,Maori,80-84,Female,112,112,122,918,918
Auckland,Maori,80-84,Male,70,69,74,946,932
Auckland,Maori,85-89,Female,51,49,53,962,925
Auckland,Maori,85-89,Male,25,24,27,926,889
Auckland,Maori,90+,Female,23,22,22,1045,1000
Auckland,Pacific Peoples,12-15,Female,1798,1639,1958,918,837
Auckland,Pacific Peoples,12-15,Male,1824,1645,2031,898,810
Auckland,Pacific Peoples,16-19,Female,1801,1654,2005,898,825
Auckland,Pacific Peoples,16-19,Male,1742,1525,2065,844,738
Auckland,Pacific Peoples,20-24,Female,2448,2207,2760,887,800
Auckland,Pacific Peoples,20-24,Male,2227,1919,2498,892,768
Auckland,Pacific Peoples,25-29,Female,2284,2053,2713,842,757
Auckland,Pacific Peoples,25-29,Male,2316,2020,2582,897,782
Auckland,Pacific Peoples,30-34,Female,1905,1737,2120,899,819
Auckland,Pacific Peoples,30-34,Male,1890,1668,1958,965,852
Auckland,Pacific Peoples,35-39,Female,1566,1470,1819,861,808
Auckland,Pacific Peoples,35-39,Male,1578,1441,1791,881,805
Auckland,Pacific Peoples,40-44,Female,1556,1485,1764,882,842
Auckland,Pacific Peoples,40-44,Male,1562,1468,1630,958,901
Auckland,Pacific Peoples,45-49,Female,1556,1481,1728,900,857
Auckland,Pacific Peoples,45-49,Male,1538,1445,1671,920,865
Auckland,Pacific Peoples,50-54,Female,1625,1580,1810,898,873
Auckland,Pacific Peoples,50-54,Male,1580,1523,1678,942,908
Auckland,Pacific Peoples,55-59,Female,1506,1472,1566,962,940
Auckland,Pacific Peoples,55-59,Male,1385,1338,1431,968,935
Auckland,Pacific Peoples,60-64,Female,1192,1174,1274,936,922
Auckland,Pacific Peoples,60-64,Male,1124,1109,1187,947,934
Auckland,Pacific Peoples,65-69,Female,874,853,974,897,876
Auckland,Pacific Peoples,65-69,Male,856,837,915,936,915
Auckland,Pacific Peoples,70-74,Female,657,644,666,986,967
Auckland,Pacific Peoples,70-74,Male,531,513,559,950,918
Auckland,Pacific Peoples,75-79,Female,414,404,482,859,838
Auckland,Pacific Peoples,75-79,Male,304,297,336,905,884
