Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,312","25,872","18,562","11,162","4,280",>95%,94%,72%,38%
Ashburton District,5-11,"3,235","1,708",852,NA,NA,NA,NA,53%,26%,NA,NA
Auckland,12+,"1,468,419","1,365,883","1,348,767","1,274,353","909,380","417,130","170,047",93%,92%,71%,41%
Auckland,5-11,"161,323","91,124","53,541",NA,Masked,NA,NA,56%,33%,>95%,NA
Buller District,12+,"8,707","7,784","7,656","7,306","5,266","3,915","1,462",89%,88%,72%,37%
Buller District,5-11,740,324,178,NA,NA,NA,NA,44%,24%,NA,NA
Carterton District,12+,"8,651","8,139","8,004","7,590","5,681","3,972","1,735",94%,93%,75%,44%
Carterton District,5-11,832,423,213,NA,NA,NA,NA,51%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,709","11,087","7,925","5,184","1,926",>95%,94%,71%,37%
Central Hawke's Bay District,5-11,"1,456",650,284,NA,NA,NA,NA,45%,20%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,935","14,296","9,264","4,123",>95%,>95%,76%,45%
Central Otago District,5-11,"1,816",987,518,NA,NA,NA,NA,54%,29%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,301,224,142,29,>95%,>95%,74%,20%
Chatham Islands Territory,5-11,14,10,Masked,NA,NA,NA,NA,71%,36%,NA,NA
Christchurch City,12+,"343,918",Masked,"323,386","307,854","231,020","115,237","51,889",>95%,94%,75%,45%
Christchurch City,5-11,"31,208","17,990","10,696",NA,Masked,NA,NA,58%,34%,>95%,NA
Clutha District,12+,"15,517","14,166","13,958","13,245","9,063","5,880","2,027",91%,90%,68%,34%
Clutha District,5-11,"1,567",712,324,NA,NA,NA,NA,45%,21%,NA,NA
Dunedin City,12+,"114,950",Masked,Masked,"106,402","84,010","40,316","19,157",>95%,>95%,79%,48%
Dunedin City,5-11,"9,480","5,880","3,601",NA,NA,NA,NA,62%,38%,NA,NA
Far North District,12+,"59,649","50,946","49,397","46,799","30,554","21,693","7,611",85%,83%,65%,35%
Far North District,5-11,"7,197","1,911",789,NA,NA,NA,NA,27%,11%,NA,NA
Gisborne District,12+,"42,561","38,607","37,597","35,186","23,188","13,664","5,190",91%,88%,66%,38%
Gisborne District,5-11,"5,401","2,512","1,408",NA,NA,NA,NA,47%,26%,NA,NA
Gore District,12+,"11,003","10,011","9,866","9,360","6,506","4,260","1,438",91%,90%,70%,34%
Gore District,5-11,"1,073",342,189,NA,NA,NA,NA,32%,18%,NA,NA
