SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"10,122","8,411","7,929","7,164","3,356","1,489",439,83%,78%,47%,29%
Unknown,Unknown,Unknown,Maori,5-11,"1,839",547,228,NA,NA,NA,NA,30%,12%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,525",Masked,Masked,"3,387","1,907",445,102,>95%,>95%,56%,23%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,347,152,57,NA,NA,NA,NA,44%,16%,NA,NA
100100,North Cape,Northland,Maori,12+,914,783,766,700,432,275,88,86%,84%,62%,32%
100100,North Cape,Northland,Maori,5-11,145,44,16,NA,NA,NA,NA,30%,11%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,048",883,849,788,401,253,40,84%,81%,51%,16%
100200,Rangaunu Harbour,Northland,Maori,5-11,189,34,14,NA,NA,NA,NA,18%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,550,460,446,420,228,159,33,84%,81%,54%,21%
100400,Karikari Peninsula,Northland,Maori,5-11,88,20,Masked,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,595,501,488,443,255,146,27,84%,82%,58%,18%
100500,Tangonge,Northland,Maori,5-11,99,20,Masked,NA,NA,NA,NA,20%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,598,488,473,444,263,170,22,82%,79%,59%,13%
100600,Ahipara,Northland,Maori,5-11,104,36,9,NA,NA,NA,NA,35%,9%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,327","1,133","1,068",971,455,226,52,85%,80%,47%,23%
100700,Kaitaia East,Northland,Maori,5-11,294,81,24,NA,NA,NA,NA,28%,8%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,58,52,51,48,25,7,NA,90%,88%,52%,0%
100800,Kaitaia West,Northland,Maori,12+,"1,928","1,590","1,499","1,346",633,358,62,82%,78%,47%,17%
