Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,289","25,829","18,538","11,028","4,047",>95%,94%,72%,37%
Ashburton District,5-11,"3,235","1,726",856,NA,NA,NA,NA,53%,26%,NA,NA
Auckland,12+,"1,468,419","1,364,572","1,347,712","1,272,417","907,802","411,695","161,227",93%,92%,71%,39%
Auckland,5-11,"161,323","91,849","53,671",NA,Masked,NA,NA,57%,33%,>95%,NA
Buller District,12+,"8,707","7,776","7,648","7,300","5,271","3,852","1,392",89%,88%,72%,36%
Buller District,5-11,740,326,179,NA,NA,NA,NA,44%,24%,NA,NA
Carterton District,12+,"8,651","8,146","8,013","7,592","5,687","3,941","1,655",94%,93%,75%,42%
Carterton District,5-11,832,430,215,NA,NA,NA,NA,52%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,716","11,087","7,930","5,129","1,831",>95%,94%,72%,36%
Central Hawke's Bay District,5-11,"1,456",652,286,NA,NA,NA,NA,45%,20%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,925","14,294","9,176","3,901",>95%,>95%,76%,43%
Central Otago District,5-11,"1,816","1,008",522,NA,NA,NA,NA,56%,29%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,301,225,141,29,>95%,>95%,75%,21%
Chatham Islands Territory,5-11,14,10,Masked,NA,NA,NA,NA,71%,36%,NA,NA
Christchurch City,12+,"343,918","326,488","323,109","307,446","230,693","113,655","48,577",95%,94%,75%,43%
Christchurch City,5-11,"31,208","18,178","10,754",NA,Masked,NA,NA,58%,34%,>95%,NA
Clutha District,12+,"15,517","14,176","13,971","13,250","9,071","5,795","1,926",91%,90%,68%,33%
Clutha District,5-11,"1,567",717,324,NA,NA,NA,NA,46%,21%,NA,NA
Dunedin City,12+,"114,950",Masked,Masked,"106,246","83,916","39,907","18,264",>95%,>95%,79%,46%
Dunedin City,5-11,"9,480","5,916","3,616",NA,NA,NA,NA,62%,38%,NA,NA
Far North District,12+,"59,649","50,842","49,303","46,664","30,499","21,375","7,177",85%,83%,65%,34%
Far North District,5-11,"7,197","1,936",789,NA,NA,NA,NA,27%,11%,NA,NA
Gisborne District,12+,"42,561","38,575","37,580","35,143","23,180","13,528","4,992",91%,88%,66%,37%
Gisborne District,5-11,"5,401","2,537","1,414",NA,NA,NA,NA,47%,26%,NA,NA
Gore District,12+,"11,003","9,988","9,844","9,327","6,488","4,213","1,330",91%,89%,70%,32%
Gore District,5-11,"1,073",344,192,NA,NA,NA,NA,32%,18%,NA,NA
Grey District,12+,"11,872","10,868","10,649","10,087","7,064","4,567","1,584",92%,90%,70%,35%
Grey District,5-11,"1,138",512,274,NA,NA,NA,NA,45%,24%,NA,NA
Hamilton City,12+,"147,441","137,573","135,297","127,633","85,623","37,831","14,998",93%,92%,67%,40%
Hamilton City,5-11,"17,497","8,578","4,345",NA,NA,NA,NA,49%,25%,NA,NA
Hastings District,12+,"74,221","70,490","69,161","65,090","44,747","25,280","8,805",95%,93%,69%,35%
Hastings District,5-11,"8,650","3,780","1,759",NA,NA,NA,NA,44%,20%,NA,NA
Hauraki District,12+,"18,063","15,913","15,559","14,815","10,023","7,125","2,578",88%,86%,68%,36%
Hauraki District,5-11,"1,779",594,277,NA,NA,NA,NA,33%,16%,NA,NA
Horowhenua District,12+,"30,027","27,726","27,195","25,785","18,312","12,715","5,596",92%,91%,71%,44%
Horowhenua District,5-11,"3,095","1,256",563,NA,NA,NA,NA,41%,18%,NA,NA
Hurunui District,12+,"11,490","10,548","10,375","9,849","7,070","4,572","1,665",92%,90%,72%,36%
Hurunui District,5-11,"1,158",538,286,NA,NA,NA,NA,46%,25%,NA,NA
Invercargill City,12+,"47,368","44,203","43,509","41,138","29,031","16,857","6,325",93%,92%,71%,38%
Invercargill City,5-11,"5,029","2,349","1,225",NA,NA,NA,NA,47%,24%,NA,NA
Kaikoura District,12+,"3,527","3,213","3,179","3,048","2,254","1,590",588,91%,90%,74%,37%
Kaikoura District,5-11,296,134,79,NA,NA,NA,NA,45%,27%,NA,NA
Kaipara District,12+,"21,487","18,181","17,702","16,981","11,168","7,861","2,441",85%,82%,66%,31%
Kaipara District,5-11,"2,339",660,283,NA,NA,NA,NA,28%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,853","45,335","43,068","33,878","22,526","11,332",94%,93%,79%,50%
Kapiti Coast District,5-11,"4,477","2,367","1,460",NA,NA,NA,NA,53%,33%,NA,NA
Kawerau District,12+,"6,360","5,491","5,278","4,973","2,977","2,108",789,86%,83%,60%,37%
Kawerau District,5-11,806,185,47,NA,NA,NA,NA,23%,6%,NA,NA
Lower Hutt City,12+,"94,100","88,338","87,171","82,350","61,649","30,011","13,118",94%,93%,75%,44%
Lower Hutt City,5-11,"10,256","6,106","3,716",NA,NA,NA,NA,60%,36%,NA,NA
Mackenzie District,12+,"4,339","3,881","3,827","3,650","2,591","1,528",529,89%,88%,71%,35%
Mackenzie District,5-11,379,169,74,NA,NA,NA,NA,45%,20%,NA,NA
Manawatu District,12+,"27,110","25,272","24,926","23,377","16,529","10,004","3,885",93%,92%,71%,39%
Manawatu District,5-11,"3,203","1,534",812,NA,NA,NA,NA,48%,25%,NA,NA
Marlborough District,12+,"44,461","41,303","40,745","38,856","28,775","18,189","7,761",93%,92%,74%,43%
Marlborough District,5-11,"4,100","2,028","1,075",NA,NA,NA,NA,49%,26%,NA,NA
Masterton District,12+,"23,589","22,063","21,648","20,536","14,416","9,402","3,769",94%,92%,70%,40%
Masterton District,5-11,"2,356","1,054",436,NA,NA,NA,NA,45%,19%,NA,NA
Matamata-Piako District,12+,"30,444","28,193","27,685","26,255","16,940","11,130","3,933",93%,91%,65%,35%
Matamata-Piako District,5-11,"3,427","1,251",499,NA,NA,NA,NA,37%,15%,NA,NA
Napier City,12+,"56,989","52,514","51,636","48,830","34,638","21,469","8,242",92%,91%,71%,38%
Napier City,5-11,"5,980","2,695","1,234",NA,NA,NA,NA,45%,21%,NA,NA
Nelson City,12+,"47,440","43,909","43,263","41,076","30,536","18,443","8,143",93%,91%,74%,44%
Nelson City,5-11,"4,405","2,431","1,221",NA,NA,NA,NA,55%,28%,NA,NA
New Plymouth District,12+,"71,868","66,600","65,568","61,802","42,618","25,871","9,340",93%,91%,69%,36%
New Plymouth District,5-11,"8,328","3,664","2,038",NA,NA,NA,NA,44%,24%,NA,NA
Opotiki District,12+,"7,637","6,767","6,486","6,156","3,886","2,694",888,89%,85%,63%,33%
Opotiki District,5-11,987,235,82,NA,NA,NA,NA,24%,8%,NA,NA
Otorohanga District,12+,"8,310","7,390","7,224","6,779","3,985","2,500",806,89%,87%,59%,32%
Otorohanga District,5-11,"1,097",301,122,NA,NA,NA,NA,27%,11%,NA,NA
Palmerston North City,12+,"74,774","70,589","69,712","65,721","48,109","23,507","10,553",94%,93%,73%,45%
Palmerston North City,5-11,"8,389","4,486","2,579",NA,NA,NA,NA,53%,31%,NA,NA
Porirua City,12+,"50,123","46,975","46,249","43,228","31,331","15,406","6,565",94%,92%,72%,43%
Porirua City,5-11,"6,610","3,618","1,906",NA,NA,NA,NA,55%,29%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,757","39,100","37,432","23,797","10,079","3,645",94%,92%,64%,36%
Queenstown-Lakes District,5-11,"3,481","1,948","1,093",NA,NA,NA,NA,56%,31%,NA,NA
Rangitikei District,12+,"13,122","11,869","11,663","11,062","7,785","4,966","1,807",90%,89%,70%,36%
Rangitikei District,5-11,"1,496",634,275,NA,NA,NA,NA,42%,18%,NA,NA
Rotorua District,12+,"61,354","55,466","54,226","50,921","33,592","19,147","7,319",90%,88%,66%,38%
