Vaccine,Dose number,Ethnicity,Number of doses administered
AstraZeneca,1,Maori,363
AstraZeneca,1,Other,2846
AstraZeneca,1,Pacific Peoples,109
AstraZeneca,2,Maori,356
AstraZeneca,2,Other,3041
AstraZeneca,2,Pacific Peoples,243
AstraZeneca,BOOSTER 1,Maori,103
AstraZeneca,BOOSTER 1,Other,1744
AstraZeneca,BOOSTER 1,Pacific Peoples,98
AstraZeneca,BOOSTER 2,Maori,12
AstraZeneca,BOOSTER 2,Other,159
AstraZeneca,THIRD_PRIMARY,Other,23
Novavax,1,Maori,188
Novavax,1,Other,2120
Novavax,1,Pacific Peoples,60
Novavax,2,Maori,166
Novavax,2,Other,1962
Novavax,2,Pacific Peoples,45
Novavax,BOOSTER 1,Maori,58
Novavax,BOOSTER 1,Other,682
Novavax,BOOSTER 1,Pacific Peoples,5
Novavax,BOOSTER 2,Maori,47
Novavax,BOOSTER 2,Other,817
Novavax,BOOSTER 2,Pacific Peoples,8
Novavax,THIRD_PRIMARY,Other,31
Paediatric Pfizer,1,Maori,42268
Paediatric Pfizer,1,Other,200397
Paediatric Pfizer,1,Pacific Peoples,24672
Paediatric Pfizer,2,Maori,18071
Paediatric Pfizer,2,Other,121319
Paediatric Pfizer,2,Pacific Peoples,10520
Paediatric Pfizer,BOOSTER 1,Maori,5
Paediatric Pfizer,BOOSTER 1,Other,21
Paediatric Pfizer,THIRD_PRIMARY,Maori,9
Paediatric Pfizer,THIRD_PRIMARY,Other,77
Pfizer BioNTech COVID-19,1,Maori,523600
Pfizer BioNTech COVID-19,1,Other,3223848
Pfizer BioNTech COVID-19,1,Pacific Peoples,276953
Pfizer BioNTech COVID-19,2,Maori,506839
Pfizer BioNTech COVID-19,2,Other,3196544
Pfizer BioNTech COVID-19,2,Pacific Peoples,273023
Pfizer BioNTech COVID-19,BOOSTER,Maori,7
Pfizer BioNTech COVID-19,BOOSTER,Other,75
Pfizer BioNTech COVID-19,BOOSTER 1,Maori,250399
Pfizer BioNTech COVID-19,BOOSTER 1,Other,2325959
Pfizer BioNTech COVID-19,BOOSTER 1,Pacific Peoples,152477
Pfizer BioNTech COVID-19,BOOSTER 2,Maori,40313
Pfizer BioNTech COVID-19,BOOSTER 2,Other,501805
Pfizer BioNTech COVID-19,BOOSTER 2,Pacific Peoples,18483
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Maori,2368
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Other,27630
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Pacific Peoples,1127
