Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"24,337","17,902",>95%,>95%,74%
Ashburton District,5-11,"3,204","1,899",673,NA,NA,59%,21%,NA
Auckland,12+,"1,383,349",Masked,Masked,"1,225,006","862,891",>95%,>95%,70%
Auckland,5-11,"163,729","97,519","38,507",NA,NA,60%,24%,NA
Buller District,12+,"8,270","7,750","7,641","6,961","5,133",94%,92%,74%
Buller District,5-11,719,354,111,NA,NA,49%,15%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,221","5,475",>95%,>95%,76%
Carterton District,5-11,834,462,146,NA,NA,55%,18%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,355","7,555",>95%,>95%,73%
Central Hawke's Bay District,5-11,"1,482",706,223,NA,NA,48%,15%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,064","13,757",>95%,>95%,76%
Central Otago District,5-11,"1,828","1,098",442,NA,NA,60%,24%,NA
Chatham Islands Territory,12+,180,Masked,Masked,251,194,>95%,>95%,77%
Chatham Islands Territory,5-11,10,Masked,Masked,NA,NA,>95%,40%,NA
Christchurch City,12+,"322,319",Masked,Masked,"293,681","221,855",>95%,>95%,76%
Christchurch City,5-11,"31,517","19,478","8,028",NA,NA,62%,25%,NA
Clutha District,12+,"14,979",Masked,"14,097","12,677","8,911",>95%,94%,70%
Clutha District,5-11,"1,658",765,240,NA,NA,46%,14%,NA
Dunedin City,12+,"110,451",Masked,Masked,"102,689","81,335",>95%,>95%,79%
Dunedin City,5-11,"9,730","6,418","3,031",NA,NA,66%,31%,NA
Far North District,12+,"56,393","50,513","49,045","43,349","29,076",90%,87%,67%
Far North District,5-11,"7,086","2,102",502,NA,NA,30%,7%,NA
Gisborne District,12+,"40,629","38,515","37,617","32,965","22,051",95%,93%,67%
Gisborne District,5-11,"5,498","2,723",866,NA,NA,50%,16%,NA
Gore District,12+,"10,754","9,996","9,872","8,884","6,358",93%,92%,72%
Gore District,5-11,"1,139",378,156,NA,NA,33%,14%,NA
Grey District,12+,"11,405","10,802","10,611","9,468","6,870",95%,93%,73%
Grey District,5-11,"1,238",562,238,NA,NA,45%,19%,NA
Hamilton City,12+,"137,508",Masked,Masked,"121,736","81,425",>95%,>95%,67%
Hamilton City,5-11,"17,176","9,194","2,977",NA,NA,54%,17%,NA
Hastings District,12+,"69,329",Masked,Masked,"60,583","42,164",>95%,>95%,70%
Hastings District,5-11,"8,928","4,052","1,326",NA,NA,45%,15%,NA
Hauraki District,12+,"17,315","15,818","15,526","13,981","9,662",91%,90%,69%
Hauraki District,5-11,"1,785",663,198,NA,NA,37%,11%,NA
Horowhenua District,12+,"28,779",Masked,"27,284","24,491","17,756",>95%,95%,73%
Horowhenua District,5-11,"3,100","1,398",433,NA,NA,45%,14%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,342","6,851",>95%,>95%,73%
Hurunui District,5-11,"1,176",603,243,NA,NA,51%,21%,NA
Invercargill City,12+,"45,867",Masked,"43,423","38,963","28,161",>95%,95%,72%
Invercargill City,5-11,"5,141","2,556",913,NA,NA,50%,18%,NA
Kaikoura District,12+,"3,473","3,194","3,160","2,899","2,181",92%,91%,75%
Kaikoura District,5-11,315,150,63,NA,NA,48%,20%,NA
Kaipara District,12+,"20,170","18,090","17,645","16,032","10,758",90%,87%,67%
Kaipara District,5-11,"2,228",723,218,NA,NA,32%,10%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"41,239","32,824",>95%,>95%,80%
Kapiti Coast District,5-11,"4,658","2,546","1,276",NA,NA,55%,27%,NA
Kawerau District,12+,"6,115","5,520","5,328","4,561","2,873",90%,87%,63%
Kawerau District,5-11,854,214,37,NA,NA,25%,<5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"78,718","59,544",>95%,>95%,76%
Lower Hutt City,5-11,"10,443","6,614","2,726",NA,NA,63%,26%,NA
Mackenzie District,12+,"4,131","3,879","3,837","3,523","2,543",94%,93%,72%
Mackenzie District,5-11,387,189,59,NA,NA,49%,15%,NA
Manawatu District,12+,"25,552",Masked,Masked,"22,159","15,984",>95%,>95%,72%
Manawatu District,5-11,"3,183","1,671",616,NA,NA,52%,19%,NA
Marlborough District,12+,"41,124",Masked,Masked,"37,131","28,074",>95%,>95%,76%
Marlborough District,5-11,"4,156","2,268",956,NA,NA,55%,23%,NA
Masterton District,12+,"22,673",Masked,Masked,"19,488","14,014",>95%,>95%,72%
Masterton District,5-11,"2,400","1,142",337,NA,NA,48%,14%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,546","24,803","16,400",>95%,94%,66%
Matamata-Piako District,5-11,"3,307","1,379",362,NA,NA,42%,11%,NA
Napier City,12+,"54,392",Masked,"51,493","46,268","33,516",>95%,95%,72%
Napier City,5-11,"6,159","2,931",967,NA,NA,48%,16%,NA
Nelson City,12+,"44,831",Masked,Masked,"39,225","29,388",>95%,>95%,75%
Nelson City,5-11,"4,453","2,649",962,NA,NA,59%,22%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"58,201","40,868",>95%,>95%,70%
New Plymouth District,5-11,"8,373","3,980","1,624",NA,NA,48%,19%,NA
Opotiki District,12+,"7,121","6,637","6,365","5,603","3,679",93%,89%,66%
Opotiki District,5-11,967,258,53,NA,NA,27%,5%,NA
Otorohanga District,12+,"7,960","7,351","7,208","6,383","3,829",92%,91%,60%
Otorohanga District,5-11,"1,086",349,103,NA,NA,32%,9%,NA
