Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,275858,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,232313,Maori
Pfizer BioNTech COVID-19,Third primary,376,Unknown
Pfizer BioNTech COVID-19,2,853,European or other
AstraZeneca,Booster,102,Unknown
AstraZeneca,1,46,Unknown
Pfizer BioNTech COVID-19,1,519757,Maori
Paediatric Pfizer,1,58856,Asian
Pfizer BioNTech COVID-19,2,33699,Unknown
AstraZeneca,2,248,Pacific Peoples
AstraZeneca,2,2686,European or other
Paediatric Pfizer,2,493,Unknown
Novavax,Booster,12,Asian
Pfizer BioNTech COVID-19,Booster,417954,Asian
Paediatric Pfizer,2,59891,European or other
Pfizer BioNTech COVID-19,2,502500,Maori
Paediatric Pfizer,1,23581,Pacific Peoples
AstraZeneca,2,347,Maori
AstraZeneca,Booster,1200,European or other
Novavax,1,1179,European or other
AstraZeneca,Booster,90,Maori
Novavax,1,21,Unknown
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,2,39,Maori
Novavax,Third primary,7,European or other
Pfizer BioNTech COVID-19,1,2559768,European or other
Paediatric Pfizer,1,135656,European or other
Pfizer BioNTech COVID-19,Booster,138209,Pacific Peoples
AstraZeneca,1,2567,European or other
AstraZeneca,1,364,Maori
Novavax,2,521,European or other
Novavax,2,8,Unknown
Pfizer BioNTech COVID-19,2,5,Unknown
Pfizer BioNTech COVID-19,2,271719,Pacific Peoples
Novavax,1,108,Maori
AstraZeneca,2,223,Asian
Pfizer BioNTech COVID-19,2,71,Asian
Novavax,2,9,Pacific Peoples
AstraZeneca,1,108,Pacific Peoples
Pfizer BioNTech COVID-19,2,2535675,European or other
Paediatric Pfizer,2,11698,Maori
Pfizer BioNTech COVID-19,Third primary,1962,Asian
Paediatric Pfizer,2,24473,Asian
Pfizer BioNTech COVID-19,Booster,25664,Unknown
Pfizer BioNTech COVID-19,Third primary,2371,Maori
AstraZeneca,1,214,Asian
AstraZeneca,Booster,219,Asian
Pfizer BioNTech COVID-19,1,631210,Asian
Pfizer BioNTech COVID-19,2,627493,Asian
Pfizer BioNTech COVID-19,Third primary,25646,European or other
Paediatric Pfizer,2,5650,Pacific Peoples
Novavax,1,274,Asian
Novavax,2,98,Asian
AstraZeneca,Booster,91,Pacific Peoples
AstraZeneca,2,89,Unknown
Paediatric Pfizer,Third primary,19,European or other
Novavax,1,28,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,1792394,European or other
Paediatric Pfizer,1,40984,Maori
Pfizer BioNTech COVID-19,1,34533,Unknown
Paediatric Pfizer,1,1209,Unknown
Pfizer BioNTech COVID-19,Third primary,1200,Pacific Peoples
Novavax,2,42,Maori
Novavax,Booster,67,European or other
AstraZeneca,Third primary,22,European or other
Novavax,Booster,6,Maori
Pfizer BioNTech COVID-19,2,14,Pacific Peoples
